08年 7月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,登別特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,620円 3連複:7,670円 3連単:37,130円",,,,,,,,,,,,"馬単:5,880円 3連複:14,070円 3連単:58,540円",,,,,,,,,,,,"馬単:55,670円 3連複:202,130円 3連単:1,813,780円",,,,,,,,,,,,"馬単:1,170円 3連複:5,310円 3連単:13,550円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,STV杯,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｆメイショウラルｰ, 60,武幸四,, 65,  -1,*  8, 8, 28.5,⑪⑩⑦, 1,12,Ｃスズカゲイル, 58,安藤勝,, 65,* -3,*  4, 1,  2.4,⑦④②, 1, 9,Ａワルキュｰレ, 86,的場勇,, 88,   7,* 17, 2,  4.0,⑥⑤④, 1,14,Ｋボｰテセレスト, 63,北村友,, 81,  -3,* 16, 8, 28.2,⑨⑨⑩
 2,11,Ａエスジｰビンゴ, 62,千田輝, 0.1, 64,   4,   0, 2,  3.3,⑥③②, 2, 4,Ｂシｰエンプレス, 58,四位洋, 0.2, 63,  -5,*  5, 2,  3.2,⑪⑦④, 2,12,Ｈマイネヴェロナ, 77,津村明, 0.2, 85,   9,  10, 4,  8.8,④③③, 2,13,Ｃグラｰフ, 71,丸田恭, 0.0, 78,  -4,* 15, 3,  6.1,⑪⑨⑦
 3,10,Ｊエクレウス, 44,長谷川, 0.3, 65,   4,  -1, 9, 58.8,④③④, 3, 3,Ｊユウタｰボｰイ, 47,藤岡佑, 0.4, 62,  -4,   2, 8, 58.8,⑤⑦④, 3, 4,Ｌジャングルテクノ, 72,四位洋, 0.4, 85,   5,  16, 1,  3.3,⑪⑩⑦, 3, 4,Ｍトシザユカ, 60,長谷川, 0.2, 70,*  3,  -2, 9, 31.9,①①①
 4, 9,Ｇアップセット, 60,大野拓, 0.3, 62,*  4,  -3, 3,  6.5,③②①, 4, 7,Ｈサンサンサン, 50,丸田恭, 0.6, 57,* -4,  -5, 7, 43.9,⑤④④, 4, 8,Ｂサクセスガｰウィン, 85,大野拓, 0.4, 86,   5,* 17,12, 48.5,⑩⑪⑩, 4, 9,Ｅメイショウカレン, 70,松田大, 0.3, 77,  -5,* 15,10, 31.9,⑬⑫⑪
 5, 4,Ｅヴォイジャｰ, 60,津村明, 0.7, 58,*  4,  -7, 5,  9.4,①①②, 5,10,Ａエルアラメイン, 87,三浦皇, 0.7, 55,* -4, -10, 3,  4.0,②②②, 5, 2,Ｆフレアリングベスト, 78,菊沢隆, 0.6, 83,   3,* 17,10, 23.5,⑭⑭⑬, 5, 3,Ｂサプライズユｰ, 72,三浦皇, 0.4, 70,   1,   3, 1,  2.6,③④④
 6, 8,Ｃヨシクリスエス, 60,菊沢隆, 1.4, 55,   1,  -6,10, 61.2,⑨⑧⑦, 6, 5,Ｉキョウエイライジン, 47,木幡初, 0.8, 58,  -6,  -2,10,122.2,⑦⑩⑨, 6, 3,Ｃリメインオブザサン, 81,池添謙, 0.6, 81,   7,   8, 9, 18.2,⑧⑤④, 6, 7,Ｇニシノフェリｰチェ, 68,池添謙, 0.4, 68,*  2,  -1, 5, 10.0,②②②
 7, 6,Ｂタイキボナパルト, 61,ホワイ, 1.7, 52,   3, -12, 1,  2.7,⑥⑤⑤, 7, 2,Ｅメジロミニｰ, 57,菊沢隆, 1.0, 58,  -4,  -3, 4,  9.4,⑨⑩⑪, 7, 5,Ｇユキノハリケｰン, 78,木幡初, 0.8, 78,  10,  -1, 7, 17.4,②②②, 7,11,Ｄスペシャルフロｰト, 70,藤田伸, 0.4, 69,*  2,   0, 2,  4.2,③③②
 8, 2,Ｋサｰリセルカ, 17,三浦皇, 1.9, 51,   2, -14, 7, 23.0,⑥⑤⑤, 8, 8,Ｋスナｰクキャプテン, 46,小林徹, 1.1, 53,* -1, -16, 9,104.3,①①①, 8,13,Ｄスパニッシュソウル, 80,藤岡佑, 0.9, 78,   6,   6, 6, 11.3,⑧⑧⑦, 8, 1,Ｆユノブラッキｰ, 69,梶晃啓, 0.5, 71,   0,   5, 7, 23.6,⑤⑦⑦
 9, 1,Ｄケイエムチャンス, 60,木幡初, 2.2, 48,   0, -11, 4,  8.9,④⑨⑩, 9, 6,Ｆマイネルゼニット, 54,津村明, 1.2, 52,* -3, -16, 6, 26.4,④③④, 9, 6,Ｉエバンジェリスト, 77,横山典, 0.9, 80,   4,  11, 5,  9.2,⑬⑪⑫, 9,10,Ｈショウナンアルス, 66,秋山真, 0.6, 69,  -2,   5, 4,  9.7,⑧⑦⑦
10, 3,Ｉリリｰザサン, 48,小林徹, 2.3, 50,   3, -17,11,136.8,②⑤⑦,10, 9,Ｄエｰシンダカｰポ, 57,ホワイ, 1.7, 48,  -5, -17, 5, 18.4,⑨⑦⑨,10, 7,Ｋケンブリッジマイア, 73,古川吉, 1.2, 75,  10,  -6,11, 36.5,③③④,10, 2,Ａキョウエイタキオン, 73,的場勇, 0.6, 71,  -5,  11, 6, 11.9,⑪⑫⑪
11, 5,Ｈニシノグレキング, 56,藤田伸, 2.3, 48,  -2,  -8, 6, 11.3,⑩⑪⑪,11, 1,Ｇデンコウレｰナ, 50,北村友, 2.4, 44,* -3, -31,11,163.1,②④④,11,14,Ｅイチゴイチエ, 80,安藤勝, 1.3, 73,   8,  -3, 3,  8.3,⑤⑤⑦,11, 6,Ｌトウカイブレイズ, 62,荻野琢, 0.9, 64,  -1,  -3,11, 50.1,⑤④④
,,,,,,,,,,,,12,11,Ｌモルフェリメンバｰ, 35,大江原, 4.7, 32,  -7, -47,12,213.3,⑫⑫⑫,12, 1,Ｊニシノアンサｰ, 76,三浦皇, 1.4, 69,* 16, -21, 8, 17.9,①①①,12, 5,Ｉヤマカツマドンナ, 63,大江原, 1.1, 64,  -4,   1,14,171.4,⑨⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｍクラウニングワｰク, 69,北村友, 1.6, 73,   5,   0,14,137.0,⑪⑪⑬,13,12,Ｎワンダｰパｰトナ, 51,小林徹, 1.3, 66,  -5,   5,13,147.6,⑬⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｎクリアエンデバｰ, 66,藤田伸, 2.5, 60,   6, -17,13,111.8,⑥⑧⑩,14, 8,Ｊコアレスキャスト, 63,古川吉, 1.5, 57,  -1, -11,12, 75.2,⑤④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
