08年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,宝塚記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11, 8,Ｈレディプレッジ, 50,幸英明, 2.6, 45,  -6, -11,12,113.7, ⑬⑬,11, 5, コマノラミア,---,鮫島良, 2.0, 60,  14, -27,12, 36.0, ⑮⑭,,,,,,,,,,,,,11, 2,Ｍウォｰタｰクルｰズ, 77,芹沢純, 2.5, 67,  17, -23,10, 33.0,③③⑥
12,15,Ｋフジヤマオペラ, 42,田中健, 2.6, 46,  -6, -11,11, 78.3, ⑫⑬,12,10, ナイキアジアダラｰ,---,内田博, 2.1, 58,  17, -32,14, 74.8, ⑩⑪,,,,,,,,,,,,,12,14,Ｃビｰドラスティック, 85,角田晃, 2.6, 69,  11, -10, 6, 15.1,⑯⑯⑫
13, 3, コアレスベクタｰ,---,白坂聡, 3.1, 42, -15,  -6,14,134.2, ⑮⑮,13,18,Ｅクロシェレｰス, 61,幸英明, 2.5, 56,  20, -43, 7, 14.0, ④⑤,,,,,,,,,,,,,13,16,Ｐツルマルロｰズ, 74,船曳文, 2.6, 67,  12, -15,15,131.1,⑭⑬⑫
14, 2, グレイスシチｰ,---,後藤浩, 3.1, 45,* 10, -31, 4,  6.3, ①①,14, 2,Ｈゴルディオス, 60,岩田康, 2.6, 52,* 21, -47, 3,  7.2, ④④,,,,,,,,,,,,,14,13,Ｏスマイルハヅキ, 76,小坂忠, 3.4, 62,  14, -26,16,154.8,③⑦⑪
15, 9,Ｊメイショウシｰカｰ, 43,難波剛, 3.3, 40,   0, -23,10, 71.7, ⑥⑨,15,12,Ｄラヴファンタジスタ, 62,横山典, 2.8, 51,* 22, -52, 1,  3.5, ②②,,,,,,,,,,,,,15,11,Ｅメイショウチョイス, 82,佐藤哲, 4.1, 58,  10, -25,11, 63.6,⑬⑬⑯
,,,,,,,,,,,,16, 1,Ｂエｰシンブイムｰド, 64,四位洋, 2.9, 50,  17, -43, 4,  9.9, ⑫⑪,,,,,,,,,,,,,16,10,Ｌクラリオンコｰル, 78,熊沢重, 4.4, 59,  13, -33,13,105.2,⑦⑩⑫
,,,,,,,,,,,,17, 3,Ｍブエンビアッヘ, 53,藤岡康, 4.4, 38,* 22, -77,17,146.5, ①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 4,Ｆアグネスイカロス, 61,田中克, 8.3,-20,   9, ---, 9, 20.0, ⑦⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-22 馬場:不良(指数:-5),,,,,,,,,,,
単勝:590円 複勝:06=200円 05=180円 11=220円 枠連:630円,,,,,,,,,,,,"単勝:1,220円 複勝:11=310円 14=480円 08=220円 枠連:1,090円",,,,,,,,,,,,単勝:320円 複勝:08=160円 03=160円 06=220円 枠連:260円,,,,,,,,,,,,単勝:450円 複勝:07=180円 06=150円 04=390円 枠連:400円,,,,,,,,,,,
