08年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,桂川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,
単勝:190円 複勝:09=120円 08=140円 10=320円 枠連:500円,,,,,,,,,,,,単勝:760円 複勝:11=170円 02=110円 04=110円 枠連:990円,,,,,,,,,,,,"単勝:1,060円 複勝:05=220円 13=530円 01=110円 枠連:5,800円",,,,,,,,,,,,"単勝:370円 複勝:14=170円 01=850円 05=650円 枠連:2,100円",,,,,,,,,,,
"馬連:430円 ワイド:08-09=220円 09-10=650円 08-10=1,110円",,,,,,,,,,,,"馬連:1,310円 ワイド:02-11=370円 04-11=310円 02-04=140円",,,,,,,,,,,,"馬連:13,050円 ワイド:05-13=2,550円 01-05=350円 01-13=820円",,,,,,,,,,,,"馬連:17,820円 ワイド:01-14=4,450円 05-14=1,920円 01-05=8,380円",,,,,,,,,,,
"馬単:710円 3連複:1,960円 3連単:5,560円",,,,,,,,,,,,"馬単:3,340円 3連複:590円 3連単:7,860円",,,,,,,,,,,,"馬単:22,250円 3連複:5,490円 3連単:69,760円",,,,,,,,,,,,"馬単:26,980円 3連複:92,720円 3連単:523,990円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,北野特別,,,,,,,,,,,,観月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａトップゾｰン, 67,藤岡佑,, 51,  -9,*  0, 1,  2.5, ⑤⑦, 1,10,Ｂウォｰタクティクス, 81,武豊  ,, 80,* 14,   5, 1,  2.1,①①①, 1, 1,Ｅアｰネストリｰ, 80,佐藤哲,, 77,   3,  17, 2,  3.6,③④④, 1,13,Ｂトｰセンアｰチャｰ, 88,四位洋,, 86,  10,* 13, 3,  5.6,⑦④②
 2, 7,Ｃウェザｰサイド, 58,鮫島良, 0.2, 51,  -8,  -4, 4,  6.6, ⑤⑤, 2,12,Ｃトｰセンスタｰン, 79,岩田康, 0.7, 79,   7,* 14, 3,  5.7,⑨⑨⑦, 2, 9,Ｄタガノエルシコ, 81,岩田康, 0.0, 83,  -3,* 33, 1,  3.2,⑪⑪⑪, 2, 8,Ｆドリｰミｰペガサス, 86,武豊  , 0.2, 83,  10,* 11, 1,  2.8,⑤④④
 3, 2,Ｈジャミｰル, 30,上村洋, 0.4, 49,  -9,  -4, 7, 47.6, ⑧⑦, 3, 6,Ａマチカネカミカゼ, 83,川田将, 1.1, 75,   8,   7, 2,  4.0,⑦⑦⑤, 3,12,Ｋマルカハンニバル, 74,角田晃, 0.1, 74,*  8,   6, 5, 11.0,①①①, 3, 9,Ａタガノマｰシャル, 89,和田竜, 0.2, 84,* 11,   8, 2,  5.0,①②②
 4, 5,Ｄアキノカウンタｰ, 50,安藤勝, 0.5, 44,  -8, -10, 2,  2.7, ③③, 4,11,Ｄパレスミサイル, 78,田嶋翔, 1.1, 73,* 13,  -4, 5, 15.1,②②②, 4,13,Ｍタイセイファイタｰ, 70,小牧太, 0.1, 74,*  6,   7,11, 37.6,②②②, 4, 4,Ｄストラディヴァリオ, 86,岩田康, 0.8, 80,   8,   9, 6, 14.9,⑦⑧⑥
 5, 3,Ｂメイショウロｰツェ, 60,幸英明, 0.6, 45,* -5, -15, 5, 12.2, ②②, 5, 4,Ｋヒカリコｰズウェｰ, 64,橋本美, 1.7, 73,   4,* 10,10,108.9,⑫⑪⑩, 5,11,Ｃウォｰゲｰム, 81,安藤勝, 0.3, 77,  -2,  24, 3,  5.2,⑨⑩⑨, 5,10,Ｈピサノデイラニ, 83,横山典, 0.9, 77,* 12,  -1, 4,  6.1,③①①
 6, 9,Ｅオｰバルシェｰプ, 46,武豊  , 0.6, 44,  -6, -12, 3,  5.5, ③③, 6, 8,Ｇシルクダイナスティ, 72,田村太, 1.9, 69,  11,  -5, 7, 19.8,②④④, 6,14,Ｂテイエムアンコｰル, 82,武豊  , 0.4, 75,   1,  17, 4,  9.5,⑦⑥⑥, 6, 2,Ｅアグネスネクタル, 86,川田将, 1.0, 79,   6,* 11, 8, 34.4,⑯⑩⑩
