08年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西日本ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8,12,Ｃスタルカ, 65,高橋智, 3.6, 52,  11, -42, 3,  8.9,④⑤⑦, 8, 7,Ｄサワノパシュｰト, 59,安藤光, 2.7, 53,  -5,  -4, 6, 17.0,⑦⑨⑧, 8,12,Ｅボストンカラｰズ, 69,飯田祐, 0.8, 63,   6,  -6, 3,  5.4, ③②, 8,11,Ｆテイエムヒスイ, 70,渡辺薫, 1.7, 60,  -2,   3,10, 76.5,⑥④④
 9,11,Ａアグネスファントム, 71,吉田隼, 3.8, 51,  11, -42, 1,  2.5,④⑥⑦, 9,15, ロケットガｰル,---,田中健, 3.5, 48,  -5, -12,10, 99.9,⑦⑥⑧, 9,15,Ｃテイエムカイブツ, 71,芹沢純, 0.8, 64,   4,  -3,12, 37.9, ⑤④, 9, 8,Ｊブラックカシミｰル, 66,野元昭, 1.8, 59,* -1,   1, 7, 32.9,②②③
10, 1,Ｋファンドリタｰフ, 44,幸英明, 5.0, 48,   7, -46,11, 40.6,①⑫⑫,10, 1,Ｈラブイズビクトリｰ, 53,大下智, 3.5, 49,  -8,  -5,15,261.1,⑫⑭⑭,10, 6,Ｍキャプテンシチｰ, 61,田村太, 0.9, 63,  -4,   4,14, 76.7, ⑬⑭,10, 4,Ｅレッドゾｰン, 70,吉田隼, 1.9, 59,  -4,   6, 8, 37.2,⑯⑪⑩
11, 4,Ｌトウカイボルテｰジ, 29,石橋守, 5.5, 47,   7, -56, 6, 20.5,④⑩⑪,11,12, マチカネレツジツ,---,吉田隼, 3.8, 47,  -7,  -9, 8, 63.1,⑫⑬⑫,11, 1,Ｏセフティｰフリｰズ, 56,高野容, 0.9, 63,  -2,   1,15, 99.4, ⑧⑫,11, 9,Ｋコアレスガバナｰ, 60,川田将, 2.8, 53,  -3,  -2,14,153.6,⑮⑪⑩
12, 8,Ｄディベイタｰ, 59,芹沢純, 5.8, 45,   7, -60,12, 71.6,②⑩⑩,12, 5,Ｉニホンピロスピカ, 46,中村将, 4.1, 44,  -3, -18,11,129.3,③⑥⑥,12,16,Ｈイサミチェリｰ, 65,船曳文, 1.0, 61,  -4,   1, 9, 24.7, ⑩⑦,12,12,Ｐイｰグルホｰラｰ, 44,飯田祐, 2.9, 52,  -5,  -3,16,309.0,⑪⑪⑭
,,,,,,,,,,,,13,13,Ｊデンコウコルモ, 40,田村太, 4.4, 42,  -6, -16,16,330.9,⑦⑪⑫,13,10,Ｇウインライラ, 65,岩田康, 1.3, 57,  -3,  -3, 5, 14.2, ⑩⑫,13,13,Ｎヘイラホップ, 50,岩部純, 3.7, 47,  -3, -11,15,226.6,⑤⑦⑩
,,,,,,,,,,,,14,11, ダンシングアコ,---,浜中俊, 4.5, 39,  -4, -22, 7, 51.7,③⑥⑧,14, 3,Ｌテイエムフルパワｰ, 63,中村将, 1.4, 57, -18,  10,11, 31.8, ⑯⑯,14,14,Ｇシャイニングアワｰ, 69,鮫島良, 4.5, 41,  -3, -19, 3,  4.0,⑧⑦⑩
,,,,,,,,,,,,15, 3, ティケイビｰパレス,---,船曳文,11.8, -2, -37, -26,14,182.7,⑯⑯⑮,15,14,Ｐリンダムｰン, 49,高橋智, 1.4, 56,  -1,  -7,16,106.7, ⑧⑨,15, 7,Ｈニホンピロアニカ, 68,上野翔, 4.9, 38,  -4, -19,13,148.7,⑪⑪⑭
,,,,,,,,,,,,16, 6, ラシアンプロトコル,---,高橋智,11.8, -1, -34, -28,13,181.5,⑮⑮⑮,16, 5,Ｎスプリングピット, 58,吉田隼, 1.6, 53,   2, -12,13, 44.6, ⑤⑨,16,16,Ｏビリｰヴインタイム, 46,熊沢重, 5.4, 36,  -5, -22,12,138.5,⑬⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-6),,,,,,,,,,,
単勝:290円 複勝:09=140円 05=390円 06=420円 枠連:740円,,,,,,,,,,,,単勝:260円 複勝:02=120円 08=170円 10=120円 枠連:750円,,,,,,,,,,,,"単勝:1,480円 複勝:09=360円 04=160円 08=580円 枠連:1,110円",,,,,,,,,,,,"単勝:2,380円 複勝:15=510円 06=130円 01=140円 枠連:1,470円",,,,,,,,,,,
"馬連:2,030円 ワイド:05-09=730円 06-09=920円 05-06=2,400円",,,,,,,,,,,,"馬連:1,140円 ワイド:02-08=370円 02-10=170円 08-10=370円",,,,,,,,,,,,"馬連:2,450円 ワイド:04-09=1,090円 08-09=3,180円 04-08=1,360円",,,,,,,,,,,,"馬連:2,860円 ワイド:06-15=1,010円 01-15=1,320円 01-06=210円",,,,,,,,,,,
"馬単:2,750円 3連複:9,010円 3連単:28,280円",,,,,,,,,,,,"馬単:1,840円 3連複:990円 3連単:5,650円",,,,,,,,,,,,"馬単:6,370円 3連複:16,220円 3連単:115,520円",,,,,,,,,,,,"馬単:7,950円 3連複:2,970円 3連単:27,060円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝3390m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,,,,,,■12R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,小倉ｻﾏｰｼﾞｬﾝﾌﾟ,,,,,,,,,,,,足立山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｅテイエムハヤテオｰ, 59,小牧太,, 54,  -5,*  6, 2,  4.0, ⑨⑨, 1, 2,Ｊメイショウルシェロ, 52,飯田祐,, 63,   4,   0, 9, 32.9, ⑥⑤, 1, 8, バトルブレｰヴ,,菊地昇,,,,, 1,  2.3,②①①, 1,10,Ｂエｰシンジｰライン, 76,芹沢純,, 75,* -7,  22, 5,  8.7,①①①
 2, 4,Ｄテイエムセレス, 59,船曳文, 0.2, 58,   5,   0, 7, 14.0, ④④, 2, 8,Ｃアルモニｰ, 62,川田将, 0.0, 58, -11,* 12, 3,  8.3, ⑬⑫, 2, 3, コウエイトライ,,小坂忠,221.5,,,, 3,  4.0,③②②, 2, 6,Ｃコパノジングｰ, 74,岩田康, 0.1, 78, -12,* 30, 2,  3.9,⑧⑦⑥
 3, 9,Ｌバイソリュｰション, 35,橋本美, 0.3, 55,   5,  -3,12,169.5, ②②, 3, 9,Ｋニシノクニカラ, 51,石橋守, 0.1, 64,*  9,  -7,18,303.0, ①①, 3,12, ブラックコンドル,,高田潤,223.3,,,, 6, 25.3,①③③, 3, 8,Ｄフライングメリッサ, 72,鮫島良, 0.1, 78,* -9,  25, 4,  5.6,④③③
 4, 8,Ｂユウキアックン, 63,川島信, 0.3, 54,   4,  -2, 6, 13.7, ④④, 4, 5,Ｄシャンパンフルｰト, 61,小牧太, 0.1, 63,*  8,  -5, 5, 16.5, ②②, 4, 1, ゴｰルデンシャイン,,西谷誠,224.8,,,, 2,  3.6,⑧⑦⑦, 4, 4,Ｅマヤノバルトｰク, 71,浜中俊, 0.2, 75,* -9,  20, 3,  4.6,②②②
 5,13,Ｋキャナレット, 39,熊沢重, 0.3, 53,  -1,   1,13,184.1, ⑦⑦, 5,15,Ｂビジュアルクイｰン, 64,吉田隼, 0.2, 61,   5,  -4, 2,  5.8, ⑤⑤, 5, 6, ピクシｰストｰン,,植野貴,225.3,,,, 5, 20.3,④⑤⑤, 5, 7,Ａマイネルクルｰガｰ, 81,藤岡康, 0.4, 73, -10,  23, 1,  2.6,⑤④④
 6, 6,Ａメイデンミヤビ, 66,吉田隼, 0.4, 51,  -2,   1, 9, 16.1, ⑧⑦, 6, 1,Ａタイセイビエント, 68,赤木高, 0.3, 58,   2,  -3, 1,  1.7, ⑨⑦, 6, 2, クｰルジョイ,,金折知,225.9,,,, 9, 51.9,⑨⑧⑧, 6, 1,Ｉディビデンド, 58,幸英明, 0.8, 70, -13,  21, 7, 33.4,⑤⑦⑦
 7, 2,Ｆサマｰナイトスタｰ, 53,河北通, 1.1, 43,  -7,  -2, 8, 14.7, ⑪⑨, 7, 4,Ｅサンライトマリｰ, 61,上村洋, 0.3, 60,*  6,  -7, 4,  8.7, ③③, 7, 9, ウォｰタｰトリトン,,佐久間,227.0,,,,12,108.6,⑪⑨⑨, 7, 2,Ｇタマモランニング, 69,川島信, 0.8, 67, -10,  17, 8, 70.8,⑤④④
