08年 7月20日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月20日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,駒ｹ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬連:570円 ワイド:01-04=270円 04-10=300円 01-10=1,620円",,,,,,,,,,,,"馬連:3,020円 ワイド:01-09=660円 05-09=430円 01-05=260円",,,,,,,,,,,,"馬連:9,270円 ワイド:01-09=2,330円 04-09=370円 01-04=1,370円",,,,,,,,,,,,"馬連:590円 ワイド:04-15=260円 04-06=3,930円 06-15=6,210円",,,,,,,,,,,
"馬単:710円 3連複:1,950円 3連単:4,270円",,,,,,,,,,,,"馬単:6,980円 3連複:1,820円 3連単:20,940円",,,,,,,,,,,,"馬単:15,860円 3連複:9,900円 3連単:81,120円",,,,,,,,,,,,"馬単:970円 3連複:22,140円 3連単:68,670円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾏﾘｰﾝｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂキタサンユキ, 64,藤岡佑,, 58,  -3,*  7, 4, 13.9,③③②, 1, 7,Ａマイネルオｰル, 66,三浦皇,, 67,* -2,   5, 1,  1.8,②②②, 1,11,Ｃトｰセンブライト, 92,藤岡佑,, 89,  15,  12, 5, 17.0,⑧③③, 1, 5,Ｃゴｰルドクリッパｰ, 68,ホワイ,, 72,   2,* 12, 6, 12.0, ④④
 2, 9,Ｃサラノコジｰン, 64,三浦皇, 0.1, 57,  -4,*  7, 1,  2.1,⑤⑤③, 2,10,Ｊクリノモンブラン, 50,大野拓, 0.3, 65,*  0,   0,11, 96.7,①①①, 2, 6,Ａフェラｰリピサ, 96,藤田伸, 0.0, 88,  14,* 14, 1,  1.8,⑧⑤③, 2, 6,Ｄアンソロジｰ, 67,北村友, 0.3, 69,*  6,   5, 2,  4.5, ③③
 3, 5,Ｅコナフェット, 55,武幸四, 0.6, 54,  -4,   5, 6, 25.4,⑧⑦⑤, 3, 5,Ｇシンボリザックス, 52,津村明, 0.4, 64,  -4,   4,10, 90.2,⑦④④, 3, 4,Ｄアドマイヤスバル, 92,村田一, 0.2, 88,* 15,   8, 2,  3.7,③②②, 3, 7,Ａオリオンザドンペリ, 70,藤田伸, 0.5, 65,  -4,* 12, 3,  5.7, ⑩⑩
 4, 7,Ａチャｰムベル, 64,安藤勝, 0.7, 56,  -5,*  9, 2,  2.3,⑩⑪⑨, 4,12,Ｉブルｰアンビシャス, 51,長谷川, 0.4, 66,  -6,* 10, 8, 36.9,⑦⑨⑩, 4, 1,Ｂメイショウサライ, 94,横山典, 0.4, 86,  13,  12, 3,  8.4,⑫⑥⑤, 4,11,Ｎマチカネスマアカシ, 58,丸田恭, 0.6, 63,  -2,   8,13, 80.8, ⑦⑦
 5, 2,Ｇマウイジャカランダ, 50,藤田伸, 0.8, 53,  -5,   6, 3, 11.7,⑩⑨⑧, 5, 2,Ｄメイショウマゼラン, 60,武幸四, 0.5, 66,  -7,* 10, 7, 32.1,⑫⑨⑦, 5, 2,Ｊベストオブミｰ, 83,三浦皇, 0.5, 85,  13,  11, 4,  9.5,⑧⑥⑤, 5, 3,Ｂギンザマスタング, 68,的場勇, 0.7, 62,* 11,  -6, 4,  7.6, ①①
