08年11月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ2100m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,UAE賞,,,,,,,,,,,,香港賞,,,,,,,,,,,,ｱｼﾞｱ競馬会議記念,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,11,Ｅオペラシュｰズ, 49,吉田隼, 2.8, 30,*  6, -37, 4, 31.6, ②②,12,14, ダイワパｰパス,---,北村宏, 1.5, 19, -58,  10,11, 96.6,⑬⑫⑫,,,,,,,,,,,,,12, 6,Ｌマキハタサイボｰグ, 85,田中勝, 1.8, 83,   4,  26,14, 81.8,⑭⑮⑮
13, 1,Ｇグロｰリアスクイン, 45,江田照, 2.8, 29,  -3, -24,12,133.2, ⑧⑧,13, 3, クリストリビュｰト,---,吉田隼, 1.9, 16, -58,   6,10, 55.6,⑪⑬⑬,,,,,,,,,,,,,13, 8,Ｊマンハッタンスカイ, 86,柴田善, 1.9, 73,  10,   4, 9, 22.7,④④④
14, 2,Ｎタイムサイクル, 29,郷原洋, 3.0, 30,  -6, -18,14,256.8, ⑫⑬,14, 8, トウショウライド,---,田中勝, 2.6,  7, -60,  -3, 7, 34.3,⑬⑬⑭,,,,,,,,,,,,,14, 9,Ｐセタガヤフラッグ, 79,武士沢, 2.1, 66,* 20, -28,15,122.4,①①①
15, 9,Ｏショウナンアデｰヤ, 26,柴田善, 3.0, 30, -11, -12,15,359.4, ⑮⑮,15,11, マイネルプエルト,---,吉田稔, 2.6,  7, -60,  -2, 9, 55.2,⑮⑮⑮,,,,,,,,,,,,,15, 5,Ｇエアジパング, 89,後藤浩, 2.2, 76,   6,  14,11, 32.6,⑩⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｂメイショウカチドキ, 95,浜中俊, 2.9, 69,   8,   1, 6, 16.0,⑩⑩⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-33 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:93 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:0),,,,,,,,,,,
"単勝:120円 複勝:10=110円 03=170円 05=1,460円 枠連:320円",,,,,,,,,,,,"単勝:670円 複勝:06=200円 15=170円 12=160円 枠連:1,140円",,,,,,,,,,,,単勝:300円 複勝:06=190円 07=250円 05=710円 枠連:0円,,,,,,,,,,,,"単勝:890円 複勝:04=210円 14=160円 10=130円 枠連:1,470円",,,,,,,,,,,
"馬連:340円 ワイド:03-10=190円 05-10=2,460円 03-05=6,520円",,,,,,,,,,,,"馬連:1,430円 ワイド:06-15=610円 06-12=530円 12-15=490円",,,,,,,,,,,,"馬連:1,370円 ワイド:06-07=470円 05-06=1,720円 05-07=2,040円",,,,,,,,,,,,"馬連:1,500円 ワイド:04-14=530円 04-10=430円 10-14=300円",,,,,,,,,,,
"馬単:410円 3連複:11,640円 3連単:23,840円",,,,,,,,,,,,"馬単:3,370円 3連複:2,330円 3連単:14,790円",,,,,,,,,,,,"馬単:2,090円 3連複:8,050円 3連単:35,230円",,,,,,,,,,,,"馬単:3,520円 3連複:1,480円 3連単:10,090円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 6R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 9R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,南ｱﾌﾘｶ賞,,,,,,,,,,,,ｵｰｽﾄﾗﾘｱ賞,,,,,,,,,,,,ｼﾝｶﾞﾎﾟｰﾙTC賞,,,,,,,,,,,,ﾀｲﾗﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃマルタカハンタｰ, 49,内田博,, 61,  -7,   3, 1,  1.6, ④③, 1,12,Ａサラトガ, 78,内田博,, 76,*  4,  11, 1,  1.9, ③②, 1, 9,Ｊワンダｰポデリオ, 76,内田博,, 89,  10,* 20, 5, 13.2, ⑩⑩, 1,14,Ｂドラゴンファング, 79,藤田伸,, 89,  -3,* 22, 1,  2.6, ⑥⑤
 2, 4,Ｇファインプレイ, 37,ペリエ, 0.1, 57,* -4,  -2, 5, 12.2, ②②, 2, 5,Ｄケルティックハｰプ, 68,松岡正, 0.3, 74,   2,  11, 2,  3.1, ⑤④, 2, 7,Ｆタマモグレアｰ, 80,松岡正, 0.5, 85,  12,  11, 4,  8.6, ④④, 2,11,Ａオｰロマイスタｰ, 82,吉田豊, 0.0, 88,  -3,* 21, 2,  4.8, ⑦⑤
 3, 7,Ｅドリｰムブランチ, 47,松岡正, 0.1, 59,  -7,   0, 6, 19.1, ③③, 3, 7,Ｂエムアイティアラ, 76,武士沢, 1.0, 70,  -6,* 15, 3,  7.8, ⑭⑫, 3, 8,Ｄトｰセントゥルｰ, 80,後藤浩, 0.8, 83,   6,* 18, 2,  4.9, ⑮⑮, 3, 6,Ｊケンブリッジマイア, 72,江田照, 0.6, 81,  -6,  17,12,100.4, ⑪⑨
 4, 9,Ｄユウキハングリｰ, 48,郷原洋, 0.3, 54,* -3,  -7, 4,  9.5, ①①, 4, 8,Ｈアルフェラッツ, 61,岩部純, 1.2, 66,*  4,  -1,12,218.0, ①①, 4, 4,Ｂクリストフォルス, 82,ペリエ, 1.0, 79,* 15,   1, 1,  2.5, ①①, 4, 7,Ｉヴンダｰ, 73,蛯名正, 0.7, 82,  -8,* 20, 6, 21.4, ⑬⑫
