08年 8月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 8,Ｄシルクレパｰド, 61,田島裕, 0.5, 56,  -9,*  4, 4, 16.5,⑦⑧⑧, 7, 3,Ｇスペシャルサイオｰ, 65,田島裕, 1.4, 65,  -4,   9,10, 55.5,⑫⑩⑨, 7,16,Ｄアグネスソリッド, 72,安藤光, 0.7, 68,*  7,  -4, 5,  7.7,①①①, 7,11,Ｆロｰレルベルロｰド, 70,鮫島良, 0.6, 65,* -3,   1, 3,  4.2,③②②
 8,10,Ｇアイノレオ, 56,上村洋, 0.7, 54, -11,   3, 8, 50.0,⑩⑨⑨, 8, 2,Ｃユグドラシル, 67,赤木高, 1.6, 61,   1,  -1, 8, 28.7,⑨③④, 8,13,Ｇホワイトショウフク, 69,熊沢重, 1.0, 70,   4,   2, 9, 37.0,⑪⑧⑦, 8, 8,Ｋフィｰルドグランデ, 55,野元昭, 0.7, 64,  -6,   4,10, 86.4,⑤④③
 9, 6,Ｉデンコウマｰチン, 55,幸英明, 0.9, 50, -14,   3,11,122.7,⑧⑩⑩, 9,15,Ｉフジハマカゼ, 59,高橋智, 2.2, 60,  -5,   5,12,163.1,⑭⑬⑪, 9,10,Ｆラフィナｰル, 70,浜中俊, 1.2, 64,*  7,  -7, 8, 18.8,①②②, 9, 5,Ｄロザリオ, 74,上村洋, 0.9, 65,  -7,   6, 4,  7.4,⑩⑦⑥
10, 1,Ｌアマゾンノハナ, 48,太宰啓, 1.1, 47, -20,*  5, 6, 30.7,⑭⑭⑭,10, 4,Ｂトｰホウボガｰド, 68,吉田隼, 2.9, 53,   1, -12, 3,  4.8,②③④,10, 1,Ｉウイニングコウイチ, 67,太宰啓, 1.3, 64,   2,   1, 7, 18.6,⑪⑩⑨,10, 4,Ｊゴｰルデンカイザｰ, 57,幸英明, 1.4, 60,  -9,   1,11, 95.7,⑪⑩⑨
11,11,Ｊホクザンヴィアンド, 52,川島信, 1.2, 48, -14,   1,13,253.3,⑪⑩⑪,11,12,Ｊマイティｰウラン, 58,船曳文, 3.3, 50,  -2, -10,11, 62.7,⑤⑦⑨,11, 7,Ｍデジャヴ, 61,赤木高, 2.6, 55,   1,  -8,10, 49.3,⑭⑭⑬,11, 3,Ｉテイケイプリオｰル, 62,小牧太, 1.5, 57,  -7,  -1, 8, 51.1,⑧⑨⑨
12, 2,Ｋトウカイメリッサ, 52,酒井学, 1.3, 46, -17,   1, 9, 73.2,⑬⑫⑬,12,11,Ｏエトワｰルブラン, 48,生野賢, 4.2, 45,  -6, -11,13,165.2,⑭⑮⑮,12,11,Ｏミスズスキャット, 46,角田晃, 2.7, 57,  -1,  -5,13,109.9,⑮⑮⑯,,,,,,,,,,,,
13, 5,Ｎファンドリピｰス, 34,安藤光, 1.7, 45,*  3, -15,10, 80.5,②②②,13,14,Ｋエプソムサクラ, 54,岩崎祐, 4.2, 46,  -4, -13,15,300.7,⑩⑫⑫,13,12,Ｈミシックキョウト, 69,佐藤哲, 2.7, 56,   2, -11,11, 59.6,⑥⑩⑮,,,,,,,,,,,,
14, 7,Ｍマルタカヴィグラス, 41,小坂忠, 1.9, 40, -17,  -4,14,321.8,⑪⑫⑫,14,10,Ｎダンツキッシン, 49,田村太, 4.2, 45,  -5, -13,16,370.9,⑫⑬⑫,14, 4,Ｎシュロ, 52,芹沢純, 2.7, 57,   0,  -5,16,276.0,⑮⑮⑬,,,,,,,,,,,,
,,,,,,,,,,,,15,13,Ｍシグナスルｰプ, 53,上村洋, 5.2, 39,  -3, -26, 7, 20.9,⑤⑦⑫,15, 2,Ｐキｰスニｰカｰ, 31,船曳文, 2.8, 54,   3, -13,15,153.3,⑨⑩⑨,,,,,,,,,,,,
,,,,,,,,,,,,16, 6, ジャストオｰサム,---,渡辺薫, 7.5, 25, -16, -22,14,212.3,⑯⑯⑯,16, 9,Ｋクリスタルドア, 66,幸英明, 2.9, 53,   4, -15,14,110.6,⑤⑧⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
