08年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
馬連:510円 ワイド:02-11=230円 10-11=210円 02-10=380円,,,,,,,,,,,,"馬連:300円 ワイド:03-11=160円 01-03=1,190円 01-11=2,120円",,,,,,,,,,,,"馬連:18,930円 ワイド:03-10=4,870円 09-10=1,960円 03-09=4,770円",,,,,,,,,,,,"馬連:7,510円 ワイド:08-11=2,430円 04-08=8,830円 04-11=20,480円",,,,,,,,,,,
"馬単:1,020円 3連複:830円 3連単:3,630円",,,,,,,,,,,,"馬単:610円 3連複:4,650円 3連単:14,790円",,,,,,,,,,,,"馬単:39,160円 3連複:65,500円 3連単:424,340円",,,,,,,,,,,,"馬単:14,920円 3連複:217,820円 3連単:931,360円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■12R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,九重特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10, ドｰルリヴィエｰル,,黒岩悠,,,,, 1,  1.6,④③③, 1,16,Ｄヤマカツアザミ, 59,船曳文,, 58,* -9,   1, 2,  8.7,③②②, 1, 7,Ｄロックオブサリサ, 71,和田竜,, 75,  -6,* 12, 3,  4.2, ⑨⑦, 1, 9,Ａフライングメリッサ, 74,鮫島良,, 79,*  7,   5, 1,  3.0,④②②
 4, 3, シンメイリゲル,,西谷誠,191.7,,,, 4,  8.8,④⑥⑥, 2, 7,Ｃチョウラブラブ, 61,太宰啓, 0.1, 59,* -9,   1, 4, 12.4,④④④, 2, 8,Ｃナリタスパｰク, 72,渡辺薫, 0.2, 72,  -8,* 12, 4,  6.7, ⑩⑩, 2, 4,Ｄマイネルクロイツ, 70,佐藤哲, 0.2, 73,*  8,  -3, 3,  4.9,①①①
 2,11, イナズマイｰジス,,金折知,191.8,,,, 3,  6.4,①①②, 3, 1,Ｆアンリミテッドラヴ, 58,和田竜, 0.2, 56,* -8,  -4, 1,  2.2,①①①, 3, 6,Ｅシャウトライン, 70,浜中俊, 0.4, 71,   0,   2, 2,  3.7, ③③, 3, 2,Ｇディビデンド, 65,和田竜, 0.4, 76,   0,* 13, 5, 13.6,⑫⑫⑨
 3, 8, アザンクｰル,,南井大,192.1,,,, 2,  5.9,⑥⑤④, 4, 9,Ｎインザミスト, 42,田中健, 0.4, 58, -14,*  6,11, 26.2,⑪⑪⑩, 4, 2,Ｂセトノアンテウス, 72,吉田隼, 0.4, 69,*  1,   1, 1,  3.5, ②②, 4, 5,Ｅシゲルアサンテサナ, 67,角田晃, 0.7, 75,   1,* 12, 6, 14.2,⑬⑬⑦
 5, 6, ニホンピロファイブ,,熊沢重,192.2,,,, 5, 17.2,②②①, 5,14,Ｅクリノソｰニャ, 58,吉田隼, 0.7, 51, -11,  -5, 8, 16.9,⑦⑦④, 5, 5,Ａセレブラｰル, 72,佐藤哲, 0.6, 66,   0,  -1, 5,  9.1, ③③, 5,13,Ｈアンティシペイタｰ, 65,太宰啓, 1.2, 66,   4,  -7,10, 57.2,⑦④⑥
