08年10月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾘｳｽｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,15,16,Ｍルドルフキング, 17,渡辺薫, 9.8,-40, -34, -53,16,330.3, ⑯⑮,15, 1,Ｉオｰトホｰク, 71,川田将, 0.9, 67,  -1,   8, 7, 27.3,⑭⑯⑯,15, 6,Ｋリュウケン, 69,吉田稔, 1.9, 58,  -4,  -3,12, 92.4, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｑオンワｰドファイン, 61,田中克, 1.1, 66,  -2,   9,16,202.8,⑯⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｊマイネアプレイザｰ, 70,田中健, 1.2, 61,   3,  -7, 9, 51.7,⑦③⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,
"単勝:190円 複勝:10=120円 08=890円 05=500円 枠連:1,690円",,,,,,,,,,,,"単勝:250円 複勝:12=150円 03=300円 05=220円 枠連:1,370円",,,,,,,,,,,,単勝:340円 複勝:07=150円 14=160円 11=380円 枠連:610円,,,,,,,,,,,,"単勝:430円 複勝:08=210円 13=570円 05=280円 枠連:3,850円",,,,,,,,,,,
"馬連:6,070円 ワイド:08-10=1,770円 05-10=790円 05-08=7,800円",,,,,,,,,,,,"馬連:1,850円 ワイド:03-12=730円 05-12=410円 03-05=890円",,,,,,,,,,,,"馬連:670円 ワイド:07-14=290円 07-11=990円 11-14=1,010円",,,,,,,,,,,,"馬連:6,570円 ワイド:08-13=1,610円 05-08=780円 05-13=2,970円",,,,,,,,,,,
"馬単:9,060円 3連複:23,050円 3連単:124,290円",,,,,,,,,,,,"馬単:3,220円 3連複:3,140円 3連単:15,260円",,,,,,,,,,,,"馬単:1,310円 3連複:3,470円 3連単:13,420円",,,,,,,,,,,,"馬単:12,030円 3連複:18,950円 3連単:107,890円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1400m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ききょうｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
