08年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰﾒｲﾄﾞｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 8,Ｆスナｰクストｰム, 56,田中健, 0.8, 53,  -4,* -1, 6, 25.6, ⑩⑩, 7,18,Ｏシゲルアンビシャス, 45,角田晃, 1.5, 65,   2,* -6,17,214.6, ⑱⑰, 7,15,Ｉパナマックス, 69,秋山真, 0.9, 70,   5,  -1, 8, 38.1, ⑨⑨, 7, 8,Ｆカネトシリベルテ, 80,福永祐, 1.2, 75,* 24, -30, 7, 16.0, ②③
 8, 1,Ｇデンコウマｰチン, 56,太宰啓, 0.9, 52,   1,  -6,11, 89.9, ⑧⑥, 8, 6,Ｇロザリオ, 58,小牧太, 1.8, 63,   4, -11, 5, 10.0, ⑫⑭, 8,13,Ｂプラチナムペスカ, 79,藤岡康, 1.0, 70,   9,  -7, 3, 11.0, ⑤⑥, 8, 9,Ｇクラウンプリンセス, 79,上村洋, 1.3, 73,  14, -15, 5, 12.1, ⑪⑨
 9,10,Ｉカネトシロフティ, 46,今村康, 1.3, 49,   0,  -9, 8, 47.3, ⑧⑨, 9, 3,Ａパワｰチャンス, 68,岡部誠, 1.9, 59,   6, -18,10, 53.6, ⑧⑩, 9,14,Ｌナリタトパｰズ, 60,河北通, 1.3, 64,  -1,   0,15,304.5, ⑫⑫, 9, 6,Ｎクレバｰジェフリｰ, 71,藤岡康, 1.6, 71,  14, -19,12, 69.5, ⑨⑨
10,14,Ｋドリｰムガｰルズ, 38,川島信, 1.9, 45,   4, -18, 9, 61.9, ④⑥,10,13, マチカネカミカゼ,---,野元昭, 2.0, 58,   4, -18,11, 63.2, ⑫⑩,10, 6,Ｇレミｰエンジェル, 70,大下智, 1.4, 63,   2,  -5,10,102.8, ⑪⑩,10, 2,Ｉエイシンインパｰル, 77,小牧太, 2.0, 66,  12, -21,10, 47.3, ⑬⑫
11,16, スリｰサンビｰム,---,田中克, 2.0, 44,   2, -18,10, 86.6, ⑤⑥,11,12,Ｋジャングルゼット, 48,田中克, 2.0, 57,*  8, -27, 9, 48.8, ③②,11, 7,Ｏワンモアグリッタｰ, 57,岡部誠, 1.5, 60, -12,*  7,13,221.0, ⑮⑮,11,13,Ｋシャイナムスメ, 77,浜中俊, 2.1, 67,  19, -35, 6, 14.5, ⑦⑦
12,13,Ｂテイエムハヤテオｰ, 63,岩田康, 2.4, 38,  -7, -12, 2,  2.7, ⑪⑫,12, 9,Ｌエｰシンディｰエス, 47,鮫島良, 2.0, 58,   7, -24,13, 91.0, ⑤④,12,12,Ｈマッキｰバクシン, 70,野元昭, 1.5, 66,  12, -15, 9, 49.7, ③③,12,11,Ｃランヘランバ, 81,鮫島良, 2.2, 64,  21, -39, 8, 25.2, ⑤⑤
13,12,Ｌマッキｰジャッカル, 38,赤木高, 2.7, 36, -16,  -6,14,203.7, ⑮⑯,13, 8,Ｆエｰシンピｰクブイ, 59,田中健, 2.4, 55,   3, -21, 8, 45.4, ⑯⑭,13, 4,Ｋトｰワスキャット, 62,田中健, 2.1, 56,   8, -19,12,157.2, ⑦⑦,13, 1,Ｌシルクシャｰプネス, 73,秋山真, 2.9, 56,  13, -34,13, 70.7, ⑪⑫
14, 7, マルブツタイシ,---,岡部誠, 3.3, 31, -16, -13,13,172.5, ⑭⑭,14,17,Ｎトップオブオペラ, 46,熊沢重, 2.7, 51,*  8, -36,18,270.5, ⑤④,14, 3,Ｎポｰトカンパｰニュ, 59,角田晃, 2.2, 57,  12, -24,11,154.7, ③③,14, 3,Ｐニホンピロファイブ, 68,岡部誠, 3.2, 54,  22, -56,15,141.8, ②④
15, 5,Ｍグロｰバルアイ, 24,宇田登, 3.3, 32, -16, -11,15,227.8, ⑮⑭,15,15,Ｊハギノリｰデル, 49,上村洋, 3.1, 47,   6, -37,14,107.3, ⑧⑦,15,11,Ｍマイティマイロｰド, 60,田村太, 3.0, 43,  -6, -18,14,303.0, ⑫⑭,15,14,Ｏビッグファルコン, 70,熊沢重, 3.5, 51,  13, -42,16,155.1, ⑬⑫
16,15,Ｊカネトシブレｰニｰ, 39,生野賢, 3.3, 31, -11, -16,16,286.8, ⑬⑬,16,10,Ｍトウカイメリッサ, 47,武幸四, 3.4, 47,*  8, -47,12, 67.6, ②②,,,,,,,,,,,,,16,15,Ｍインプレッション, 72,幸英明, 3.7, 50,  10, -41,14, 80.6, ⑯⑯
