08年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,関西TVﾛｰｽﾞS ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4,10, タイキディザイア,,金折知,200.1,,,,11, 88.9,①②②, 4, 6,Ｄウインフェイム, 73,小牧太, 0.3, 75,  -2,  17, 5, 10.9,⑩⑦②, 3,16,Ｃシロキタカｰニバル, 75,福永祐, 0.1, 71,   2,*  2, 3,  6.6, ⑭⑪, 4, 2,Ｃメイショウエンジン, 77,浜中俊, 0.3, 76,   1,* 18, 3,  7.3,⑦⑪⑫
 5, 2, シンメイリゲル,,岩崎祐,200.3,,,, 2,  3.9,⑤④⑤, 5, 9,Ｆアマゾネスバイオ, 72,幸英明, 0.4, 75,  -4,* 19, 8, 24.1,⑨⑩⑨, 5, 9,Ａフミノバラｰド, 77,岩田康, 0.1, 71,   5,   0, 2,  6.0, ⑪⑪, 5, 8,Ｍアキノキャプテン, -4,福永祐, 0.5, 74,*  4,  10, 8, 31.3,①①①
 6, 4, スズカクリエｰト,,北沢伸,200.8,,,, 9, 50.7,⑥⑤⑥, 6, 8,Ｇナムラソワン, 72,田中克, 0.6, 76,  -5,* 19, 7, 23.1,⑪⑪⑩, 6, 8,Ｄマッキｰバクシン, 74,野元昭, 0.4, 74,* 17, -15,13, 45.9, ②②, 6,12,Ｂマルブツセンタｰ, 79,岩田康, 0.6, 73,   2,  14, 2,  5.3,⑦⑥⑥
 7, 3, フォレストロバリｰ,,小坂忠,201.6,,,,10, 59.2,⑨⑧⑦, 7, 3,Ｃアドマイヤミスティ, 74,岩田康, 0.7, 73,  -3,  15, 4,  5.9,⑦⑦⑥, 7, 7,Ｂコスモイライザ, 76,浜中俊, 0.6, 73,* 18, -19, 6, 12.1, ①①, 7, 5,Ｅダブルダンスシチｰ, 76,中村将, 0.6, 73,   1,  16, 7, 16.0,⑩⑬⑩
 8, 7, タガノデンジャラス,,高田潤,201.9,,,, 3,  5.5,⑧⑨⑨, 8, 5,Ｅブラックカシミｰル, 72,野元昭, 1.3, 67,*  0,   5, 6, 13.3,①①②, 8,10,Ｎルミナスハｰバｰ, 68,小牧太, 0.6, 67,   9, -10, 1,  3.0, ⑧⑧, 8, 3,Ｊカリスマシャチョウ, 66,幸英明, 0.9, 70,   2,  10,11, 54.9,③⑥⑧
 9, 8, ホウライナポレオン,,南井大,205.5,,,, 6, 39.4,④⑦⑧, 9, 2,Ｉクイックバレリｰナ, 66,飯田祐, 1.8, 64,  -2,   3,11,143.6,④④⑥, 9, 3,Ｈボストンオｰ, 72,和田竜, 0.6, 68,  11, -13, 8, 16.1, ⑦⑤, 9,13,Ｆアルトップラン, 74,藤岡佑, 1.1, 68,   2,   7, 5, 10.2,⑤④③
10, 6, シアトルシｰフェア,,白浜雄,206.0,,,, 5, 35.4,⑩⑩⑩,10,10,Ｋリヴィエｰルジｰタ, 63,酒井学, 2.6, 60,  -4,   0,10, 73.9,⑦⑦⑪,10, 2,Ｍトッケンショウブ, 69,中村将, 0.8, 63,   4,  -8,16,146.9, ⑫⑭,10, 6,Ｉマルイチハｰト, 68,田中健, 1.3, 71,   2,   9,13,195.4,⑤⑥⑩
,,,,,,,,,,,,,,,,,,,,,,,,11, 4,Ｆプラチナムペスカ, 73,角田晃, 0.9, 65,  14, -20, 5, 11.5, ⑤⑤,11, 4,Ｄマイネルカンタｰレ, 77,和田竜, 1.4, 68,   2,   6,10, 39.6,⑫⑥③
,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｐリリウオカラニ, 64,鮫島良, 0.9, 62,  -7,*  1,15,146.3, ⑯⑯,12,10,Ｌワンダｰフガタ, 32,田中克, 2.1, 63,   2,  -1,12,146.0,③④⑥
,,,,,,,,,,,,,,,,,,,,,,,,13, 6,Ｊミスズアロハ, 71,藤岡佑, 1.3, 58,   9, -20,12, 35.8, ⑧⑧,13, 9,Ｋレプラコｰン, 65,赤木高, 2.6, 57,   1,  -3, 9, 32.2,⑦⑥⑫
