08年11月 2日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 2日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1150m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,10,Ｅハヤブサリｰフ, 38,丸田恭, 0.8, 41,  -9,  -9, 6, 60.6, ⑥⑧, 7, 1,Ｇメイクユｰハッピｰ, 62,津村明, 0.5, 64, -12,*  9, 9, 66.9, ⑮⑩, 7, 1,Ｇロｰドグレイシア, 66,荻野琢, 1.4, 61,  -3,   7, 6, 14.0,⑦⑨⑧, 7, 6,Ｌファｰストナイナｰ, 69,高橋智, 0.6, 72,   2,   3,13, 43.7, ④⑤
 8, 8,Ｈサイレントボス, 33,千葉直, 0.9, 40,  -9, -11, 8,122.6, ⑥⑦, 8, 9,Ｃシｰディドアラバイ, 72,菊沢隆, 0.6, 63, -10,   6, 4,  8.4, ⑫⑩, 8, 7,Ｌファイトシｰン, 63,赤木高, 1.4, 60,  -4,  10,11, 61.3,⑫⑪⑩, 8,14,Ｄアイアムエンジェル, 75,中舘英, 0.8, 70,*  6,  -3, 5,  8.3, ①①
 9, 5,Ｊハワイアンシェｰナ, 30,黛弘人, 1.0, 39, -17,  -4,12,319.8, ⑪⑪, 9, 4,Ｎリザルト, 57,宮崎北, 0.7, 61,  -5,   0,16,191.7, ③③, 9, 5,Ｋダイワパンテｰラ, 65,池崎祐, 1.5, 59,  -5,   9,15,334.8,⑨⑪⑩, 9, 5,Ｏミスズアロハ, 68,荻野琢, 0.8, 69,  -4,   6,14,116.9, ⑪⑭
10, 9,Ｋミラクルフェイマス, 27,中村将, 1.3, 36,  -6, -18, 9,126.6, ③④,10, 6,Ｏタイキティアラ, 56,千葉直, 0.8, 60,  -6,   0,13,134.7, ⑥⑩,10,13,Ｈシｰクルｰザｰ, 65,大下智, 1.5, 61,*  0,   2,13,185.2,②②③,10,12,Ｂマイネルグロッソ, 79,丹内祐, 0.9, 68,  -1,   2, 9, 25.5, ⑥⑤
11, 2,Ｇカシノドラゴン, 36,西田雄, 2.3, 21, -12, -26,10,154.9, ⑨⑩,11,10,Ｆピエネヴェｰレ, 62,藤岡康, 0.9, 59, -10,   2, 7, 28.9, ⑫⑩,11,14,Ｍコアレスルドルフ, 63,千葉直, 1.6, 57,  -6,  10,14,220.3,⑬⑬⑬,11,13,Ｊリキアイダンディ, 72,横山義, 0.9, 68,  -1,   2,10, 27.2, ⑥⑤
12, 6,Ｌラブモｰニング, 17,菅原勲, 2.5, 20, -25, -15,11,267.8, ⑫⑫,12, 5,Ｊブリリアントマリｰ, 60,中谷雄, 1.0, 58,  -6,  -2,11, 88.2, ⑥⑭,12, 9,Ｉヨシカツゾｰ, 65,梶晃啓, 1.9, 55,  -2,   0,12,120.8,④④⑧,12, 4,Ｍエフティアクトレス, 68,田中博, 0.9, 69,  -2,   4, 8, 20.5, ⑩⑩
,,,,,,,,,,,,13,11,Ｌコスモビット, 57,大野拓, 1.5, 50, -17,   1,14,151.9, ⑯⑮,13,12,Ｎクリスマスギフト, 62,小野次, 2.0, 56,  -7,   8,10, 52.8,⑭⑭⑭,13, 7,Ｋコスモランゲル, 71,千葉直, 0.9, 68,  -6,   7,12, 43.6, ⑬⑩
,,,,,,,,,,,,14,14,Ｄランラン, 69,安藤光, 1.9, 46,  -6, -14, 3,  8.4, ⑥⑦,14,10,Ｆモシカシテ, 67,中村将, 2.2, 53,  -4,   2, 8, 33.3,⑩⑩⑩,14, 3,Ｆフミノバラｰド, 75,三浦皇, 1.4, 62,  -4,  -2, 4,  6.6, ⑪⑮
,,,,,,,,,,,,15,13,Ｍスイｰトグラｰツ, 57,田中博, 2.5, 39,  -6, -22,10, 83.1, ⑥⑦,15,15,Ｊニュｰヨｰカｰ, 65,北村友, 2.3, 54,  -9,  11, 4,  7.9,⑮⑮⑮,15, 1,Ｐメイショウモア, 67,芹沢純, 1.4, 61,  -6,   1,15,123.3, ⑬⑩
,,,,,,,,,,,,16,15,Ｐラベルフィｰユ, 35,丸田恭, 5.6, -3,* -4, -65,15,191.4, ③⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,
"単勝:270円 複勝:11=110円 01=1,770円 04=440円 枠連:9,270円",,,,,,,,,,,,"単勝:270円 複勝:07=140円 12=290円 08=280円 枠連:1,290円",,,,,,,,,,,,単勝:240円 複勝:06=120円 02=130円 08=200円 枠連:390円,,,,,,,,,,,,単勝:390円 複勝:08=170円 09=200円 16=730円 枠連:820円,,,,,,,,,,,
"馬連:11,270円 ワイド:01-11=2,390円 04-11=530円 01-04=5,530円",,,,,,,,,,,,"馬連:1,690円 ワイド:07-12=600円 07-08=510円 08-12=1,730円",,,,,,,,,,,,馬連:360円 ワイド:02-06=190円 06-08=330円 02-08=430円,,,,,,,,,,,,"馬連:980円 ワイド:08-09=410円 08-16=1,480円 09-16=2,300円",,,,,,,,,,,
"馬単:17,730円 3連複:26,230円 3連単:145,160円",,,,,,,,,,,,"馬単:2,520円 3連複:4,520円 3連単:19,410円",,,,,,,,,,,,"馬単:630円 3連複:890円 3連単:2,780円",,,,,,,,,,,,"馬単:1,870円 3連複:6,880円 3連単:25,790円",,,,,,,,,,,
■ 3R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝1700m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,きんもくせい特別,,,,,,,,,,,,土湯温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｈミンナシアワセ, 65,古川吉,, 71,   9,  -3, 3,  5.4,⑧⑥⑤, 1, 2,Ｃナリタトルネｰド, 71,北村友,, 77,*  7,   8, 1,  2.8,①①①, 1, 3,Ａドナシュラｰク, 62,北村友,, 80,* -3,* 16, 3,  4.7,①①①, 1, 3,Ｃビッグスワン, 76,三浦皇,, 78,* 10,* 12, 2,  4.0,②②②
