08年12月28日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月28日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:4,310円 3連複:4,390円 3連単:24,770円",,,,,,,,,,,,"馬単:9,730円 3連複:5,940円 3連単:48,370円",,,,,,,,,,,,"馬単:5,850円 3連複:24,800円 3連単:106,980円",,,,,,,,,,,,"馬単:47,130円 3連複:148,320円 3連単:960,490円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 9R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｪｱｳｪﾙS,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｃケニアブラック, 57,蛯名正,, 62,* -4,* -2, 1,  1.7,④③③, 1, 7,Ａサラトガ, 80,内田博,, 80,   6,* 12, 1,  3.4, ⑥③, 1, 2,Ｃウォｰタクティクス, 89,藤田伸,, 90,* 13,  16, 1,  1.6,①①①,,,,,,,,,,,,
 2,12,Ｊジャストルｰラｰ, 48,藤田伸, 0.2, 57,* -3,  -8, 6, 16.1,①①①, 2,13,Ｊリンリンリン, 74,川田将, 0.7, 75,   6,   6, 9, 28.1, ⑦⑦, 2,16,Ｇパピヨンシチｰ, 84,松岡正, 0.9, 86,* 13,  11, 8, 26.1,③④④,,,,,,,,,,,,
 3, 6,Ｄディヴァインレッド, 54,吉田豊, 0.3, 58,  -7,* -2, 7, 19.4,⑧⑦⑦, 3, 9,Ｉミキノモナコ, 74,勝浦正, 0.9, 73,* 13,  -2, 5, 13.8, ②②, 3,11,Ｂハイオン, 91,田中勝, 0.9, 87,   9,* 16, 2,  5.3,⑩⑨⑧,,,,,,,,,,,,
 4, 7,Ｆプラチナチャリス, 53,内田博, 0.3, 58,  -6,  -3, 3,  6.8,⑥⑤⑤, 4, 6,Ｈカイテキネオ, 75,後藤浩, 0.9, 73,   1,*  9, 8, 23.2, ⑪⑩, 4, 4,Ｅミンティエアｰ, 87,デムｰ, 0.9, 83,   6,* 21, 3, 10.6,⑭⑭⑬,,,,,,,,,,,,
 5, 3,Ａアルストリスタン, 61,三浦皇, 0.4, 59,  -8,*  1, 2,  6.1,⑫⑫⑪, 5,14,Ｄシルクレセプション, 78,松岡正, 0.9, 72,   7,   3, 3,  4.6, ⑤⑥, 5,10,Ｄレオエンペラｰ, 88,江田照, 1.0, 86,  11,  13, 4, 14.5,⑦⑦⑦,,,,,,,,,,,,
 6, 1,Ｇサニｰサンデｰ, 52,吉田隼, 0.6, 55,  -8,* -2, 5, 13.0,⑤⑩⑫, 6,11,Ｃグレイスサンセット, 79,横山典, 1.1, 70,   3,   5, 4,  5.4, ⑧⑧, 6, 7,Ｉスマｰトサイクロン, 82,勝浦正, 1.4, 82,  11,   7,11,165.5,⑥⑤⑤,,,,,,,,,,,,
