08年 8月10日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月10日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬連:2,870円 ワイド:11-12=1,010円 08-12=450円 08-11=1,090円",,,,,,,,,,,,"馬連:5,960円 ワイド:03-12=1,550円 04-12=620円 03-04=2,410円",,,,,,,,,,,,"馬連:1,620円 ワイド:10-14=610円 10-15=660円 14-15=280円",,,,,,,,,,,,"馬連:3,700円 ワイド:16-18=1,230円 05-18=1,360円 05-16=1,080円",,,,,,,,,,,
"馬単:4,890円 3連複:4,380円 3連単:25,940円",,,,,,,,,,,,"馬単:8,840円 3連複:10,870円 3連単:61,550円",,,,,,,,,,,,"馬単:2,300円 3連複:1,990円 3連単:8,160円",,,,,,,,,,,,"馬単:6,520円 3連複:10,770円 3連単:62,690円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,西海賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, マックスチャンプ,,西谷誠,,,,, 1,  1.4,④③②, 1,17,Ａユメイッポ, 72,幸英明,, 76,*  7,*  0, 4, 11.6, ①①, 1, 6,Ｃランペイア, 80,鮫島良,, 84,   5,* 18, 3,  5.7,⑬⑬⑫, 1,12,Ａナムラクレセント, 81,小牧太,, 76,   1,* 11, 1,  1.8,⑨⑦⑥
 2, 2, インカム,,菊地昇,189.8,,,, 5, 14.3,②①①, 2, 8,Ｃアグネスシャイン, 63,岩田康, 0.2, 72,*  6,* -2, 1,  2.2, ②②, 2,14,Ｊヴィヴィッドカラｰ, 71,浜中俊, 0.1, 82,   7,*  9, 9, 28.7,⑨⑥⑤, 2, 4,Ｋスカイリュウホｰ, 59,浜中俊, 0.3, 75,   2,   7, 8, 25.6,⑦⑦③
 3,10, マｰブルジｰン,,小坂忠,190.9,,,, 2,  6.8,⑦④④, 3, 7,Ｄビジュアルクイｰン, 62,吉田隼, 0.6, 66,   2,  -2, 2,  4.4, ⑥④, 3,12,Ａタガノグラマラス, 84,高田潤, 0.4, 76,* 13,  -6, 2,  4.7,①①①, 3,15,Ｈカネトシソレイユ, 65,渡辺薫, 0.3, 74,   0,*  9, 4, 16.4,⑦⑩⑧
 4, 7, ファンドリゲット,,出津孝,191.0,,,, 6, 19.6,①②②, 4,14,Ｂマッキｰエヴァ, 64,野元昭, 1.0, 61,   4,  -9, 3,  4.7, ③④, 4, 9,Ｄホウショウルｰプ, 79,上村洋, 0.6, 75,   8,   3, 1,  2.5,⑩⑨⑧, 4, 9,Ｊオドゥｰルゲラン, 63,幸英明, 0.6, 71,   0,   5, 7, 23.9,⑪⑩⑧
 5, 5, カシノオウジャ,,林満明,192.8,,,, 7, 29.1,⑤⑤⑥, 5, 5,Ｏキセキメロディｰ, 37,浜中俊, 1.1, 57,  -5,  -3, 5, 12.2, ⑫⑩, 5,13,Ｉエイシンルンナ, 71,岩田康, 0.6, 73,   9,  -1, 6, 16.5,⑦④②, 5, 8,Ｄタマモランニング, 68,川島信, 0.7, 66,   3,  -3, 5, 17.0,⑨④③
