08年 8月17日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月17日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,小樽特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-2),,,,,,,,,,,
"単勝:750円 複勝:12=160円 10=160円 03=130円 枠連:1,140円",,,,,,,,,,,,単勝:510円 複勝:03=170円 09=130円 02=280円 枠連:610円,,,,,,,,,,,,"単勝:340円 複勝:01=190円 05=250円 07=1,290円 枠連:1,070円",,,,,,,,,,,,単勝:360円 複勝:04=150円 05=360円 03=120円 枠連:0円,,,,,,,,,,,
"馬連:1,520円 ワイド:10-12=490円 03-12=580円 03-10=400円",,,,,,,,,,,,馬連:650円 ワイド:03-09=320円 02-03=850円 02-09=530円,,,,,,,,,,,,"馬連:1,330円 ワイド:01-05=580円 01-07=2,470円 05-07=4,040円",,,,,,,,,,,,"馬連:2,790円 ワイド:04-05=900円 03-04=190円 03-05=680円",,,,,,,,,,,
"馬単:3,550円 3連複:2,000円 3連単:15,440円",,,,,,,,,,,,"馬単:1,590円 3連複:2,030円 3連単:10,380円",,,,,,,,,,,,"馬単:2,380円 3連複:16,840円 3連単:65,850円",,,,,,,,,,,,"馬単:4,500円 3連複:2,320円 3連単:16,660円",,,,,,,,,,,
■ 3R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 6R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 9R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■12R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,ｸｲｰﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,,,羊ヶ丘特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2, メジロドリｰムス,---,北村友,, 63,   3,  -8, 3,  4.9, ④③, 1, 4,Ａビｰチブリｰズ, 76,三浦皇,, 80,* 11,*  6, 1,  2.8, ②②, 1, 4,Ａヤマニンメルベイユ, 90,柴山雄,, 82,* 12,   7, 2,  3.8,①①①, 1,10,Ｉピエナビｰナス, 70,古川吉,, 80,   5,* 10, 1,  4.1, ⑥④
 2, 6, ワニタレスタリ,---,田中勝, 0.1, 57, -11,*  4, 8, 24.2, ⑧⑨, 2, 3,Ｃリンリンリン, 74,横山典, 0.0, 82,* 14,*  4, 3,  4.6, ①①, 2, 8,Ｄレジネッタ, 82,小牧太, 0.3, 82,   7,* 14, 1,  3.1,⑪⑩⑧, 2, 5,Ｂオネストジョン, 78,小牧太, 0.0, 83,* 13,   2, 7, 13.8, ③③
 3, 1, ドレッシｰ,---,安藤勝, 0.1, 59,  -1,  -6, 2,  4.6, ⑤⑤, 3, 9,Ｈカシノウェｰブ, 63,大江原, 1.2, 65,   3,   1,12,202.7, ④⑥, 3, 6,Ｌフミノサチヒメ, 72,長谷川, 0.4, 80,   8,  10,12, 57.4,⑨⑧⑤, 3, 7,Ｃマザｰズウィッシュ, 77,安藤勝, 0.2, 78,   6,   6, 2,  5.1, ④④
