08年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,西宮ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8,10,Ｉピュアリップス, 48,生野賢, 3.6, 42,  -2, -27,13,264.7,⑥⑥⑧, 8,11,Ｆジャングルゼット, 66,池添謙, 1.7, 62,   3,  -5, 9, 32.1,⑩⑪⑧, 8,14,Ｄウイニングヒット, 72,和田竜, 1.2, 68,  -1,   9, 8, 44.1, ⑫⑫, 8, 9,Ｉエンジェルアリス, 50,池添謙, 1.9, 50,*  5, -32,10,160.7, ②②
 9, 3,Ｍリッカエスケｰプ, 29,川田将, 3.8, 41,  -4, -24,12,171.9,⑩⑫⑬, 9, 3,Ｍウォｰタｰゲイザｰ, 51,上村洋, 1.8, 64,   1,  -2,12, 86.7,⑭⑬⑪, 9, 4,Ｊエｰティｰドン, 66,鮫島良, 1.3, 67,   0,   6,12,207.5, ⑪⑪, 9, 3,Ｈナムラタイシ, 51,角田晃, 2.3, 46,   2, -34, 8, 49.5, ④④
10, 1,Ｋクインオブザナイル, 44,渡辺薫, 4.2, 38,  -3, -31,11,126.7,⑨⑨⑫,10, 2,Ｉスズカワイルド, 58,角田晃, 2.6, 58,  -1,  -5,14,203.9,⑯⑯⑯,10, 8,Ｇリトルビスケット, 69,川田将, 1.3, 66,* 13,  -9, 3,  5.1, ②②,10, 7,Ｊフォｰシｰズンゴｰ, 45,小牧太, 3.7, 35,  -3, -45, 7, 45.9, ④⑩
11, 6,Ｌケイティｰズベスト, 43,田中克, 4.7, 36,  -2, -36, 5, 26.2,⑥⑥⑩,11,16,Ｋアドマイヤコｰス, 53,川田将, 2.8, 54,*  7, -24,11, 76.9,②①②,11,10,Ｅナムラグロｰリｰ, 72,田中健, 1.6, 65,   4,  -1, 6, 25.6, ⑥⑥,,,,,,,,,,,,
12,12,Ｇオスカルフランソワ, 53,藤岡康, 6.0, 31,   0, -51, 8, 37.6,⑤④⑥,12,13,Ｅベイサイドパｰク, 66,藤岡康, 3.0, 55,   2, -15, 5, 12.3,⑮⑬⑩,12, 3,Ｌクリスリリｰ, 55,中村将, 2.1, 59,  10, -12,13,256.6, ③③,,,,,,,,,,,,
13, 7,Ｊエｰシンシンクコア, 44,中村将, 8.9,  0,*  1, -77,10, 61.8,①②⑩,13,12,Ｈスリｰサンビｰム, 64,田村太, 3.0, 54,*  7, -25, 8, 31.6,①②③,13, 6,Ｍサチノスカイライン, 54,浜中俊, 2.2, 59,  -2,   1,14,263.8, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,14, 8,Ｏリュウシンボｰイ, 46,和田竜, 4.5, 45,   2, -28,13,187.9,⑧⑩⑬,14, 2,Ｆメイショウセンゴク, 70,角田晃, 2.6, 56,  10, -17, 4, 14.0, ④③,,,,,,,,,,,,
,,,,,,,,,,,,15, 9,Ｌシゲルヴォドレ, 53,中村将, 5.0, 41,   2, -32,16,314.3,⑩⑪⑭,15,13,Ｏフィｰルドジェニｰ, 31,田中克, 3.8, 47,  -3, -12,15,373.6, ⑫⑮,,,,,,,,,,,,
,,,,,,,,,,,,16, 4,Ｐスペシャルトｰン, 45,太宰啓, 5.3, 40,   5, -37,15,309.0,⑤⑧⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
