08年 8月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 2,Ｈゴｰルデンジョイス, 56,田村太, 0.8, 59,   3,   3,14,195.4,③⑥⑥, 7, 6, マイネチェルシｰ,---,石橋守, 1.2, 46, -20,  -2,10, 70.3,④⑦⑤, 7, 6,Ｉテイエムフルパワｰ, 62,中村将, 0.5, 62, -12,   9, 6, 15.2, ⑦⑥, 7,10,Ｂメイショウエンジン, 78,浜中俊, 0.3, 73,  -3,* 17, 3,  5.7,⑦⑨⑧
 8,13,Ｇメイショウニｰス, 59,吉田隼, 1.0, 56,   1,   3, 6, 12.3,⑧⑦⑦, 8,12, ウィアｰザスタｰ,---,浜中俊, 1.5, 46, -22,   0, 7, 23.5,⑫⑫⑫, 8, 9,Ｃパワｰウェｰブ, 72,武豊  , 0.5, 61, -10,   7, 2,  3.7, ⑥⑥, 8, 6,Ｈユウキタイティ, 70,幸英明, 0.9, 68,  -3,  12,10, 31.4,⑦⑨⑧
 9, 9,Ｋアルディラダ, 48,生野賢, 1.2, 55,   0,   3, 8, 29.8,⑧⑧⑦, 9, 7, オｰスミホｰネット,---,角田晃, 1.7, 39, -20,  -8, 8, 37.8,⑩⑦⑩, 9,10,Ｋテイエムハヤテオｰ, 59,小牧太, 0.5, 61, -14,*  9, 3,  5.5, ⑨⑨, 9,12,Ｊワンダｰガジ, 69,渡辺薫, 1.2, 68,  -4,  12,16,204.2,⑬⑬⑩
10, 6,Ｍラブトリック, 44,酒井学, 2.6, 47,  -1,  -7,12,177.3,⑧⑩⑩,10,13, ワシャモノタリン,---,中村将, 1.8, 36, -18, -13, 9, 45.6,④④⑤,10, 5,Ｇリトルマｰメｰド, 64,藤岡康, 0.9, 59, -16,   8,11, 40.6, ⑩⑪,10,13,Ｃアｰルヌｰヴォｰ, 77,吉田隼, 1.4, 64,*  1,   2, 4, 10.7,⑪②②
11,16,Ｎダンシングアコ, 42,浜中俊, 2.9, 45,  -7,   2, 9, 78.3,⑯⑮⑬,11, 4, トウカイエクセル,---,酒井学, 2.5, 27, -20, -19, 3, 10.6,⑦⑦⑧,11, 8,Ｈクリスタルドア, 63,安藤光, 1.1, 55, -22,   8,10, 39.4, ⑬⑫,11, 1,Ｌワイルドライフ, 67,橋本美, 1.9, 64,  -3,   4, 7, 18.1,⑦⑪⑩
12, 7,Ｏコウチャシフォン, 40,小林慎, 3.7, 39,  -2, -13,15,343.7,⑪⑫⑪,12, 3, ジョｰジバロｰズ,---,佐藤哲, 2.9, 27, -25, -13,13, 95.9,⑬⑬⑬,12, 4,Ｍワンダｰグロｰリｰ, 55,野元昭, 1.1, 56, -16,   6,12, 95.5, ⑩⑨,12, 8,Ｏトウケイトロイ, 57,佐久間, 2.0, 63,  -4,   6,15,201.0,⑬⑬⑭
13,11,Ｌセマナサンタ, 46,角田晃, 4.5, 35,  -5, -15,13,179.8,⑭⑬⑭,13,10, ドンドドｰン,---,上村洋, 4.5,  2, -19, -52,11, 72.9,⑦④⑩,13,12,Ｌシルキｰイリス, 57,上村洋, 2.3, 44, -17,  -5,14,162.0, ⑩⑫,13, 5,Ｍプッシュハｰト, 66,田辺裕, 2.0, 57,  -3,   3,12,132.6,⑮⑪⑬
14,14,Ｉカツラコ, 51,田中健, 4.8, 34,  -6, -18,11,121.2,⑬⑬⑫,,,,,,,,,,,,,14, 7,Ｎピンクノチカラ, 29,田中克, 2.7, 39, -24,  -4,13,129.8, ⑭⑭,14, 2,Ｐマルサンチｰフ, 56,角田晃, 2.0, 62,  -6,   8,11, 84.0,⑮⑯⑭
15,15,Ｐアイザックスリナｰ, 25,佐久間, 6.3, 23,  -7, -27,15,343.7,⑭⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｎケルビック, 59,安藤光, 2.3, 59,  -1,  -2,14,175.8,③⑥⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｉエアデュｰド, 69,高田潤, 2.5, 58,  -5,   4,13,142.1,⑫⑮⑯
