08年 9月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,葛飾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 6R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,上総特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｆヒシドンネル, 57,蛯名正,, 58,*  4, -14, 1,  2.7,②②①, 1, 2,Ｊランブルジャンヌ, 66,嘉藤貴,, 73,*  9,  -2, 4,  8.0, ①①, 1, 1,Ｄキングルｰキｰ, 75,田中勝,, 79,* 13,   0, 3,  7.9,②③②, 1, 1,Ｋエフティアクトレス, 62,田中勝,, 71,   1,*  5, 4,  9.3, ⑭⑩
 2, 5,Ｄニシノカリスマ, 60,松岡正, 0.0, 58,*  3, -12, 5, 14.1,③④④, 2,14,Ａタカラヘリオス, 70,後藤浩, 0.1, 71,*  8,   0, 7, 13.5, ②②, 2, 6,Ｇケイアイケイマン, 73,武豊  , 0.0, 78,* 15,  -3, 1,  2.3,①①①, 2,10,Ａタｰニングポイント, 72,後藤浩, 0.1, 73,* 10,  -6, 3,  4.9, ②②
 3, 9,Ｇダイレクトシチｰ, 52,草野太, 0.1, 58,   0,* -7,14,261.0,⑦⑨⑧, 3,12,Ｅニシノシズル, 68,横山典, 0.1, 70,   5,   2, 6, 12.2, ⑤⑤, 3,10,Ａサララ, 80,木幡初, 0.1, 79,   8,*  9, 6, 16.4,⑨⑩⑪, 3, 8,Ｊマルタカラッキｰ, 63,丹内祐, 0.2, 71,   8,* -4,12, 52.5, ⑤④
 4,14,Ａスズヨコンコルド, 65,千葉直, 0.1, 58,   2, -11, 4,  5.6,⑤⑥⑤, 4,16,Ｈベロｰチェ, 66,柴田善, 0.2, 68,  -1,*  7, 5,  8.6, ⑨⑨, 4, 3,Ｃシンボリハレｰ, 77,北村宏, 0.3, 75,  11,   1, 7, 17.7,④⑤⑤, 4, 5,Ｐマヤノモノポリｰ, 55,柴山雄, 0.9, 59,   1,  -7,16,140.9, ⑭⑭
 5, 8,Ｃエルアラメイン, 64,江田照, 0.2, 57,   2, -10, 2,  4.1,⑨⑦⑥, 5, 9,Ｂロイヤルタバスコ, 70,内田博, 0.2, 71,*  7,   0, 1,  3.2, ③②, 5, 8,Ｂオリオンザドンペリ, 79,横山典, 0.3, 75,   9,   2, 2,  3.3,④⑥⑦, 5,13,Ｈボタニカルアｰト, 64,吉田豊, 0.9, 60,   5, -11, 1,  4.0, ⑩⑭
 6, 7,Ｅオルタネｰトワン, 60,木幡初, 0.3, 55,  -1,* -6, 6, 14.4,⑨⑩⑨, 6, 3,Ｄガオウ, 68,西田雄, 0.5, 66,   2,   2, 3,  7.2, ⑥⑥, 6, 2,Ｈエアムｰトン, 71,後藤浩, 0.5, 73,  10,   1, 9, 30.2,⑨⑦⑤, 6, 4,Ｇアサクサヴェｰル, 65,松岡正, 1.0, 60,   5, -12, 9, 27.2, ⑩⑦
 7, 4,Ｐゴッドエネル, 14,田中剛, 0.3, 54,   3, -13,13,204.0,③④⑥, 7, 5,Ｃケルティックハｰプ, 69,松岡正, 0.6, 63,  -6,*  8, 2,  3.7, ⑭⑫, 7, 7,Ｆホクレレ, 73,吉田隼, 0.7, 69,* 13, -11, 4, 11.7,②②②, 7,11,Ｏブリリアントマリｰ, 57,北村宏, 1.1, 60,   8, -16,14, 77.5, ⑤⑩
