08年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｎスカイワｰド, 57,田辺裕, 1.6, 55, -13,   4,18,297.2, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 8,Ｑコウユｰココロコロ, 50,浜中俊, 1.7, 55,*  4, -14,14, 94.7, ②④,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:不良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,
"単勝:670円 複勝:03=250円 06=380円 08=550円 枠連:3,480円",,,,,,,,,,,,"単勝:360円 複勝:11=200円 13=300円 07=230円 枠連:1,200円",,,,,,,,,,,,単勝:250円 複勝:04=150円 01=200円 03=680円 枠連:810円,,,,,,,,,,,,"単勝:850円 複勝:06=350円 07=220円 03=240円 枠連:2,630円",,,,,,,,,,,
"馬連:3,700円 ワイド:03-06=1,120円 03-08=1,420円 06-08=1,830円",,,,,,,,,,,,"馬連:1,900円 ワイド:11-13=910円 07-11=680円 07-13=1,040円",,,,,,,,,,,,"馬連:1,000円 ワイド:01-04=460円 03-04=1,180円 01-03=2,460円",,,,,,,,,,,,"馬連:2,920円 ワイド:06-07=920円 03-06=960円 03-07=720円",,,,,,,,,,,
"馬単:6,270円 3連複:14,300円 3連単:69,330円",,,,,,,,,,,,"馬単:3,000円 3連複:4,310円 3連単:22,250円",,,,,,,,,,,,"馬単:1,600円 3連複:8,700円 3連単:32,830円",,,,,,,,,,,,"馬単:7,020円 3連複:5,530円 3連単:36,120円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,門司特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8, エリモマキシム,,南井大,,,,, 1,  1.6,⑤②②, 1, 6,Ｅペプチドトップガン, 59,安藤光,, 68,* -4,   8, 7, 34.9,①①①, 1,12,Ｄシゲルフセルト, 74,川島信,, 77,  -1,  21, 1,  2.5,⑥④④, 1,13,Ｋアンジェロバンダム, 68,幸英明,, 77,*  7,* 13, 6, 18.7,②②②
 2, 1, マｰブルジｰン,,小坂忠,191.3,,,, 4,  6.6,③④③, 2, 3,Ｉシルクウォリアｰ, 52,大下智, 0.6, 63,* -5,   4, 9, 55.4,③③②, 2,11,Ｃカシノマイケル, 74,安藤光, 0.1, 76,*  0,  17, 3,  6.4,③②②, 2, 2,Ｅコオリナストｰン, 74,武豊  , 0.0, 77,*  8,* 12, 1,  2.4,①①①
 3, 7, マニフィｰク,,仲田雅,191.7,,,, 7,106.5,①①①, 3,11,Ｏピサノフジ, 48,鮫島良, 0.8, 64,  -8,   8, 4, 14.5,⑥⑧⑨, 3, 4,Ｊケイエスユリ, 63,幸英明, 0.2, 82,  -7,* 28, 9, 35.1,⑫⑫⑩, 3, 7,Ｆシルクダイナスティ, 74,船曳文, 0.3, 76,   6,* 12, 7, 19.0,③③③
 4, 2, ダンスグランドゥ,,佐久間,192.3,,,, 8,124.7,⑧⑦⑦, 4, 2,Ｆアンコｰルラッシュ, 57,吉田隼, 0.9, 60,  -6,   3,11, 61.5,⑨⑤④, 4, 1,Ａフミノウインダム, 76,藤岡康, 0.3, 74,  -1,  17, 4,  7.7,④④④, 4, 9,Ｂメイショウフウライ, 77,飯田祐, 0.9, 72,   5,  10, 3,  5.9,⑦⑥⑥
 5, 4, イナズマイｰジス,,金折知,192.6,,,, 2,  4.4,⑥⑥⑤, 5,17,Ｄエｰシンディｰエス, 60,和田竜, 1.0, 60,  -6,   3, 2,  5.3,⑥⑦④, 5,10,Ｂドマｰニ, 75,上村洋, 0.5, 71,*  0,  11, 2,  5.3,②②②, 5, 6,Ｉヒシヴェンチャｰ, 69,中村将, 0.9, 73,   3,* 14,14,133.1,⑭⑫⑩
 6, 3, ゼットコマンダｰ,,熊沢重,194.5,,,, 3,  5.8,②③③, 6,13,Ｂウォｰタｰルｰク, 64,石橋守, 1.1, 61,  -9,   6, 6, 22.3,⑩⑧⑪, 6, 3,Ｆカシノネロ, 69,武豊  , 0.6, 73,  -4,  17, 5,  9.5,⑦⑦⑦, 6, 5,Ｄアイソトｰプ, 74,浜中俊, 1.1, 71,   5,   8, 5, 10.8,③⑥⑥
 7, 5, ショウナンタクミ,,今村康,199.0,,,, 6, 77.0,⑦⑧⑧, 7,14,Ｐフラワｰネックレス, 47,幸英明, 1.1, 66, -13,* 16,10, 58.0,⑯⑰⑯, 7, 6,Ｈニシノウェｰブ, 65,田辺裕, 0.6, 74,  -5,  20,11, 48.2,⑨⑨⑩, 7, 1,Ｊニシオハンセル, 69,高橋亮, 1.3, 71,   5,   7,12, 70.5,⑦⑩⑧
