08年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,松前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12, 4,Ｌアラクネベガ, 45,木幡初, 1.2, 57,   2, -15,14,132.0,⑩⑪⑪,12, 5,Ｈタキオンシチｰ, 64,北村友, 1.1, 62,   6,  -6,10, 30.5, ③③,12, 1,Ｌバリｰバｰン, 75,大江原, 1.7, 68,   6,  -1,13,130.5,⑨⑪⑬
,,,,,,,,,,,,13,12,Ｊリノｰンパｰパス, 50,藤田伸, 2.2, 45,  -1, -24,12, 55.9,⑫⑬⑪,,,,,,,,,,,,,13, 7,Ｉヒシアスペン, 79,池添謙, 2.4, 61,*  9, -13, 6, 19.6,③③④
,,,,,,,,,,,,14, 5, トロイメライ,---,四位洋, 8.8,-24, -27, -63,13, 80.8,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,
"単勝:19,380円 複勝:02=4,110円 01=210円 11=210円 枠連:34,070円",,,,,,,,,,,,単勝:540円 複勝:07=180円 03=210円 10=480円 枠連:950円,,,,,,,,,,,,"単勝:2,560円 複勝:02=770円 11=180円 04=280円 枠連:4,260円",,,,,,,,,,,,"単勝:270円 複勝:13=150円 12=260円 03=640円 枠連:1,370円",,,,,,,,,,,
"馬連:32,800円 ワイド:01-02=8,230円 02-11=8,170円 01-11=490円",,,,,,,,,,,,"馬連:1,810円 ワイド:03-07=680円 07-10=1,250円 03-10=1,960円",,,,,,,,,,,,"馬連:5,500円 ワイド:02-11=2,000円 02-04=2,170円 04-11=660円",,,,,,,,,,,,"馬連:1,350円 ワイド:12-13=580円 03-13=1,570円 03-12=3,370円",,,,,,,,,,,
