08年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,ﾆｾｺ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,170円 複勝:08=230円 05=140円 09=200円 枠連:560円",,,,,,,,,,,,単勝:610円 複勝:11=190円 08=120円 03=160円 枠連:600円,,,,,,,,,,,,単勝:220円 複勝:11=110円 04=160円 08=170円 枠連:650円,,,,,,,,,,,,単勝:230円 複勝:03=120円 02=170円 01=180円 枠連:670円,,,,,,,,,,,
"馬連:1,160円 ワイド:05-08=370円 08-09=620円 05-09=330円",,,,,,,,,,,,馬連:790円 ワイド:08-11=370円 03-11=640円 03-08=260円,,,,,,,,,,,,馬連:840円 ワイド:04-11=330円 08-11=290円 04-08=690円,,,,,,,,,,,,馬連:680円 ワイド:02-03=300円 01-03=290円 01-02=520円,,,,,,,,,,,
"馬単:3,300円 3連複:2,030円 3連単:14,200円",,,,,,,,,,,,"馬単:2,080円 3連複:1,310円 3連単:9,890円",,,,,,,,,,,,"馬単:1,270円 3連複:1,400円 3連単:6,100円",,,,,,,,,,,,"馬単:1,140円 3連複:1,080円 3連単:4,050円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 9R  芝2600m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■12R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,札幌日経ｵｰﾌﾟﾝ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｈコアレスカポｰテ, 60,池添謙,, 67,   4,*  1, 2,  3.0, ②②, 1, 2,Ｆホｰクウィンザｰ, 58,丸田恭,, 67,   5,* -3, 7, 14.7,⑪⑧④, 1, 1,Ｄビエンナｰレ, 83,三浦皇,, 93,*  9,  15, 5, 15.6,①①①, 1, 2,Ａグラｰフ, 77,丸田恭,, 75,   3,*  9, 1,  2.8,⑩⑩⑦
 2, 5,Ａコウヨウサルｰト, 75,藤田伸, 0.1, 67,*  6,  -1, 1,  2.0, ①①, 2,12,Ｄポンテディリアルト, 62,藤田伸, 0.1, 65,   7,* -7, 2,  4.1,④④②, 2,11,Ｃスクリｰンヒｰロｰ, 86,武幸四, 0.4, 90,*  8,  11, 3,  4.6,②②②, 2,11,Ｅアドマイヤサンサン, 70,安藤勝, 0.4, 70,   6,  -2, 2,  3.2,⑤③③
 3,11,Ｉエンリッチメント, 60,梶晃啓, 0.7, 60,   1,  -3,10, 61.8, ⑤④, 3, 4,Ａプリンチパｰレ, 67,秋山真, 0.7, 61,*  7, -14, 3,  4.4,③②②, 3, 8,Ｇエアジパング, 82,藤田伸, 0.5, 90,   7,  14, 2,  4.5,⑥⑥③, 3, 5,Ｂテンジンニチオｰ, 73,菊沢隆, 0.4, 70,   7,  -3,10, 29.7,③③③
 4, 7,Ｃケイアイガルチ, 65,郷原洋, 0.7, 59,  -1,  -2, 6, 15.6, ⑤④, 4, 8,Ｃヨシクリスエス, 63,菊沢隆, 0.8, 61,   6, -12, 6,  9.5,⑪⑥④, 4, 2,Ｌトウショウヘリオス,  9,馬渕繁, 0.5, 90,   7,  14,12,141.0,⑥⑥⑥, 4,10,Ｆオブコｰス, 67,的場勇, 0.5, 68,   7,  -5, 4, 10.7,③③③
 5, 4,Ｋスイｰトメリｰ, 58,荻野琢, 0.9, 56, -10,*  1, 9, 44.5, ⑪⑦, 5, 3,Ｅダンツエスエスティ, 61,長谷川, 1.1, 61,   4, -11, 5,  8.1,⑧⑪⑦, 5, 7,Ｆショｰトロｰブス, 83,北村友, 0.6, 95,   5,* 21, 8, 44.6,⑪⑫⑪, 5, 1,Ｌファｰトゥム, 61,北村友, 0.6, 70,   5,  -3, 7, 17.9,⑥⑥⑦
 6, 6,Ｊトキメキボストン, 58,丸田恭, 0.9, 55,  -5,  -1, 5, 14.1, ⑨⑦, 6, 9, ミッキｰミラクル,---,青木芳, 1.6, 54,   5, -18, 4,  8.0,⑥⑧⑧, 6,12,Ａアドマイヤタイトル, 90,安藤勝, 0.8, 87,   6,  13, 1,  1.8,⑪⑧③, 6,14,Ｊフィフスアベニュｰ, 62,荻野琢, 0.7, 66,*  9, -12,11, 41.3,②②②
 7, 8,Ｄテレパシｰ, 63,武幸四, 1.2, 56,   4, -10, 7, 21.2, ②②, 7, 7,Ｇザスタｰキング, 55,佐々木, 1.7, 55,   6, -20, 9, 43.9,⑬⑥④, 7, 3,Ｈウインバリエンテ, 81,丸田恭, 1.1, 86,   6,  10,11,120.6,⑨⑪⑨, 7, 9,Ｍロイヤルメルヘン, 59,長谷川, 1.1, 62,*  9, -18,12, 89.6,①①①
 8, 2,Ｆピｰカブｰ, 61,横山典, 1.2, 53,  -2,  -6, 4, 14.0, ⑧⑨, 8, 1,Ｂサｰンバラッド, 63,三浦皇, 2.0, 50,*  9, -28, 1,  3.9,①①①, 8,10,Ｅマイネルネオス, 83,秋山真, 1.4, 81,   6,   4, 4, 14.3,⑥⑧⑫, 8, 7,Ｎロンシャンステｰジ, 58,佐々木, 1.2, 62,   5, -12,14,124.5,⑥⑥⑥
 9,10,Ｇヘリテｰジゴｰルド, 61,秋山真, 1.4, 50,  -7,  -5,11, 78.4, ⑨⑨, 9, 6,Ｌアミｰゴシチｰ, 39,大江原, 2.8, 48,   3, -23,10, 90.4,⑧⑫⑫, 9, 4,Ｉトロフィｰディｰル, 80,池添謙, 1.4, 78,*  9,  -1, 7, 38.2,②②③, 9, 3,Ｃパッセジャｰレ, 72,古川吉, 1.3, 62,  -1,  -2, 6, 16.9,⑪⑪⑪
10, 1,Ｅファジｰネｰブル, 61,津村明, 1.4, 53,   1, -10, 3, 11.9, ④④,10,11,Ｉヤマサエレガント, 51,柴原央, 3.3, 44,   7, -34,11,108.0,④④⑧,10, 9,Ｂゴｰウィズウィンド, 86,津村明, 1.7, 75,*  9,  -7, 6, 25.4,②②⑥,10, 4,Ｈエスジｰビンゴ, 67,千田輝, 1.4, 59,   5, -14, 8, 21.3,⑧⑧⑦
