10年 6月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｽﾄｰｸｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 6,Ｌパックスロマｰナ, 45,浜中俊, 2.2, 57,   1,  -3,10,198.7,⑪⑪⑪, 7, 4,Ｆモｰレツ, 62,岩田康, 1.0, 62,  -3,   1, 6, 13.2,⑪⑫⑨, 7,12,Ｆミヤコトップガン, 69,小牧太, 0.4, 69,   1,   1, 2,  4.2,⑩⑧⑧, 7, 6,Ｈワンダｰスル, 69,野元昭, 1.6, 66,   4,  -2,12,126.7,⑫⑪⑨
 7, 1,Ｃシゲルサコン, 66,小坂忠, 2.2, 56,   2,  -5, 4, 17.8,⑩⑩⑧, 8, 1,Ｉエピックジャｰニｰ, 51,和田竜, 1.3, 60,  -4,   0,11, 72.1,⑬⑬⑩, 8, 4,Ｈマルカゴクウ, 64,福永祐, 0.4, 68,*  2,  -4, 4, 10.0,②②②, 8, 8,Ｃオウケンマジック, 76,岩田康, 1.9, 66,   4,  -5, 4,  6.8,⑨⑧⑧
 9, 9,Ｋフォルモンド, 48,幸英明, 2.8, 51,   4, -14, 8, 81.3,④⑤⑦, 9, 9,Ｊアズマクロシオ, 48,高倉稜, 1.3, 57,   0,  -7,12, 83.6,⑧⑥⑥, 9, 1,Ｋケイエスラック, 60,ウィリ, 0.6, 66,*  2,  -5,10, 54.6,③⑤③, 9, 2,Ｄマルブツセンタｰ, 75,小牧太, 2.0, 63,   4,  -6, 7, 30.0,⑦⑦⑪
10, 7,Ｏドントキリシマ, 40,鮫島良, 3.0, 52,   0,  -6,15,354.3,⑬⑫⑬,10,10,Ｂツルマルヒｰロｰ, 68,川須栄, 1.4, 57,  -2,  -5,10, 57.8,⑨⑧⑧,10, 6,Ｉルｰポ, 63,国分恭, 0.9, 63,*  2, -10,12,133.8,④③④,10, 7,Ｇシゲルアサマヤマ, 74,北村友, 2.5, 61,   3,  -9, 9, 45.6,⑪⑫⑫
11, 3,Ｄワンダｰダｰク, 64,小牧太, 3.5, 47,   2, -15, 7, 47.3,⑦⑨⑩,11, 6,Ｎピエナヴィブレ, 39,中村将, 2.0, 52,*  1, -16,13,124.6,②②②,11,11,Ｇスペｰスオｰバｰ, 66,太宰啓, 1.3, 60,*  2, -15,11, 93.5,⑥④⑤,11, 4,Ｊマｰブルアロｰ, 68,藤岡康, 3.6, 54,   6, -23, 6, 26.8,③③⑦
12,11,Ｈシゲルユキムラ, 53,国分恭, 4.1, 44,   0, -17,11,251.0,⑭⑭⑭,12,16, トｰセンアンタッチ,---,ウィリ, 3.2, 45,  -4, -17, 4, 10.9,⑩⑩⑬,,,,,,,,,,,,,12,10,Ｌヒラボクソング, 65,和田竜, 4.0, 50,*  7, -30, 8, 42.9,①①①
13, 8,Ｉグッドティアラ, 53,太宰啓, 4.9, 39,  -2, -20,12,265.3,⑮⑯⑮,13,13,Ｏオグリピッコロ, 35,鷹野宏, 3.5, 47,  -9,  -6,16,440.1,⑯⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Ｍキンショｰカチドキ, 45,岩田康, 5.0, 40,   3, -31, 9, 92.7,⑧⑦⑨,14,11,Ｌエイユｰトルネｰド, 44,太宰啓, 5.2, 34,  -9, -22,15,296.0,⑭⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
15,12,Ｎユメノオツゲ, 43,北村友, 5.3, 37,  -1, -26,16,374.8,⑯⑮⑯,15, 5,Ｍシルバｰライニング, 41,上野翔, 5.8, 30,  -3, -40,14,273.0,⑦⑪⑭,,,,,,,,,,,,,,,,,,,,,,,,
16, 4,Ｐシゲルオイチ, 40,川島信, 5.5, 34,   5, -39,13,277.1,①①⑥,16,12,Ｋメモリｰパｰミット, 46,幸英明, 6.5, 27,  -3, -47, 9, 42.6,⑤⑦⑪,,,,,,,,,,,,,,,,,,,,,,,,
