10年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰﾒｲﾄﾞｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,
"単勝:690円 複勝:11=250円 13=1,490円 09=340円 枠連:6,500円",,,,,,,,,,,,単勝:130円 複勝:07=110円 09=190円 16=260円 枠連:550円,,,,,,,,,,,,単勝:330円 複勝:03=150円 15=230円 08=260円 枠連:870円,,,,,,,,,,,,単勝:360円 複勝:10=170円 11=280円 05=250円 枠連:510円,,,,,,,,,,,
"馬連:31,850円 ワイド:11-13=7,680円 09-11=950円 09-13=9,360円",,,,,,,,,,,,"馬連:570円 ワイド:07-09=280円 07-16=370円 09-16=1,210円",,,,,,,,,,,,"馬連:1,080円 ワイド:03-15=500円 03-08=650円 08-15=1,230円",,,,,,,,,,,,"馬連:1,720円 ワイド:10-11=620円 05-10=490円 05-11=1,060円",,,,,,,,,,,
"馬単:49,570円 3連複:71,150円 3連単:482,010円",,,,,,,,,,,,"馬単:750円 3連複:1,850円 3連単:4,630円",,,,,,,,,,,,"馬単:1,930円 3連複:3,470円 3連単:12,460円",,,,,,,,,,,,"馬単:2,810円 3連複:3,950円 3連単:18,800円",,,,,,,,,,,
■ 3R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 6R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,三木特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2, メジロラスタバン,,五十嵐,,,,, 5,  7.8,⑤②②, 1,10,Ｊトウカイオｰロラ, 52,和田竜,, 63,   4,   2, 5, 12.1,⑤⑤④, 1, 8,Ａアドマイヤプリンス, 83,小牧太,, 86,  -6,* 21, 1,  1.7, ⑧⑦, 1,15,Ｃコパノカチｰノ, 74,浜中俊,, 78,* 12,   0, 2,  4.3, ②②
 2,13, ランヘランバ,,小坂忠,206.5,,,, 7, 11.6,①①①, 2,15,Ｄタッチマイハｰト, 57,小坂忠, 0.2, 60,   2,   0, 3,  5.8,⑥⑥⑤, 2, 9,Ｅクレバｰトウショウ, 76,高倉稜, 0.0, 84,* -3,  17, 6, 13.1, ③③, 2,16,Ｆイッツアチャンス, 73,和田竜, 0.0, 78,* 10,   2, 5,  8.7, ③③
 3,11, マッハジュウクン,,西谷誠,207.6,,,, 4,  7.2,②③③, 3, 5,Ｈクｰゲルブリッツ, 52,内田博, 0.2, 59,*  5,  -5, 2,  5.6,①①①, 3,11,Ｋサバｰス, 73,福永祐, 0.5, 82,  -7,* 18,10, 62.9, ⑩⑩, 3, 6,Ｉゴｰルドバシリスク, 68,内田博, 0.1, 73,   0,* 11, 1,  3.9, ⑫⑫
