10年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, シュンリキ,,植野貴,,,,, 2,  4.3,⑦⑤⑤, 1,17,Ａオｰシャンキャスト, 68,福永祐,, 66,  -7,*  1, 1,  1.6, ⑩⑧, 1, 2,Ｇキングスエンブレム, 84,福永祐,, 86,   2,* 23, 3,  6.3,⑤⑦⑦, 1,13,Ｃアンティフリｰズ, 72,高倉稜,, 79,  10,*  4, 4,  7.3, ⑨⑧
 2, 2, オミヤゲ,,中村将,202.1,,,, 3,  4.8,④③②, 2,16,Ｉダイシンマジック, 52,柴田善, 0.3, 63, -11,*  4, 6, 47.3, ⑬⑬, 2, 8,Ａドリｰムライナｰ, 92,藤岡佑, 0.3, 82,*  4,  16, 1,  1.5,①①①, 2,11,Ｄクロワラモｰ, 72,北村友, 0.0, 81,  14,  -1, 9, 39.8, ⑤⑤
 3, 4, スカイボｰイング,,岩崎祐,202.1,,,, 4,  6.8,⑤⑥④, 3, 9,Ｏアムｰルエテルネル, 43,藤岡康, 0.3, 63,  -9,*  1,16,329.4, ⑪⑩, 3, 3,Ｅハイオン, 84,川田将, 0.3, 85,   3,  19, 5, 22.9,③④④, 3, 2,Ａディアエンデバｰ, 74,四位洋, 0.1, 76,   5,*  9, 2,  5.1, ⑫⑫
 4, 9, コンゴウ,,出津孝,203.2,,,, 8, 27.4,②②③, 4, 2,Ｂセレスワンラヴ, 65,和田竜, 0.3, 61,  -5,  -7, 2,  3.5, ③④, 4, 6,Ｉテイエムザエックス, 83,和田竜, 0.7, 81,*  4,  14, 6, 29.1,②②②, 4, 9,Ｅヴィクトリｰマｰチ, 71,福永祐, 0.2, 78,  11,  -1, 1,  2.6, ⑥⑥
 5, 6, フィデリオ,,北沢伸,203.3,,,, 6,  8.1,③④⑥, 5, 5,Ｋプラガｰ, 50,国分恭, 0.4, 58,  -5,  -9, 7, 51.3, ④③, 5, 4,Ｊメイショウエンジン, 73,浜中俊, 0.8, 80,   2,  15,10, 89.4,⑧⑥⑥, 5, 6,Ｈエストシャイン, 65,松田大, 0.3, 76,  10,   0,14,110.5, ⑧⑨
 6, 5, ヤマカツセイレｰン,,佐久間,203.5,,,, 1,  4.2,①①①, 6, 7,Ｌワカムシャラミｰ, 49,田村太, 0.4, 60, -10,  -2,14,149.8, ⑨⑨, 6, 7,Ｃディアプリンシパル, 86,北村友, 0.9, 79,   3,  13, 2,  6.3,④③③, 6, 5,Ｂカスクドｰル, 73,赤木高, 0.4, 72,   6,   2, 6, 13.7, ⑩⑩
 7, 7, スズカグラス,,林満明,206.0,,,, 9, 29.6,⑥⑦⑦, 7,12,Ｍロングチャイム, 47,浜中俊, 0.4, 57,* -2, -13,15,233.1, ②②, 7, 9,Ｈパｰプルアカデミｰ, 83,幸英明, 1.0, 80,   0,  17, 9, 37.4,⑩⑩⑧, 7,10,Ｎマックスロザリｰ, 55,藤岡康, 0.5, 75,* 15, -11,10, 71.4, ②②
 8, 3, ギガブレイク,,今村康,206.5,,,, 7, 12.7,⑨⑧⑧, 8, 4,Ｆトップスマイル, 52,川田将, 0.4, 61,  -6,  -5,10,103.2, ⑤⑤, 8, 5,Ｂピｰスキｰパｰ, 87,藤岡康, 1.2, 78,   2,  12, 4, 10.2,⑥⑤⑤, 8,14,Ｆウィザｰスプｰン, 70,田嶋翔, 0.7, 70,  10,  -7, 7, 14.4, ⑦⑦
 9, 8, チョウバクシン,,黒岩悠,207.2,,,, 5,  7.6,⑩⑩⑨, 9, 8,Ｅミスズアムｰル, 53,安藤光, 0.6, 56,  -8,  -6,13,148.3, ⑥⑦, 9, 1,Ｆハｰドシｰキング, 84,小牧太, 1.4, 75,   0,  14, 8, 34.4,⑦⑨⑩, 9, 7,Ｌトｰワテレサ, 63,浜中俊, 0.7, 71,   6,   0,13, 99.9, ⑪⑪
