10年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 5,Ｃナムラエバｰグリン, 56,川須栄, 1.6, 42,*  8, -40, 5, 11.6, ①①, 7, 8, リボルトレイダｰ,---,石橋守, 0.8, 54,* -1, -15, 8, 16.5, ③③, 7, 4,Ｆミッキｰデジタル, 74,小牧太, 0.9, 71,*  7,   2, 3,  9.5, ①①, 7, 3,Ｊベンチャｰナイン, 80,渡辺薫, 1.5, 81,  17, -11,10,107.4,⑦⑧⑧
 8,14,Ｎタガノマルシェ, 26,秋山真, 1.7, 41,  -2, -25,12,167.6, ⑭⑭, 8,13, コスモパスキｰ,---,幸英明, 1.0, 51,  -6, -11,12,125.1, ⑧⑦, 8,16,Ｇオｰシャンカレント, 73,藤田伸, 1.0, 72,   5,   2, 4, 13.9, ⑤⑤, 8, 8,Ｃスマｰトギア, 86,武幸四, 1.7, 79,  16,  -9, 6,  8.2,⑩⑩⑩
 9, 3,Ｈシシャモクイｰン, 47,田中克, 2.1, 39,  -4, -26, 8, 56.1, ⑯⑯, 9, 4, タイキエレイン,---,和田竜, 1.2, 50,*  1, -23, 9, 37.8, ①①, 9, 1,Ｌユウキアックン, 71,武幸四, 1.0, 73,  -1,   7, 5, 17.9, ⑬⑫, 9, 5,Ｉシルクネクサス, 82,北村友, 2.1, 76,  19, -22, 8, 75.0,⑤⑤⑥
10, 9,Ｍカシノリッチ, 28,高野容, 2.1, 38,   0, -34,16,471.8, ⑫⑬,10,14, アｰトギャラリｰ,---,池添謙, 1.3, 46,  -7, -14, 7, 14.4, ⑨⑩,10,12,Ｊベネラ, 71,熊沢重, 1.0, 73,*  6,   1, 7, 20.9, ③③,10,10,Ｋドリｰムフライト, 74,幸英明, 4.0, 67,* 27, -74, 7, 46.1,①①②
11, 4,Ｐエｰシンサクショｰ, 17,藤岡康, 2.6, 33,   1, -44,14,212.8, ⑧⑫,11, 3, ルンディｰ,---,渡辺薫, 1.5, 45, -11, -11,13,140.3, ⑪⑪,11, 5,Ｅサダムテンジン, 78,国分恭, 1.1, 71,*  6,   0, 9, 30.6, ②②,,,,,,,,,,,,
12, 8,Ｄキャンベル, 53,高橋亮, 2.6, 33,   4, -48, 7, 30.9, ⑥⑨,12,12, サイキョウイシヤマ,---,浜中俊, 1.6, 43,  -5, -22,10, 44.6, ⑦⑨,12,15,Ｎライコウテンユウ, 69,小林徹, 1.7, 66,   2,  -2,14,195.2, ⑪⑨,,,,,,,,,,,,
13,16,Ｋジャマイカジョｰ, 33,国分恭, 2.8, 32,   1, -45,10, 90.4, ⑪⑩,13, 5, ホクザンヴィリル,---,野元昭, 2.6, 32, -11, -26,14,200.2, ⑫⑬,13,13,Ｐドンアドヴァイタ, 64,北村友, 1.7, 65,  -3,   3,16,341.9, ⑮⑯,,,,,,,,,,,,
14,12,Ｏシゲルシテンチョウ, 21,高倉稜, 2.8, 29,  -5, -36,15,268.5, ⑮⑮,14, 7, ヒシダイアナ,---,藤岡康, 3.3, 14, -29, -10,11, 96.0, ⑭⑭,14,11,Ｏキアｰロ, 69,渡辺薫, 1.9, 64,  -3,   1,13,162.8, ⑯⑭,,,,,,,,,,,,
15,10,Ｊジュエリｰキッス, 36,渡辺薫, 2.8, 32,  -1, -44,11, 95.2, ⑬⑪,,,,,,,,,,,,,15, 2,Ｍプリモロｰズ, 70,幸英明, 4.3, 41,   4, -27,12,104.9, ⑥⑬,,,,,,,,,,,,
16,13,Ｅマイネルデフィ, 52,内田博, 3.6, 26,*  7, -67, 4,  8.2, ③④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
