10年 8月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-16,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9, 2,Ｃエイチケイパレス, 61,小牧太, 1.6, 50, -16,   3, 1,  4.6, ⑫⑪, 9, 1,Ｋウィステリアアｰチ, 47,鮫島良, 1.2, 53,  -5,  -5, 2,  4.4,③④⑥, 9, 5,Ｈエｰシンテュポｰン, 66,和田竜, 1.5, 56, -13,*  8, 9, 45.1, ⑭⑬, 9, 1,Ｌセフティファントム, 67,幸英明, 1.0, 67,   2,   4,11, 80.5,⑧⑧⑨
10,12,Ｉシゲルキチョウ, 47,酒井学, 1.7, 53,  -5,  -5,13,208.5, ⑥⑥,10,10,Ｉトゥｰファン, 50,渡辺薫, 1.3, 53,  -6,  -2,12, 92.5,⑧⑨⑧,10, 1,Ｂタマモトワイライト, 73,高倉稜, 1.5, 56,  -2,   1, 8, 38.0, ⑦⑥,10, 7,Ｍカシノヘラクレス, 57,杉村一, 1.0, 68,   0,   8,13,240.7,⑫⑪⑪
11, 5, オンワｰドフレスコ,---,石橋守, 2.1, 46, -24,   4,10, 54.4, ⑬⑬,11, 3,Ｌピｰスデピュティ, 46,太宰啓, 1.4, 52, -10,*  3,10, 36.3,⑭⑭⑬,11, 6,Ｍアイノタンゴ, 59,太宰啓, 1.6, 55,  -1,  -1,13,198.2, ⑥⑦,11, 3,Ｇブルｰライジング, 71,赤木高, 1.2, 65,*  6,  -3, 8, 24.0,①①①
12, 8,Ｊミッキｰマドラｰ, 46,高倉稜, 2.3, 44, -12,  -6, 2,  5.1, ⑩⑩,12, 2,Ｊジョｰパフュｰム, 47,高倉稜, 1.4, 52,  -9,   1,11, 66.9,⑪⑫⑫,12,11,Ｉシュウボンバｰ, 66,北村友, 1.7, 54,  -6,   2, 7, 25.7, ⑩⑫,12,11,Ｂシｰクレバｰ, 75,鷹野宏, 1.4, 66,  -3,   9, 9, 49.7,⑬⑬⑬
13, 4, マルサンアイドル,---,松山弘, 2.5, 43, -10,  -8,12,158.0, ⑨⑨,13, 4,Ｆダイシンベｰル, 61,松山弘, 2.2, 45,  -6, -11, 7, 13.4,⑥⑧⑪,13,12,Ｅランドタカラ, 69,渡辺薫, 1.7, 54,  -7,   2, 6, 18.4, ⑪⑪,13,10,Ｉサダムトウコン, 69,太宰啓, 1.5, 63,   0,   2,10, 66.1,⑪⑫⑫
14, 6, ワイルドモｰション,---,太宰啓, 4.6, 19, -38,  -9,14,236.3, ⑭⑭,14, 7,Ｏアマノブラウニイｰ, 28,山口勲, 4.1, 32, -10, -21,13,141.4,⑫⑬⑭,14, 9,Ｎオリオンザドｰタｰ, 37,松山弘, 2.1, 49, -10,   1,12,133.3, ⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,15, 6,Ｎヨシワスレガタミ, 34,松田大, 5.7, 25, -10, -34,14,283.8,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
