10年 2月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,斑鳩ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,15,Ｐマッシヴファイタｰ, 35,熊沢重, 4.1, 46,   0, -17,16,371.8,⑩⑬⑬,13,14,Ｎキョウワサムライ, 40,渡辺薫, 1.7, 46, -15,  -9,14,364.7, ⑯⑮,13, 3,Ｅマッキｰバッハ, 73,幸英明, 2.3, 61,  11, -22, 2,  4.2,⑧⑦⑧,13,14,Ｏスタｰイレブン, 71,金折知, 1.8, 70,   7,   0,15,198.6, ⑫⑫
14, 5,Ｍマムシ, 41,小牧太, 5.4, 35,  -4, -22,14,162.4,⑯⑯⑯,14, 3,Ｍアｰスワンソニア, 42,野元昭, 1.8, 43,  -9, -19,16,384.2, ⑨⑩,14, 6,Ｊパワｰコレクタｰ, 70,津村明, 2.3, 58,  12, -24,11, 55.1,⑥⑥⑥,14, 1,Ｍラインドライブ, 75,池添謙, 3.5, 58,* 12, -21, 9, 26.3, ③②
15,14,Ｈスゴイ, 56,藤田伸, 5.6, 34,  -1, -30, 7, 18.0,⑭⑭⑮,15, 9,Ａドクトルジバゴ, 64,ルメｰ, 1.9, 40,* -2, -32, 7, 12.6, ①①,15,15,Ｋコナフェット, 68,西原玲, 2.3, 61,   8, -15,15,249.3,⑩⑫⑮,15, 7,Ｌコウエイハｰト, 76,安部幸, 5.3, 44,* 12, -37,11, 76.8, ②⑨
16,12,Ｎイカイカブラウン, 41,池添謙, 7.5, 25,   3, -54,10, 62.8,③⑤⑫,16, 8,Ｐセトウチリｰダｰ, 35,小林徹, 1.9, 44, -15, -10,15,365.7, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:1),,,,,,,,,,,
単勝:170円 複勝:02=110円 07=160円 03=360円 枠連:430円,,,,,,,,,,,,単勝:480円 複勝:12=140円 13=140円 07=360円 枠連:590円,,,,,,,,,,,,"単勝:5,550円 複勝:14=1,180円 05=1,470円 12=550円 枠連:10,270円",,,,,,,,,,,,"単勝:2,050円 複勝:04=460円 09=180円 10=180円 枠連:1,010円",,,,,,,,,,,
"馬連:530円 ワイド:02-07=230円 02-03=700円 03-07=1,430円",,,,,,,,,,,,"馬連:730円 ワイド:12-13=280円 07-12=1,010円 07-13=880円",,,,,,,,,,,,"馬連:109,120円 ワイド:05-14=15,010円 12-14=14,000円 05-12=9,610円",,,,,,,,,,,,"馬連:3,730円 ワイド:04-09=1,260円 04-10=1,200円 09-10=420円",,,,,,,,,,,
"馬単:790円 3連複:2,360円 3連単:6,730円",,,,,,,,,,,,"馬単:1,660円 3連複:2,890円 3連単:14,280円",,,,,,,,,,,,"馬単:243,750円 3連複:498,810円 3連単:4,719,980円",,,,,,,,,,,,"馬単:9,770円 3連複:5,550円 3連単:43,980円",,,,,,,,,,,
