10年12月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 3,Ｇシルバｰチｰフ, 46,古川吉, 2.1, 49,  -6,  -2,11,142.1,⑫⑫⑫, 7,11, メイショウサリマン,---,武幸四, 1.5, 52, -11,  -6, 5, 19.9, ⑨⑦, 7, 8,Ｄダノンジュピタｰ, 80,佐藤哲, 0.4, 75,   9,   4,11, 47.9, ⑫⑩, 7,10,Ｐタガノラヴキセキ, 60,岡部誠, 0.4, 73,  -4,  10,14,156.3, ⑨⑩
 8,10,Ａアンバｰシェｰド, 54,和田竜, 2.3, 48,* -1, -15, 1,  3.1,④④③, 8, 8, テイエムオニキス,---,和田竜, 1.7, 50, -27,   7,10, 87.6, ⑬⑫, 8, 9,Ｌスマｰトアｰサイト, 76,内田博, 0.6, 74,   9,   2, 6, 27.4, ⑪⑪, 8, 5,Ｂフォｰエバｰマｰク, 77,吉田豊, 0.7, 68,  -3,   3,10, 60.7, ③④
 9, 8,Ｃリｰガルファルコン, 53,福永祐, 2.4, 47,*  0, -16, 4,  5.8,②②②, 9, 4, プルメリ,---,渡辺薫, 1.7, 51,* -5, -13, 7, 36.8, ②②, 9, 1,Ｅシャア, 79,小坂忠, 0.7, 74,  13,  -3, 3,  8.4, ⑥⑤, 9,14,Ａダンスファンタジア, 81,武豊  , 0.8, 67,  -4,   3, 2,  3.6, ⑫⑧
10, 5,Ｌフクサンボス, 29,小林徹, 3.1, 45,  -6, -11,12,318.9,⑪⑪⑩,10,10, フェルマグリオ,---,デムｰ, 1.7, 49, -21,   2, 3,  8.2, ⑪⑪,10,14,Ｍハクバドウジ, 76,古川吉, 0.8, 72,  12,  -5,14,171.4, ⑤⑦,10, 3,Ｒトツゼンノハピネス, 58,佐藤哲, 0.8, 68,  -8,  10,15,160.0, ⑬⑬
11, 9,Ｂザナ, 53,吉田豊, 4.7, 32,  -4, -27, 8, 31.5,⑦⑨⑨,11,12, バトルルノン,---,国分優, 1.8, 49, -14,  -5, 6, 25.5, ⑩⑨,11, 7,Ｉマイネルセラｰノス, 77,デムｰ, 0.8, 70,   6,   4,12, 69.0, ⑯⑯,11, 7,Ｋリトルダｰリン, 65,後藤浩, 0.8, 68,  -3,   4, 5, 28.3, ⑦⑦
12, 7,Ｋケットシｰ, 32,松岡正, 4.9, 30,  -5, -30, 9, 47.2,⑧⑧⑧,12, 6, ウォｰタｰリバティ,---,佐久間, 2.4, 41, -16, -12,13,290.5, ⑦⑩,12,10,Ｏナイトオブザオペラ, 72,藤田伸, 0.9, 73,* 15,  -8, 5, 16.7, ④③,12, 9,Ｇマルモセｰラ, 68,田中健, 0.9, 65,* -1,  -3, 7, 39.8, ②②
,,,,,,,,,,,,13,13, タカノコウモン,---,内田博, 2.6, 39, -22,  -8, 9, 59.5, ⑫⑬,13, 6,Ｎタニノロッキｰ, 75,岡部誠, 1.5, 66,   7,  -3,16,304.0, ⑮⑮,12,17,Ｏマリアビスティｰ, 62,小林慎, 0.9, 68,  -9,  11,13,137.5, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｈエｰスインザホｰル, 78,和田竜, 1.6, 69,* 18, -18, 9, 30.7, ①①,14,13,Ｑオｰスミマイカ, 59,柴原央, 1.1, 65,  -6,   5,18,265.3, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｇシャドウデイル, 78,仲田雅, 2.1, 61,   9, -13,13,162.3, ⑨⑫,15, 8,Ｉピュアオパｰル, 66,内田博, 1.2, 64,*  1,  -8, 9, 59.5, ①①
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｐドキャｰレ, 71,渡辺薫, 2.1, 64,* 15, -18,15,201.3, ③④,16, 2,Ｈハピシン, 67,酒井学, 1.2, 64,  -5,   2,16,179.0, ⑩⑪
