10年 8月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9,15,Ｉマイネルハミルトン, 39,国分恭, 2.2, 44,  -9, -14, 9, 54.1,⑬⑫⑨, 9, 6,Ｋアリマタイトル, 56,酒井学, 0.8, 60,   1,  -2, 4,  7.1,④⑥⑥, 9,11,Ｇブリリアントシチｰ, 68,中村将, 1.1, 61,  -3,* 11, 6, 21.9,⑭⑬⑬, 9, 3,Ｄホｰクウィンザｰ, 71,国分恭, 0.5, 69,   0,   2, 8, 21.1,⑥⑤⑤
10, 1,Ｊフレンドハｰバｰ, 37,太宰啓, 2.6, 39,  -8, -22,12,174.6,⑨⑨⑫,10, 2,Ｇテンシノオリジナル, 61,中村将, 0.8, 63,  -5,   8,12,126.3,⑭⑭⑭,10, 9,Ｃリｰプオブフェイス, 71,川田将, 1.1, 61,  -2,   8, 3,  6.1,⑩⑧⑧,10, 8,Ｇフェルヴィｰド, 68,和田竜, 1.0, 62,  -1,  -5, 7, 18.8,④⑥⑥
11, 3,Ｍマギｰメイ, 27,野元昭, 3.6, 31,  -8, -32,15,475.5,⑫⑬⑭,11, 8,Ｍマイネキラ, 51,幸英明, 0.9, 59,*  2,  -8,11, 91.6,②②②,11,15,Ｎフィｰリングトｰン, 60,鮫島良, 1.3, 62,  -3,   9,12,142.4,⑪⑫⑮,11, 5,Ｋスペｰスオｰバｰ, 63,太宰啓, 1.2, 63,  -4,   1,11,240.2,⑩⑩⑨
12, 2,Ｏテイエムバレンシア, 19,渡辺薫, 3.7, 31,  -6, -41,13,264.4,③⑥⑪,12,16,Ｂスゴイ, 70,国分恭, 1.0, 58,   1,  -5, 3,  7.0,⑩⑦⑧,12, 6,Ｍヤラマイカ, 60,鈴来直, 1.3, 60,  -4,  10,14,208.8,⑫⑮⑫,,,,,,,,,,,,
13,12,Ｈヒビキライト, 44,田中健, 4.0, 28,* -3, -49,11,107.2,④③②,13, 3,Ｆサトノケンオｰ, 61,藤岡康, 1.5, 51,*  2, -17, 7, 17.5,①①①,13, 3,Ｄシュウボンバｰ, 70,太宰啓, 1.3, 60,  -6,* 13,11,131.3,⑨⑯⑯,,,,,,,,,,,,
14, 5,Ｎテイエムオジャル, 25,高井彰, 5.6,  5,  -8, -61,14,271.7,⑥⑪⑮,14, 4,Ｏワカムシャラミｰ, 27,田村太, 2.0, 47,  -2, -15,15,255.4,⑦⑩⑬,14, 4,Ｅクリスタルドア, 70,幸英明, 1.7, 58,  -3,   6, 9, 47.0,⑮⑭⑪,,,,,,,,,,,,
15, 9,Ｌエｰシンディｰバ, 34,北村友, 5.6,  1,* -3, -74, 5, 19.8,①①④,15,15,Ｎメルシｰフリｰト, 47,太宰啓, 4.7, 22,  -8, -41,16,290.8,⑬⑮⑮,15,12,Ｊアウラスタｰ, 65,和田竜, 2.5, 53,  -2,  -3,16,312.0,⑧⑨⑩,,,,,,,,,,,,
,,,,,,,,,,,,16, 5,Ｐエプソムイチロｰ, 22,鷹野宏, 7.6, -7, -26, -45,14,242.2,⑯⑯⑯,16, 7,Ｈクオン, 66,熊沢重, 4.0, 43,  -2, -16,15,243.0,⑯⑩⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
