10年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾟｰﾄｱｲﾗﾝﾄﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
14, 6,Ｈメイショウスピｰド, 44,村田一, 2.8, 29, -17,  -7,13,176.3, ⑫⑮,14, 2,Ｎエンパイアシチｰ, 23,石橋脩, 3.8, 35, -13, -17,15,320.4, ⑫⑫,14,15,Ｐメイショウバショウ, 41,石橋守, 2.9, 63,   2,  -4,15,261.8,⑤⑥⑥,,,,,,,,,,,,
15, 8,Ｍテイエムリニア, 30,田中健, 4.1, 11, -17, -26,15,233.0, ⑨⑭,15, 1,Ｍアグネストリアノン, 27,国分恭, 4.7, 28, -18, -19, 9,169.9, ⑯⑯,15,12,Ｎピサロナイト, 57,渡辺薫, 3.3, 62,  -4,   4,16,291.1,⑮⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,16, 8, セトノバララット,---,石橋守, 4.8, 30, -12, -25,14,247.0, ⑬⑭,16, 6,Ｏビバクラシック, 45,野元昭, 4.6, 49,  -3, -11,13,115.0,⑪⑪⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-18 馬場:稍重(指数:0),,,,,,,,,,,
単勝:390円 複勝:12=180円 14=160円 03=580円 枠連:440円,,,,,,,,,,,,"単勝:700円 複勝:15=190円 16=110円 06=1,640円 枠連:610円",,,,,,,,,,,,"単勝:490円 複勝:11=170円 16=160円 05=140円 枠連:1,110円",,,,,,,,,,,,"単勝:690円 複勝:03=230円 08=170円 04=580円 枠連:1,090円",,,,,,,,,,,
"馬連:690円 ワイド:12-14=320円 03-12=2,500円 03-14=1,560円",,,,,,,,,,,,"馬連:630円 ワイド:15-16=300円 06-15=5,710円 06-16=880円",,,,,,,,,,,,"馬連:1,290円 ワイド:11-16=430円 05-11=420円 05-16=390円",,,,,,,,,,,,"馬連:1,320円 ワイド:03-08=520円 03-04=2,070円 04-08=1,640円",,,,,,,,,,,
"馬単:1,520円 3連複:9,640円 3連単:33,080円",,,,,,,,,,,,"馬単:1,750円 3連複:10,120円 3連単:69,490円",,,,,,,,,,,,"馬単:2,680円 3連複:1,680円 3連単:10,980円",,,,,,,,,,,,"馬単:2,910円 3連複:9,930円 3連単:45,600円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1400m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
