10年12月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ｻﾝﾀｸﾛｰｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11,10,Ｎシンワカントリｰ, 31,川須栄, 1.9, 39, -13,  -8,13,387.9, ⑭⑬,11,12,Ｏグランドツｰリング, 36,高倉稜, 2.4, 44,  -3, -12,16,384.3, ⑪⑪,11,14,Ｉウインザマキ, 71,川須栄, 3.0, 61,   5, -12,12,300.0,⑨⑦⑧,11,11,Ｉビｰビｰガルダン, 84,安藤勝, 0.9, 83,   7,   9, 6, 17.3, ⑧⑧
12, 1,Ｈビヨンドザリミット, 41,鮫島良, 2.9, 32,  -9, -18,14,471.5, ⑪⑫,12, 1,Ｋマルブツマスタｰ, 45,和田竜, 2.5, 43,  -8,  -8, 4, 12.1, ⑭⑮,12, 4,Ｎカポデテュティカピ, 61,三浦皇, 3.1, 60,   5, -11,13,300.4,⑦⑧⑥,12, 5,Ｄファリダット, 90,デムｰ, 0.9, 84,  -1,* 20, 4, 10.9, ⑯⑮
13, 5,Ｍラブシｰビル, 34,高倉稜, 3.3, 27, -13, -19, 8, 72.1, ⑬⑭,13, 6,Ｎマサノエクスプレス, 38,国分優, 2.6, 42,  -7, -10,14,346.8, ⑮⑭,13,15,Ｇトゥザサミット, 75,武豊  , 3.2, 60,   5, -12, 8, 35.6,⑪⑪⑩,13, 9,Ｇテイエムアタック, 85,和田竜, 1.0, 83,   0,  16,16,186.8, ⑬⑭
14, 4,Ｌクリノマキバオｰ, 37,熊沢重, 3.5, 29,   0, -34,11,201.6, ⑤④,14,10,Ｄマンテンマックス, 53,佐久間, 2.7, 42,  -6, -12,13,278.8, ⑩⑬,14,13,Ｍファイブイｰグル, 63,デムｰ, 3.5, 55,   5, -16, 7, 30.1,⑥⑥⑦,14, 1,Ｊスズカコｰズウェイ, 84,藤岡佑, 1.1, 82,  -3,  19,14,110.0, ⑮⑰
15, 7,Ｄイソノヴィｰナス, 52,畑端省, 3.8, 25,  -6, -29, 6, 49.0, ⑨⑩,15, 2,Ｐリアリｰザワｰルド, 30,秋山真, 2.7, 42,  -3, -17,10,157.6, ⑨⑩,15,10,Ｏロｰランブロウ, 45,鮫島良, 4.8, 50,  -1, -15,15,558.1,⑮⑭⑮,15, 2,Ｃリビアｰモ, 90,三浦皇, 1.1, 82,  -4,* 21, 9, 22.7, ⑰⑯
,,,,,,,,,,,,16, 7,Ｈキョカキョク, 51,横山典, 2.8, 41,  -9,  -9, 8, 84.2, ⑯⑯,,,,,,,,,,,,,16,15,Ｍアｰバニティ, 81,藤田伸, 1.7, 73,   9,  -4,11, 57.8, ⑦⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｐオセアニアボス, 79,小牧太, 1.7, 73,* 11,  -7,12, 64.0, ⑤③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,
単勝:140円 複勝:06=110円 09=160円 08=210円 枠連:210円,,,,,,,,,,,,単勝:170円 複勝:05=110円 04=200円 09=530円 枠連:600円,,,,,,,,,,,,"単勝:1,750円 複勝:11=210円 01=110円 03=170円 枠連:1,040円",,,,,,,,,,,,"単勝:390円 複勝:14=180円 13=490円 04=1,960円 枠連:3,180円",,,,,,,,,,,
馬連:300円 ワイド:06-09=170円 06-08=300円 08-09=620円,,,,,,,,,,,,"馬連:540円 ワイド:04-05=290円 05-09=600円 04-09=1,960円",,,,,,,,,,,,"馬連:1,100円 ワイド:01-11=420円 03-11=990円 01-03=200円",,,,,,,,,,,,"馬連:3,080円 ワイド:13-14=1,290円 04-14=6,480円 04-13=19,020円",,,,,,,,,,,
"馬単:410円 3連複:770円 3連単:1,890円",,,,,,,,,,,,"馬単:810円 3連複:2,780円 3連単:6,690円",,,,,,,,,,,,"馬単:3,910円 3連複:1,600円 3連単:17,270円",,,,,,,,,,,,"馬単:4,900円 3連複:131,400円 3連単:438,250円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,猪名川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
