10年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,17, 8,Ｑカシノビヨンセ, 42,高野容, 1.9, 46,   1, -20,18,452.7, ⑧⑨,17, 6,Ｆヘルズキッチン, 66,浜中俊, 2.0, 46,   1, -19, 7, 10.8, ⑭⑱,,,,,,,,,,,,
,,,,,,,,,,,,18,18,Ｒセトウチソｰラｰ, 41,松田大, 2.0, 42, -11, -10,13,164.5, ⑱⑱,18, 4,Ｒメイショウヘミング, 50,藤岡康, 2.5, 46,* 13, -37,12, 58.4, ①①,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:0),,,,,,,,,,,
"単勝:170円 複勝:05=110円 10=1,250円 14=330円 枠連:920円",,,,,,,,,,,,"単勝:800円 複勝:03=190円 12=180円 07=120円 枠連:1,340円",,,,,,,,,,,,"単勝:830円 複勝:18=260円 02=380円 16=340円 枠連:1,460円",,,,,,,,,,,,単勝:340円 複勝:08=120円 07=140円 05=150円 枠連:290円,,,,,,,,,,,
"馬連:8,840円 ワイド:05-10=2,880円 05-14=540円 10-14=12,700円",,,,,,,,,,,,"馬連:2,360円 ワイド:03-12=710円 03-07=300円 07-12=320円",,,,,,,,,,,,"馬連:4,590円 ワイド:02-18=1,680円 16-18=990円 02-16=1,970円",,,,,,,,,,,,馬連:470円 ワイド:07-08=190円 05-08=300円 05-07=360円,,,,,,,,,,,
"馬単:11,470円 3連複:33,530円 3連単:144,900円",,,,,,,,,,,,"馬単:5,430円 3連複:1,680円 3連単:16,610円",,,,,,,,,,,,"馬単:9,490円 3連複:13,540円 3連単:71,250円",,,,,,,,,,,,"馬単:930円 3連複:810円 3連単:3,310円",,,,,,,,,,,
■ 3R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 9R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,西海賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9, イコｰルパｰトナｰ,,金折知,,,,, 2,  4.5,⑤③①, 1, 1,Ａオｰルザワｰルド, 66,福永祐,, 70,   2,* 10, 1,  3.4,⑨⑨④, 1,14,Ｉイタリアンレッド, 73,浜中俊,, 77,  -1,* 19, 1,  2.4,⑫⑪⑦, 1,11,Ａワイルドウルフ, 76,ホワイ,, 74,   6,* 10, 1,  1.9,⑦⑤④
 2, 6, タイカｰリアン,,北沢伸,190.5,,,, 3,  5.2,③④③, 2, 6,Ｄトウカイブラスト, 62,熊沢重, 0.6, 67,*  5,  -1, 9, 19.1,②②①, 2,10,Ｃスイｰトマトルｰフ, 77,川田将, 0.2, 73,   5,   5, 3,  8.9,③③③, 2, 2,Ｂタコ, 74,佐藤哲, 0.3, 72,*  8,   2, 2,  5.4,①①①
 3, 7, チョウラブラブ,,黒岩悠,190.9,,,, 8, 19.4,①①②, 3, 3,Ｆサダムセシボン, 61,ホワイ, 0.6, 66,*  4,   1, 5, 10.2,③③②, 3,13,Ｅハｰリカ, 76,松田大, 0.2, 72,   5,   6, 9, 34.4,⑤⑤⑤, 3,12,Ｋシゲルゴユウサン, 60,川島信, 1.0, 67,   1,* 10,14,164.4,⑭⑮⑨
 4, 2, ゴルデンシュライン,,西谷誠,190.9,,,, 7, 16.8,⑥⑥⑥, 4, 4,Ｋナスムネタカ, 57,石橋守, 1.2, 66,   2,   1,14,103.7,⑮⑫⑧, 4, 1,Ａハウオリ, 81,福永祐, 0.4, 73,   1,  12, 2,  3.6,⑨⑩⑩, 4, 1,Ｅトシザワイルド, 71,太宰啓, 1.2, 64,   7,  -2, 4,  7.9,④③③
 5, 1, デンシャミチ,,高田潤,190.9,,,, 6,  9.2,④⑤⑤, 5,12,Ｅトウケイウッドマン, 61,赤木高, 1.4, 61,  -2,*  5,10, 23.8,⑭⑮⑫, 5, 6,Ｌアグネスミヌエット, 71,鮫島良, 0.4, 74,  -2,* 17,11,140.4,⑮⑭⑬, 5,14,Ｉトｰブプリンス, 66,北村友, 1.4, 66,   3,   3, 6, 20.6,⑬⑨⑧
 6, 3, エｰシンサｰフィン,,横山義,191.0,,,, 1,  4.4,⑨⑨⑨, 6, 9,Ｊシルククインビｰ, 58,川田将, 1.6, 59,   3,  -6,11, 26.0,⑦⑥⑥, 6, 5,Ｆブライダルベｰル, 74,武豊  , 0.4, 73,   3,   9, 5, 11.2,⑥⑥⑥, 6, 3,Ｄメイショウロッコｰ, 72,川田将, 1.5, 64,   2,   3, 3,  7.3,⑮⑩⑩
 7, 5, ミヤジレオン,,中村将,191.6,,,,10, 31.1,②②④, 7, 7,Ｎスクルｰド, 44,太宰啓, 1.7, 57,   0,  -3,12, 34.3,⑪⑩⑩, 7,15,Ｈテｰオｰティアラ, 73,ホワイ, 0.4, 72,   1,  11, 6, 12.8,⑧⑧⑨, 7, 4,Ｇライフストリｰム, 69,国分恭, 1.6, 63,   4,  -1, 7, 26.5,⑤⑥⑥
 8,11, ラッキｰリップス,,白浜雄,192.0,,,, 4,  6.1,⑦⑧⑦, 8,14,Ｃナムラフォエバｰ, 63,北村友, 1.8, 58,   3,  -8, 7, 11.3,⑧④⑤, 8,12,Ｂアンプレシオネ, 81,太宰啓, 0.6, 67,*  8,  -5, 4, 10.0,②②②, 8,16,Ｃピノブラン, 72,川須栄, 1.7, 60,*  8, -10, 5, 10.3,③②②
 9,12, マッキｰガリウム,,佐久間,192.1,,,,11, 32.9,⑪⑩⑩, 9,11,Ｇスマｰトキングダム, 61,高田潤, 1.9, 57,   3,  -6, 2,  6.0,⑥⑦⑦, 9, 8,Ｇカノヤトップレディ, 74,小牧太, 0.6, 70,  -1,  12, 7, 18.2,⑪⑬⑫, 9,10,Ｊアグネスシグマ, 64,幸英明, 1.7, 62,   6,  -6, 9, 73.2,⑥④⑤
