10年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ゆめ半島千葉国体･千葉大会開催記念,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"単勝:1,860円 複勝:10=400円 02=140円 08=950円 枠連:330円",,,,,,,,,,,,単勝:170円 複勝:09=110円 06=120円 04=130円 枠連:290円,,,,,,,,,,,,"単勝:310円 複勝:05=140円 01=180円 06=120円 枠連:1,230円",,,,,,,,,,,,"単勝:640円 複勝:13=190円 15=230円 02=170円 枠連:1,850円",,,,,,,,,,,
"馬連:1,660円 ワイド:02-10=600円 08-10=6,950円 02-08=1,670円",,,,,,,,,,,,馬連:270円 ワイド:06-09=140円 04-09=170円 04-06=260円,,,,,,,,,,,,"馬連:1,460円 ワイド:01-05=510円 05-06=200円 01-06=410円",,,,,,,,,,,,"馬連:2,040円 ワイド:13-15=860円 02-13=500円 02-15=780円",,,,,,,,,,,
"馬単:5,430円 3連複:20,390円 3連単:135,850円",,,,,,,,,,,,"馬単:430円 3連複:380円 3連単:1,010円",,,,,,,,,,,,"馬単:2,510円 3連複:1,050円 3連単:7,630円",,,,,,,,,,,,"馬単:4,430円 3連複:3,110円 3連単:19,020円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,鋸山特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａシルクリンカｰン, 68,松岡正,, 70,   0,* 12, 1,  2.0,⑥④③, 1,12,Ａマエストラｰレ, 81,松岡正,, 79,  -7,* 29, 1,  1.6,⑫⑧⑤, 1, 1,Ｂヤマニンバッスル, 81,伊藤工,, 73,   3,* 15, 1,  2.3,⑩⑩⑨, 1, 9,Ｇサムズアップ, 62,四位洋,, 80,   6,* 14, 3,  9.4,⑥⑥④
 2, 8,Ｅサンワｰドネオ, 60,吉田豊, 0.2, 66,*  1,   7, 2,  4.9,④②②, 2, 2,Ｂリュシオル, 75,武豊  , 0.2, 76,  -3,  21, 2,  2.9,⑤④④, 2,10,Ｃシルクスタｰシップ, 78,柴山雄, 0.1, 72,*  6,   8,10, 83.8,③③③, 2,12,Ａトウショウロジック, 77,丸山元, 0.1, 80,   5,* 12, 1,  2.1,④④③
 3,10,Ｏサトシック, 35,戸崎圭, 0.3, 66,*  0,   5, 5, 10.6,①①①, 3,11,Ｉトレノロｰザ, 63,戸崎圭, 0.2, 77,* -2,  21, 4, 15.7,②③②, 3, 8,Ｆベロｰチェ, 75,木幡初, 0.2, 72,*  7,   7, 9, 82.3,②②②, 3,10,Ｃクラブトゥギャザｰ, 67,三浦皇, 0.4, 78,   5,* 11, 2,  2.8,⑧⑧⑤
 4, 9,Ｂダイワボニｰタ, 64,北村宏, 0.9, 63,  -5,* 10, 3,  5.5,⑪⑫⑦, 4,10,Ｄユングフラウヨシコ, 69,三浦皇, 1.1, 72,  -7,  21, 5, 18.7,⑪⑪⑨, 4, 9,Ｄトｰセントゥルｰ, 76,吉田隼, 0.2, 74,   6,   9, 5,  9.3,⑥⑤⑤, 4, 8,Ｈユキノセントウ, 61,戸崎圭, 0.5, 79,*  7,   9, 4, 10.8,③③②
