10年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1300m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 1,Ｅマキシムオウショウ, 48,平野優, 0.5, 50,* -1, -18, 8, 22.1, ①①, 7, 3,Ｊウエスタンエルザ, 62,伊藤工, 1.0, 66,  -5,* 11,10,160.6, ⑪⑪, 7,13,Ｂレト, 80,蛯名正, 0.3, 80,  12,   7, 3,  5.5, ⑧⑧, 7,13,Ｈイコピコ, 84,田中勝, 1.1, 87,   7,   8, 4,  7.3,⑩⑩⑩
 8, 4,Ｎサンライトムｰン, 12,内田博, 0.6, 49,  -9,* -7, 4,  5.7, ⑬⑬, 8, 9,Ｅカルトマリｰヌ, 69,北村宏, 1.4, 60,*  6, -10, 5, 12.6, ⑤③, 8, 1,Ｎステラｰホｰプ, 71,中舘英, 0.5, 78,  11,   6,11, 64.3, ⑨⑨, 8, 4,Ｉメイショウレガｰロ, 84,村田一, 1.2, 84,* 10,   1, 7, 19.9,②②②
 9,14,Ｃマイプレシャス, 53,柴田善, 0.7, 48,  -6, -12, 5, 12.0, ⑨⑪, 9, 6,Ｈレッドプラネット, 66,蛯名正, 2.0, 57,*  6, -15, 4,  8.2, ②②, 9,12,Ｄサザンスタｰディ, 78,柴田善, 0.7, 72,   6,* 10, 1,  4.1, ⑮⑮, 9, 2,Ｃキャプテンベガ, 90,柴田善, 1.3, 85,   7,   7, 6, 17.0,⑫⑫⑪
10, 2,Ｌアイカギ, 37,田辺裕, 1.0, 44,  -8, -13,14,220.2, ⑫⑫,10, 2,Ｌドロップ, 51,宮崎北, 2.0, 60,  -7,   6,12,179.6, ⑫⑫, 9,11,Ｉアイスカｰビング, 73,勝浦正, 0.7, 73,   8,   7,10, 36.2, ⑭⑫,10,10,Ｆルｰルプロスパｰ, 85,三浦皇, 1.4, 83,   9,   1, 8, 20.3,⑤⑥⑤
11,11,Ｋタツタヒメ, 41,丸山元, 1.0, 44, -11,  -8,13,149.2, ⑭⑭,11, 8,Ｉキスショット, 62,田辺裕, 2.2, 58,  -3,  -2, 7, 23.3, ⑩⑩,11,15,Ｍウインバンディエラ, 71,武豊  , 0.8, 73,   8,   5, 9, 25.9, ⑫⑭,11, 1,Ｋカネトシソレイユ, 80,蛯名正, 1.6, 82,   6,   7,10, 61.9,⑨⑬⑭
12, 3,Ｆエクスペクト, 46,石橋脩, 1.1, 45,  -4, -20, 9, 47.9, ⑧⑦,12,11,Ｋマドモアゼルノン, 57,柴田大, 2.2, 56,   4, -14,11,179.4, ④⑤,12, 8,Ｌストロングポイント, 72,丸田恭, 1.0, 71,  14,  -5,13, 68.3, ⑦⑦,12,11,Ｍマイネルシュピｰル, 76,吉田隼, 2.0, 72,* 10, -11,13,205.2,③③③
13, 8,Ｍベストクラウン, 30,丸田恭, 1.4, 39,* -2, -28,11, 96.7, ④④,,,,,,,,,,,,,13,16,Ｐアグネスティンクル, 64,三浦皇, 1.0, 70,   3,* 10,15,121.7, ⑯⑰,13,12,Ｎファストロック, 69,北村宏, 2.1, 71,* 11, -15,12,107.8,①①①
14,12,Ｈトップモｰスト, 43,西田雄, 1.9, 34,* -2, -35,10, 72.7, ⑥⑤,,,,,,,,,,,,,14,14,Ｈロｰドエキスパｰト, 75,津村明, 1.0, 70,   5,   9,14, 77.1, ⑰⑯,14,14,Ｌマイネルチャｰルズ, 77,津村明, 2.2, 72,   9, -10, 9, 37.2,⑧⑤⑦
,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ａマイネルエデン, 80,松岡正, 1.2, 71,* 22, -19, 2,  4.5, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｑトラベルシチｰ, 56,武士沢, 1.8, 62,  11, -11,17,389.1, ⑩⑩,,,,,,,,,,,,
