10年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,農林水産省賞典 小倉記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8,13,Ｉクィｰンオブライフ, 53,柴田善, 1.0, 46,* -6, -13, 6, 29.9,②②②, 8,14,Ｆロｰドアビリティ, 56,和田竜, 1.6, 54,  -8,  -2, 9, 19.2, ⑧⑧, 8,11,Ｈアドマイヤアゲイン, 68,安藤勝, 0.6, 75,  -8,  21, 5, 10.1,⑧⑧⑦, 8, 5,Ｈショウナンアトム, 65,国分恭, 0.4, 69, -11,* 15, 9, 22.3, ⑮⑫
 9, 4,Ｊマイネマグノリア, 51,幸英明, 1.1, 49,  -7, -10,11, 44.8,③④⑧, 9,10,Ｃヘッドザポｰル, 61,鷹野宏, 2.0, 48, -19,   1, 6, 14.9, ⑩⑩, 9, 3,Ｆナムラチェンジ, 69,太宰啓, 0.7, 75, -11,* 26,10, 28.3,⑨⑪⑩, 9,15,Ｊマスタｰチアフル, 63,飯田祐, 0.4, 68,  -3,   7,10, 24.7, ⑨⑨
10, 1,Ｏタフ, 35,鮫島良, 1.1, 54, -15,   2,12, 95.4,⑯⑯⑯,10, 6,Ｊテイエムヨカゲナ, 49,田嶋翔, 2.1, 50,  -1, -11, 4, 12.4, ②④,10, 6,Ｄテツキセキ, 72,川田将, 0.7, 72,  -6,  16, 7, 14.6,⑥⑤⑤,10,16,Ｍムｰヴ, 59,川須栄, 0.8, 63,*  3,  -3,14,199.5, ④⑤
11, 2,Ｋダｰズンロｰズ, 48,小牧太, 1.1, 48,  -9,  -9, 4, 12.9,⑥⑦⑪,11, 5,Ｋタイセイグリッタｰ, 49,小牧太, 2.9, 38, -23,  -4,13, 70.7, ⑫⑪,11, 4,Ｉナリタシルクロｰド, 68,高倉稜, 1.3, 65, -11,  16,11, 76.0,⑤⑩⑫,11, 2,Ｎメイショウナナボシ, 55,福永祐, 1.0, 60,  -9,   6,12, 88.1, ⑬⑩
12,11,Ｍカイアナイト, 43,福永祐, 1.2, 51, -10,  -6,13, 99.1,⑧⑬⑬,12,11, トウショウセレクト,---,松山弘, 3.0, 38, -17,  -9, 5, 14.7, ⑪⑫,12, 7,Ｅワシャモノタリン, 71,柴田善, 1.5, 66, -14,  20, 9, 27.5,⑫⑫⑪,12,13,Ｐベストトゥベスト, 36,松山弘, 1.1, 58,  -8,   4,16,292.0, ⑫⑮
13,16,Ｆヒデノオｰカン, 58,飯田祐, 1.3, 46,* -6, -16,15,256.7,⑤③③,13, 4, スリｰキャピタル,---,幸英明, 3.2, 35, -27,  -4,12, 48.5, ⑬⑬,,,,,,,,,,,,,13,12,Ｉオレンジシュプｰル, 65,鮫島良, 1.1, 59,  -6,   2,11, 49.4, ⑪⑪
14, 9,Ｐシゲルサンジ, 33,太宰啓, 1.4, 47, -12,  -8,16,331.8,⑫⑮⑭,14, 9, グランパスシチｰ,---,浜中俊, 4.5, 22, -43,  -6,14, 84.9, ⑭⑭,,,,,,,,,,,,,14, 3,Ｏグッドリｰズン, 52,北村友, 2.0, 48, -21,   5,13,182.5, ⑯⑯
15, 6,Ｇバンブｰチェルシｰ, 56,和田竜, 1.6, 44,  -9, -15,10, 41.7,⑭⑪⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｋシゲルスペランツァ, 63,太宰啓, 2.1, 45,  -5, -12,15,208.1, ⑩⑭
16,12,Ｃトツゼンノハピネス, 63,川田将, 1.9, 40,* -6, -26, 9, 35.1,①①①,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｌラヴアンドサンクス, 62,酒井学, 2.6, 39,*  3, -27, 3,  7.8, ③⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,
単勝:230円 複勝:15=130円 03=140円 05=230円 枠連:430円,,,,,,,,,,,,単勝:760円 複勝:01=220円 08=130円 13=210円 枠連:920円,,,,,,,,,,,,"単勝:1,360円 複勝:01=330円 02=580円 10=150円 枠連:11,410円",,,,,,,,,,,,"単勝:1,310円 複勝:08=370円 04=290円 01=600円 枠連:1,000円",,,,,,,,,,,
