10年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 5,Ｉレディハピネス, 59,松山弘, 0.8, 61,  13, -17,11, 76.2,④⑤③, 7,10,Ｅツルマルホクト, 62,酒井学, 1.0, 55,  -4,  -2, 2,  8.8, ⑨⑨, 7, 4,Ａミラクルセッション, 77,福永祐, 1.4, 65,   2,   2, 3,  4.1,⑤⑥⑦, 7,13,Ｉウィズインライアン, 59,高倉稜, 0.9, 65,*  7,  -5, 9, 51.0, ①①
 8, 6,Ｍホｰリｰロックス, 53,金折知, 1.0, 59,  12, -18, 9, 41.7,⑥⑦⑧, 8, 2,Ｇアンピトリｰテ, 57,金折知, 1.2, 53,  -4,  -3, 7, 33.3, ⑩⑧, 8,10,Ｉコウヨウドリｰム, 61,松田大, 1.6, 66,   3,  -1, 9, 67.2,③④⑤, 8,10,Ｊウインリザルト, 54,川島信, 0.9, 65,  -4,   6,10,120.5, ⑧⑦
 9, 3,Ｃリバｰワンダｰ, 66,藤岡康, 1.9, 54,  12, -28, 6, 26.7,⑦⑨⑫, 9,14,Ｌスズカデジタル, 44,熊沢重, 1.3, 55,   1,  -8, 5, 15.4, ⑦⑥, 9,11,Ｆウインザモチ, 69,高倉稜, 1.6, 64,   1,   2, 6, 35.6,⑥⑨⑪, 9, 9,Ｅシュテルンタｰラｰ, 64,浜中俊, 1.0, 63,  -6,   5, 2,  4.1, ⑨⑧
10, 7,Ｅエタｰナルシチｰ, 65,熊沢重, 2.0, 54,* 15, -38, 4,  6.8,⑨④⑤,10, 7,Ｄカシノハクリュウ, 63,渡辺薫, 1.8, 46,  -5,  -9, 3,  9.8, ⑪⑩,10, 3,Ｊアウラスタｰ, 59,石橋守, 1.8, 65,  -1,   3,10,158.3,⑩⑩⑩,10, 3, キミノホホエミ,---,倉富隆, 1.0, 63,  -5,   4,11,128.0, ⑦⑥
11,11,Ｌモリナリ, 53,高倉稜, 2.8, 49,  12, -40,12,140.7,⑪⑩⑬,11, 6,Ｊキタノレリクス, 47,田中健, 1.8, 51,   2, -13,11,121.2, ⑤⑦,11, 5,Ｋランドタカラ, 58,太宰啓, 2.8, 54,*  4, -14, 8, 64.5,⑧③③,11, 1,Ｇアイアンラチェット, 61,小牧太, 1.2, 60,  -5,   2, 3,  6.1, ⑥⑨
12,10,Ｐプレザントシチｰ, 43,赤木高, 2.9, 48,   3, -10,15,149.7,⑯⑯⑯,12,11,Ｎテｰオｰムｰン, 29,佐久間, 2.4, 38, -12, -10,14,298.3, ⑬⑬,,,,,,,,,,,,,12, 2,Ｋロｰゲ, 53,北村友, 1.3, 61, -19,* 14, 8, 43.1, ⑭⑭
13,12,Ｊトップオペラ, 55,太宰啓, 3.0, 48,  11, -38,14,147.0,⑬⑮⑮,13, 5,Ｍワンダｰトウショウ, 32,安藤光, 3.0, 33,  -2, -22,10, 48.1, ⑧⑪,,,,,,,,,,,,,13, 8,Ｍモエレダイヤモンド, 49,西村栄, 1.6, 55, -11,   3,14,315.1, ⑫⑬
14,15,Ｋペリフェリック, 54,小牧太, 3.2, 48,  12, -49, 5, 15.8,⑧⑥⑪,14, 8,Ｈメイショウコゴロウ, 54,太宰啓, 6.2,-11, -24, -36,12,178.8, ⑭⑭,,,,,,,,,,,,,14,14,Ｌメイショウダイクン, 49,石橋守, 1.6, 55, -14,   5,13,235.3, ⑬⑫
15, 8,Ｎヒシミステリｰ, 51,石橋守, 3.7, 45,  12, -52,16,175.4,③⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 1,Ｏパｰプルハロイン, 51,安藤光, 4.6, 43,* 15, -76,13,143.1,①③⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,
単勝:280円 複勝:09=120円 02=130円 14=140円 枠連:680円,,,,,,,,,,,,"単勝:1,080円 複勝:13=220円 09=390円 03=110円 枠連:1,480円",,,,,,,,,,,,単勝:270円 複勝:06=140円 08=570円 01=130円 枠連:930円,,,,,,,,,,,,単勝:250円 複勝:12=150円 06=210円 07=510円 枠連:690円,,,,,,,,,,,
馬連:590円 ワイド:02-09=250円 09-14=250円 02-14=350円,,,,,,,,,,,,"馬連:6,570円 ワイド:09-13=1,130円 03-13=290円 03-09=410円",,,,,,,,,,,,"馬連:7,010円 ワイド:06-08=1,900円 01-06=210円 01-08=1,080円",,,,,,,,,,,,"馬連:1,040円 ワイド:06-12=410円 07-12=900円 06-07=1,740円",,,,,,,,,,,
"馬単:1,050円 3連複:730円 3連単:3,140円",,,,,,,,,,,,"馬単:15,810円 3連複:1,910円 3連単:29,140円",,,,,,,,,,,,"馬単:9,240円 3連複:5,470円 3連単:37,020円",,,,,,,,,,,,"馬単:1,790円 3連複:4,850円 3連単:17,460円",,,,,,,,,,,
■ 3R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,不知火特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, スプリングカエサル,,白浜雄,,,,, 3,  4.7,⑧①①, 1, 8,Ｂクラヴィコｰド, 70,川田将,, 76,   3,* 12, 1,  1.6,⑤⑤③, 1,10,Ｂノボリデュｰク, 78,石橋守,, 77,* -2,  12, 7, 15.1,①①①, 1, 8,Ｂデンコウオクトパス, 76,高倉稜,, 79,  -9,* 25, 2,  4.5,⑩⑨⑥
 2, 9, グロッケンライン,,横山義,190.6,,,, 2,  3.6,④③②, 2, 2,Ｄマザｰウェル, 63,松山弘, 0.6, 71,*  5,*  4, 2,  4.6,③②①, 2, 2,Ｉスマｰトジェネシス, 68,川田将, 0.0, 79,* -3,  15, 1,  2.7,②②②, 2, 5,Ａマコトヴォイジャｰ, 79,福永祐, 0.2, 75,  -7,  18, 1,  1.9,⑧⑦⑤
