10年12月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,彦島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 2,Ｋラショウモン, 35,丸田恭, 1.5, 44,  -4,  -3, 9, 67.4, ⑥⑦, 7,14,Ｐラヴァリｰトゥルｰ, 62,西田雄, 0.7, 67,   3,   1,17, 89.6, ⑨⑧, 7,13,Ｃエｰシンアルカウス, 75,田辺裕, 0.7, 70,   6,  -2, 8, 21.3,⑥⑧⑦, 7,11,Ａヤマニングルノイユ, 83,西田雄, 0.5, 78,  -5,* 19, 6, 16.7, ⑬⑨
 8, 8,Ｊフェアギャンブラｰ, 41,高倉稜, 2.2, 39,   4, -15, 6, 39.5, ③⑤, 8,16,Ｂオリオンザブラック, 71,嘉藤貴, 0.7, 69,*  9,  -4, 2,  4.0, ⑤④, 8, 7,Ｌクリノメダリスト, 69,田中博, 0.8, 74,   2,*  8, 7, 17.5,⑰⑰⑰, 8, 8,Ｍマルサンテクニカル, 70,中舘英, 0.6, 79,  -5,  18,12,120.4, ⑩⑦
 9,12,Ｉキンシゴｰルド, 43,藤岡康, 2.5, 34, -15,  -6,10,188.9, ⑪⑩, 9, 2,Ｎヨシサプライズ, 63,田中博, 0.8, 68,  -3,   7,11, 34.8, ⑮⑯, 9, 5,Ｉグレｰトビンテｰジ, 70,北村友, 0.9, 70,   5,  -1,17,102.2,⑫⑬⑭, 9, 7,Ｄアルｰリングムｰン, 78,太宰啓, 0.7, 77,  -5,  17, 2,  3.8, ⑫⑩
10,14,Ｌクリノサティｰヌ, 35,西村太, 2.7, 30, -21,  -4,11,210.4, ⑬⑫,10,12,Ｅフラワｰウィンド, 69,荻野琢, 0.9, 66,   1,   1,14, 65.8, ⑪⑪,10, 6,Ｐネレイス, 63,松山弘, 1.0, 71,   0,*  9, 6, 16.4,⑱⑱⑱,10,10,Ｈエトピリカ, 75,宮崎北, 0.8, 75,  -5,  15, 9, 24.1, ⑪⑪
11, 7,Ｈホクザンヴィリル, 44,太宰啓, 3.0, 26, -23,  -5,12,373.5, ⑭⑭,11, 3,Ｃドリｰムピｰチ, 70,西村太, 0.9, 65,  -2,   4, 1,  3.3, ⑫⑬,11,15,Ｂドリｰムリフレクト, 75,丸山元, 1.0, 66,*  7, -10, 3,  5.3,⑦⑤⑤,11,15,Ｅシンコｰプリンス, 75,田中克, 1.0, 73,  -2,  10, 8, 21.6, ⑧⑧
12, 9,Ｆトシロｰズ, 51,北村友, 3.1, 29,  -4, -17, 7, 42.2, ⑦⑨,12, 9,Ｆショウナンスマイル, 69,中舘英, 1.0, 65,*  9,  -8, 5, 11.5, ③⑤,12, 4,Ｏスナｰクスペイン, 66,長谷川, 1.0, 69,   5,  -4,13, 40.4,⑧⑪⑨,12,12,Ｉランブルジャンヌ, 74,嘉藤貴, 1.0, 73,  -8,  15,10, 24.7, ⑮⑮
13,13,Ｍミサキジョウ, 25,丹内祐, 3.9, 20, -13, -19,14,511.4, ⑩⑪,13,11,Ａビスカヤ, 73,高倉稜, 1.1, 63,   5,  -5, 6, 11.6, ⑧⑦,13, 9,Ｇサムワントゥラブ, 72,上村洋, 1.3, 66,   6,  -9,11, 32.5,⑪⑨⑬,13,16,Ｎハｰトランドノリカ, 68,芹沢純, 1.1, 73,  -6,  13,13,121.3, ⑭⑬
14,11,Ｎイチネンツウテン, 21,二本柳, 4.9,  8, -18, -25,13,486.5, ⑫⑬,14, 5,Ｋサクラサクセス, 64,藤岡康, 1.1, 63,  -2,   1, 8, 24.0, ⑬⑭,14,14,Ｍスタｰダムオｰラ, 68,鮫島良, 1.6, 62,*  8, -19, 1,  3.6,④③⑥,14, 6,Ｏキタノレリクス, 48,丹内祐, 1.2, 72, -11,  17,16,187.8, ⑯⑯
,,,,,,,,,,,,15,17,Ｍセトウチダイヤ, 64,水口優, 1.3, 61,  -5,   1,18,210.5, ⑯⑮,15,12,Ｅミヤコトップガン, 73,高倉稜, 1.7, 60,   6, -16, 2,  4.8,⑬⑩⑧,15, 1, スタｰオブジュリア,---,真島正, 1.5, 66,  -1,   2,14,137.4, ⑥⑫
,,,,,,,,,,,,16,18,Ｑパワｰショウ, 60,黛弘人, 1.6, 56, -10,   3,16, 80.9, ⑱⑱,16,16,Ｒブルｰデザフィｰオ, 56,二本柳, 1.7, 62,   4, -12,18,300.8,⑮⑭⑯,16,13,Ｌメイショウタカチホ, 70,西村太, 1.8, 62,  -4,   1,15,144.7, ⑨⑭
,,,,,,,,,,,,17,15,Ｊメイクユｰハッピｰ, 65,鮫島良, 1.8, 54,  -8,  -3,15, 73.3, ⑰⑰,17,17,Ｊデンコウアルセウス, 70,川島信, 1.8, 61,*  7, -19,10, 30.9,⑨⑦⑪,,,,,,,,,,,,
,,,,,,,,,,,,18,10,Ｉモリトアヤメ, 66,二本柳, 2.8, 41,   7, -30,13, 54.8, ④⑨,18,10,Ｑセレビュタント, 59,黛弘人, 2.0, 60,   3, -13,16, 98.1,⑯⑯⑮,,,,,,,,,,,,
