10年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,大阪ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 9,Ｄシュアｰウイン, 53,福永祐, 0.5, 56,  -9,  -4, 3,  4.3, ⑩⑦, 7,14,Ｅカシノハクリュウ, 56,和田竜, 2.1, 53,  -4,  -7, 5,  9.5, ⑧⑦, 7, 9,Ｊセイピｰシｰズ, 67,幸英明, 0.6, 72, -17,  19, 9, 63.6,⑦⑥⑧, 7,12,Ｆメイショウシオギリ, 76,難波剛, 0.4, 75,   5,   9,10, 95.6, ⑧⑦
 8, 1,Ｇキャンベル, 47,高橋亮, 0.6, 55,  -9,  -5, 7, 52.7, ⑦⑧, 8,12,Ｆメイショウダイアン, 55,飯田祐, 2.6, 48,  -6,  -8, 6, 15.1, ⑪⑩, 8, 5,Ａナムラアｰガス, 80,小牧太, 0.7, 71, -17,  19, 4,  6.6,⑫⑧⑨, 8, 3,Ｇヒシロイヤル, 75,松田大, 0.4, 75,   5,   9, 9, 40.5, ⑤⑤
 9,10,Ｅサカジロキング, 51,野元昭, 0.6, 54,  -6,  -9, 6, 17.9, ⑥④, 9,11,Ｌミッキｰハｰベスト, 37,高倉稜, 2.8, 45,  -2, -15, 8, 33.3, ⑤⑥, 9,11,Ｅシンボリニｰス, 71,熊沢重, 0.8, 71, -19,  18,10,107.1,⑧⑨⑪, 9, 1,Ｌネオポラリス, 64,北村友, 0.6, 74,   4,  10, 4,  7.8, ⑨⑨
10, 2,Ｌサクラミナクル,-17,国分恭, 1.0, 52, -14,  -4,10,246.9, ⑫⑫,10, 9,Ｊキタノレリクス, 49,田中健, 2.8, 49,  -5, -11,12,135.4, ⑨⑫,10,12,Ｍロｰレルクラシック, 53,国分恭, 0.9, 65, -16,  10,11,197.8,④④⑥,10, 7,Ｋブライダルベｰル, 71,鮫島良, 1.0, 72,   4,   7, 8, 34.2, ⑪⑩
11, 8,Ｋドンウイング, 33,北村友, 1.4, 46,  -8, -16,11,424.5, ⑧⑩,11, 3,Ｍメイショウニジイロ, 36,難波剛, 3.0, 44,  -6, -12,14,347.9, ⑫⑪,11, 7,Ｋフェルヴィｰド, 64,和田竜, 1.1, 64, -16,   9, 7, 17.4,⑤⑤④,11, 5,Ｊカシノマイケル, 71,上野翔, 1.4, 64,   4,  -2,12,402.4, ⑦⑧
12, 5,Ｍメイショウハウンド,-19,石橋守, 1.7, 43, -15, -11,13,477.8, ⑬⑬,12,13,Ｃカレンマｰガレット, 62,安藤光, 3.1, 44,  -2, -16,10,105.2, ⑥⑧,12, 6,Ｌマｰティントゥルｰ, 58,鷹野宏, 1.2, 68, -20,  17,13,445.6,⑪⑪⑬,12, 9,Ｉラヴファンタジスタ, 72,高倉稜, 1.6, 60,   2,  -3,11,229.2, ⑫⑪
13,13,Ｊドクタｰコジロウ, 37,幸英明, 1.8, 41, -11, -17,12,433.9, ⑪⑪,13, 5,Ｋテｰオｰムｰン, 39,佐久間, 3.7, 37, -10, -15,13,156.4, ⑬⑬,13, 2,Ｉワキノレジェンド, 68,鮫島良, 1.4, 64, -18,  11,12,221.4,⑩⑬⑫,,,,,,,,,,,,
,,,,,,,,,,,,14, 8,Ｎミッキｰレインボｰ, 31,鮫島良, 4.1, 35, -11, -18, 9, 68.8, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,15,Ｐワイルドモｰション, 19,大下智, 4.7, 31, -15, -18,15,372.9, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
