10年 7月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,道新ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,
単勝:150円 複勝:02=110円 10=170円 01=160円 枠連:550円,,,,,,,,,,,,"単勝:2,000円 複勝:05=540円 10=140円 06=300円 枠連:1,970円",,,,,,,,,,,,"単勝:370円 複勝:03=180円 07=1,390円 08=670円 枠連:3,770円",,,,,,,,,,,,単勝:390円 複勝:09=140円 06=210円 02=130円 枠連:900円,,,,,,,,,,,
馬連:610円 ワイド:02-10=220円 01-02=200円 01-10=610円,,,,,,,,,,,,"馬連:3,570円 ワイド:05-10=1,120円 05-06=2,940円 06-10=600円",,,,,,,,,,,,"馬連:11,640円 ワイド:03-07=3,120円 03-08=1,650円 07-08=4,920円",,,,,,,,,,,,"馬連:1,600円 ワイド:06-09=540円 02-09=240円 02-06=480円",,,,,,,,,,,
"馬単:740円 3連複:940円 3連単:3,320円",,,,,,,,,,,,"馬単:5,920円 3連複:8,980円 3連単:91,870円",,,,,,,,,,,,"馬単:16,130円 3連複:46,080円 3連単:218,700円",,,,,,,,,,,,"馬単:3,010円 3連複:1,610円 3連単:10,550円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,農林水産省賞典 函館記念 ＧⅢ,,,,,,,,,,,,渡島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃツｰピｰスルｰラｰ, 58,丸山元,, 70,*  3,   4, 5,  7.5, ①①, 1, 8,Ｅヤマサラグランジュ, 70,古川吉,, 65,   3,   2, 2,  4.4, ②②, 1, 6,Ｂマイネルスタｰリｰ, 90,ホワイ,, 90,  14,* 12, 2,  5.7,⑦⑥③, 1, 1,Ａパワｰストラグル, 87,勝浦正,, 84,   4,* 21, 1,  3.0,④③③
