10年 6月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 3,Ｍジョイスティック, 28,川島信, 1.5, 49,  -9,  -3,13,186.2, ⑪⑧, 8,15,Ｃテラノステルス, 66,松田大, 1.7, 65,   2,* -1, 5, 19.2,⑮⑮⑮, 8,15,Ａロスパンチョス, 79,池添謙, 0.9, 68,* 12,  -5, 1,  1.8,⑤④④, 8, 1,Ｂアカシックレコｰド, 79,福永祐, 4.0, 58,  14, -61, 2,  4.0,④③④
 9, 2,Ｋハｰトフェルト, 43,松山弘, 1.8, 48, -10,  -3,12,179.6, ⑫⑫, 9, 6,Ｍエアロストｰン, 48,和田竜, 1.8, 59,*  8, -15,13,114.9,②②①, 9,10,Ｎホッコｰセルベッサ, 60,川島信, 1.0, 71,   7,*  4,14,214.8,⑭⑭⑭, 9, 5,Ｉアイヌモシリ, 66,安部幸, 4.1, 57,  10, -49,10,109.8,⑨⑩⑩
10,16, マルブツギムレット,---,ウィリ, 2.6, 40,  -5, -17,10, 66.6, ⑤④,10, 9, レジェンドヒｰロｰ,---,藤岡康, 2.0, 58,*  7, -14,15,169.0,⑭⑧⑤,10, 1,Ｃウインザマキ, 74,高倉稜, 1.3, 67,   9,  -3, 5, 15.3,⑧⑩⑫,10,11,Ｊハナノカカリチョウ, 62,松山弘, 4.4, 56,  10, -53,11,118.5,⑩⑪⑪
11, 8,Ｉラヴアズギフト, 50,佐藤哲, 2.6, 42,  -9, -11,11,103.6, ⑩⑩,11, 2,Ｈアンクルガンバレ, 59,幸英明, 2.2, 56,   4, -10, 6, 25.0,⑨⑩⑫,11,13,Ｅマカリオス, 72,北村友, 1.3, 68,  10,  -5, 3,  7.0,⑦⑦⑧,11, 2,Ｄサイオン, 77,ウィリ, 5.3, 26,  12, -76, 4,  6.1,⑥⑤⑦
12, 1,Ｇマｰブルドｰン, 54,藤岡康, 3.3, 36, -20,  -5, 5,  9.2, ⑭⑭,12, 1,Ｆグランプリバレット, 63,ウィリ, 2.6, 52,*  7, -22, 3,  5.7,①①④,12,11,Ｉミルフィアタッチ, 67,岩田康, 1.4, 69,  11,  -7, 6, 16.5,⑥⑥⑤,,,,,,,,,,,,
13,11,Ｊパワｰクラウン, 47,野元昭, 3.4, 34,  -9, -19,14,187.8, ⑨⑪,13,16,Ｇエｰシンアリデッド, 59,高田潤, 2.6, 53,   5, -17,14,132.0,⑧⑦⑧,13, 5,Ｈピノブラン, 67,和田竜, 2.0, 63,  11, -14, 8, 19.0,③⑤③,,,,,,,,,,,,
14, 7,Ｄナムラエアポｰト, 59,和田竜, 7.4,  2,  -9, -54, 1,  2.4, ⑧⑨,14, 3,Ｉマルタカユビキタス, 54,国分恭, 3.0, 51,   1, -13,11, 80.9,⑫⑭⑭,14,16,Ｐペプチドトップガン, 55,小牧太, 3.3, 53,  11, -24, 9, 49.3,④③⑬,,,,,,,,,,,,
,,,,,,,,,,,,15, 5,Ｎビバタイヨｰコウ, 47,岩崎祐, 3.1, 50,   4, -19,16,205.5,⑦⑨⑩,15, 9,Ｋタマモビｰト, 67,安藤光, 3.6, 51,   2,  -9,15,270.9,⑮⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,16,11,Ｌリュウフォｰスワン, 51,太宰啓, 3.4, 49,   0, -12,12,113.3,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-18 馬場:不良(指数:5),,,,,,,,,,,
"単勝:4,080円 複勝:04=1,020円 10=210円 14=990円 枠連:4,220円",,,,,,,,,,,,単勝:200円 複勝:14=110円 10=210円 12=500円 枠連:600円,,,,,,,,,,,,"単勝:1,760円 複勝:14=430円 07=210円 04=2,920円 枠連:1,040円",,,,,,,,,,,,"単勝:890円 複勝:09=230円 03=160円 04=190円 枠連:1,290円",,,,,,,,,,,
"馬連:8,370円 ワイド:04-10=2,750円 04-14=8,260円 10-14=2,270円",,,,,,,,,,,,"馬連:850円 ワイド:10-14=350円 12-14=1,330円 10-12=2,380円",,,,,,,,,,,,"馬連:3,390円 ワイド:07-14=1,330円 04-14=15,870円 04-07=5,130円",,,,,,,,,,,,"馬連:1,610円 ワイド:03-09=540円 04-09=790円 03-04=440円",,,,,,,,,,,
"馬単:19,970円 3連複:51,960円 3連単:414,200円",,,,,,,,,,,,"馬単:1,100円 3連複:6,890円 3連単:23,920円",,,,,,,,,,,,"馬単:7,770円 3連複:133,090円 3連単:666,690円",,,,,,,,,,,,"馬単:3,530円 3連複:2,750円 3連単:21,100円",,,,,,,,,,,
