10年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-29,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11, 4,Ｌマリアダンス, 52,安藤光, 1.0, 58, -12,   5,15,115.5,⑨⑪⑫,11, 5,Ｉワンダｰマイルズ, 56,鮫島良, 1.7, 54,  -1, -10,10, 52.0,⑮⑯⑬,11, 5,Ｇモンルｰジュ, 65,国分恭, 1.9, 54,  -7,  -3,12,131.8, ⑬⑩,11, 6,Ｌシュペルブロマネ, 46,岩田康, 2.1, 50,  -6,  -9, 9, 46.1,⑤⑦⑨
12, 5,Ｎハヴアドリｰム, 45,畑端省, 1.1, 58, -13,   6,14,106.6,⑭⑭⑭,12, 7,Ｆナムラウォｰリアｰ, 63,小林慎, 1.7, 53,   3, -15, 5,  8.0,⑦⑩⑧,12, 6,Ｎデンコウワン, 52,川島信, 2.2, 49, -15,   0,14,185.9, ⑭⑭,12, 9,Ｈタクティクス, 61,福永祐, 2.1, 52,  -8,  -4, 8, 29.8,⑩⑫⑫
13, 9, アグネスラグタイム,---,北村友, 2.0, 46, -13,  -6,11, 45.1,⑯⑯⑮,13,11,Ｍシゲルゴウヒメ, 55,高倉稜, 1.9, 50,*  6, -24, 8, 24.0,②③④,13, 9,Ｈアキノジャブ, 65,藤岡康, 2.2, 53,  -3,  -7, 9, 25.1, ⑫⑬,,,,,,,,,,,,
13,16,Ｑジョｰエスケイプ, 36,野元昭, 2.0, 42, -11, -15,16,244.8,⑦⑥⑩,14, 2,Ｋメイケイオｰシャン, 55,田中健, 2.0, 54,   3, -18,15,173.6,⑪⑧⑪,14,14,Ｊカネトシビッグバン, 62,川須栄, 4.2, 32,   5, -31,13,141.6, ⑤⑧,,,,,,,,,,,,
15, 3,Ｍメイショウビｰナス, 49,国分恭, 2.7, 36, -10, -23,13, 64.6,⑥⑩⑬,15,14,Ｎチョウラッキｰ, 45,太宰啓, 2.3, 49,   1, -16,16,231.1,⑬⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
16, 2,Ｐヨシワスレガタミ, 36,大下智, 3.2, 31, -13, -23,17,252.5,⑰⑮⑯,16, 9, サンライズタｰボ,---,藤岡康, 4.7, 34,   2, -41,12,100.8,⑧⑫⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,
単勝:530円 複勝:18=190円 15=150円 12=200円 枠連:560円,,,,,,,,,,,,"単勝:610円 複勝:01=220円 13=550円 04=210円 枠連:7,640円",,,,,,,,,,,,単勝:270円 複勝:12=130円 08=340円 10=150円 枠連:770円,,,,,,,,,,,,単勝:230円 複勝:12=120円 03=160円 01=240円 枠連:480円,,,,,,,,,,,
