10年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 2, メイショウアカドウ,---,高橋亮, 2.9, 33, -32,  -3,11,116.0, ⑬⑬,12, 5, タガノロックオン,---,福永祐, 2.5, 29,*-15, -24, 3,  7.0, ③③,12, 6,Ｍエｰシンテュポｰン, 64,熊沢重, 3.4, 57,   3,  -8, 5, 11.9,⑫⑫⑫,,,,,,,,,,,,
12,14,Ｋファルセットコｰド, 42,北村友, 2.9, 37, -14, -13,13,216.5, ⑧⑩,13,10, テイエムバレンシア,---,佐久間, 2.9, 23, -31, -13,12,106.3, ⑫⑫,13,11,Ｊトｰホウライダｰ, 69,中村将, 4.7, 44,   6, -24,12, 33.1,②⑤⑪,,,,,,,,,,,,
14, 8, シゲルヨシキヨ,---,大下智, 6.6,-10, -63, -16,14,286.8, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,
単勝:270円 複勝:12=130円 07=190円 04=160円 枠連:650円,,,,,,,,,,,,単勝:360円 複勝:13=150円 12=150円 09=860円 枠連:520円,,,,,,,,,,,,"単勝:400円 複勝:04=170円 09=460円 12=170円 枠連:1,220円",,,,,,,,,,,,"単勝:2,430円 複勝:03=580円 02=430円 05=270円 枠連:12,560円",,,,,,,,,,,
"馬連:1,220円 ワイド:07-12=460円 04-12=420円 04-07=570円",,,,,,,,,,,,"馬連:560円 ワイド:12-13=280円 09-13=2,150円 09-12=1,940円",,,,,,,,,,,,"馬連:4,050円 ワイド:04-09=1,380円 04-12=370円 09-12=1,510円",,,,,,,,,,,,"馬連:13,580円 ワイド:02-03=3,080円 03-05=1,970円 02-05=1,260円",,,,,,,,,,,
"馬単:2,010円 3連複:2,110円 3連単:8,840円",,,,,,,,,,,,"馬単:1,140円 3連複:6,700円 3連単:25,740円",,,,,,,,,,,,"馬単:7,000円 3連複:5,670円 3連単:35,140円",,,,,,,,,,,,"馬単:29,930円 3連複:25,100円 3連単:236,070円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,西日本ｽﾎﾟｰﾂ杯,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11, グロッケンライン,,高田潤,,,,, 3,  5.1,②②①, 1, 9,Ｃユニオンスクエア, 63,福永祐,, 69,*  5,*  1, 1,  1.7,⑥⑤③, 1,11,Ｆユメイッポ, 73,高倉稜,, 77,* -6,  17, 8, 18.7, ②②, 1, 6,Ｊウインヴェロシティ, 55,和田竜,, 75, -11,* 17, 2,  4.6,③⑦⑦
 2, 2, スズカワイルド,,林満明,193.3,,,, 4,  5.6,③③③, 2, 4,Ｄゲットアヘッド, 61,中村将, 0.3, 66,   3,*  1, 4, 10.9,⑧⑨⑥, 2, 1,Ａケンブリッジエル, 77,浜中俊, 0.1, 76, -10,  19, 5, 11.3, ③⑤, 2, 5,Ｅワキノブライアン, 64,小牧太, 0.2, 66,* -6,   4,10, 47.6,⑩①①
 3,12, トｰセンウｰノ,,難波剛,193.3,,,, 5,  7.9,①①②, 3, 6,Ｂシャイニｰブラック, 63,藤岡康, 0.4, 64,*  5,  -5, 3,  7.7,④④②, 3, 7,Ｇショウナンカッサイ, 71,幸英明, 0.1, 76,* -6,  16, 3,  6.8, ①①, 3, 8,Ａエイシンダッシュ, 73,幸英明, 0.4, 68,  -9,   9, 4,  9.9,⑨⑥⑤
 4,10, セフティファンキｰ,,南井大,193.4,,,, 9, 37.9,⑧⑥⑤, 4, 2,Ｉメイショウブソン, 56,高橋亮, 0.5, 66,   1,*  4, 8, 47.0,⑭⑫⑫, 4, 5,Ｄヒカルジョディｰ, 74,和田竜, 0.2, 77, -16,* 24, 1,  2.4, ⑩⑩, 4, 7,Ｂタガノパルムドｰル, 71,藤岡康, 0.7, 61,* -8,   1, 1,  2.6,⑤②②
 5, 7, ホッコｰブロッサム,,今村康,193.7,,,,11, 95.7,④④④, 5,12,Ｇピサノファンゴッホ, 57,岩田康, 0.7, 63,   0,  -1, 9, 50.2,⑪⑪⑩, 5, 9,Ｅビｰチアイドル, 73,鮫島良, 0.2, 75, -10,  18, 4,  7.6, ⑤④, 5, 1,Ｇピサノプリヴェ, 58,岩田康, 0.8, 62,  -9,   3, 8, 15.8,①④③
 6, 6, ツルマルビビッド,,白浜雄,194.0,,,, 8, 30.8,⑨⑤⑥, 6, 7,Ｍダノントレビアン, 40,熊沢重, 0.8, 61,   3,  -8, 6, 27.3,⑦⑦⑧, 6, 2,Ｋビンチェロ, 68,小牧太, 0.2, 75, -12,  20, 6, 13.2, ⑥⑦, 6,10,Ｈイノセントスカイ, 58,浜中俊, 1.2, 57,  -9,  -2, 9, 21.9,④⑤⑥
