10年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 3,Ｆディｰエスラムｰル, 59,柴山雄, 1.3, 59,  -4,   5, 9, 50.2,⑫⑪⑪, 7,16,Ｇトレジャｰバトル, 76,吉田豊, 0.8, 69,*  9,   4, 6, 20.4,④③⑤, 7, 9,Ｄレオプログレス, 87,江田照, 0.8, 88,   1,  19, 6, 25.5,⑦⑧⑧, 7, 1,Ｌピエナブラヴ, 72,岩部純, 0.5, 73, -13,  14,10, 55.1, ⑦⑦
 8, 5,Ｈトｰアクリスタル, 58,江田照, 2.3, 52,* -3,  -6, 7, 29.6,④④⑤, 8, 6,Ｋジｰルドリル, 70,武豊  , 1.1, 70,   5,   8, 5, 13.8,⑭⑬⑬, 8, 3,Ｍベルグミサイル, 67,武士沢, 0.9, 87,  -1,  21,10, 50.7,⑩⑩⑦, 8, 8,Ｃストロングポイント, 77,ウィリ, 0.5, 71, -11,  13, 5, 19.9, ⑤⑤
 9,16,Ｃハヤブサアビオン, 61,吉田隼, 2.4, 55,  -5,  -2,11,130.9,⑪⑫⑬, 9,10,Ｊトｰセンヤッテキタ, 70,大野拓, 1.5, 64,   8,   0,11, 80.5,③④③, 9, 6,Ｃフランドルシチｰ, 87,蛯名正, 1.3, 83,  -1,  16, 9, 35.8,⑫⑫⑪, 9, 6,Ｋアイスカｰビング, 73,大野拓, 0.6, 73, -18,  18, 6, 27.8, ⑫⑫
10,13,Ｍグレイドケイ, 47,福永祐, 2.5, 52,* -3,  -8,10, 55.5,⑤⑦⑧,10, 4,Ｎマイネルウィット, 65,ベリｰ, 1.7, 66,   4,   5,14,202.1,⑪⑭⑮,10, 4,Ｊシルクタイタン, 77,福永祐, 1.3, 83,  -1,  16, 8, 35.8,⑪⑪⑫,10, 5,Ｏカツヨトワイニング, 69,勝浦正, 0.7, 71, -18,  17,13,128.0, ⑪⑪
11, 6,Ｅトキノサコン, 59,平野優, 2.6, 51,  -4,  -5, 8, 47.9,⑩⑩⑩,11, 3,Ｏダイワフェズブルｰ, 64,武士沢, 1.7, 62,   6,   0,15,259.9,⑧⑩⑪,11, 7,Ｇエイシンフレンチ, 80,吉田豊, 1.3, 85,  -2,  20,13,165.7,⑬⑬⑬,11, 7,Ｊオメガユリシス, 74,北村宏, 0.8, 68, -14,  11, 4, 14.5, ⑧⑨
12, 4,Ａニシノジャブラニ, 63,ルメｰ, 3.4, 45,  -5, -11, 3,  4.5,⑧⑨⑨,12,15,Ｉナカヤマスウェプト, 71,平野優, 1.8, 64,   5,   1,13,187.1,⑬⑪⑫,12, 1,Ｌレプラコｰン, 76,後藤浩, 2.0, 70,   0,  -1,12,156.9,⑤⑤⑨,12,14,Ｎダイワシｰクレット, 69,武士沢, 0.8, 69, -15,  13, 9, 52.3, ⑩⑩
13, 7,Ｌキングロンシャｰプ, 50,吉田豊, 3.4, 43,  -3, -14, 6, 27.8,⑥⑤⑥,13, 9,Ｈマイネルビスタ, 73,木幡初, 2.4, 62,   3,   2,12,134.4,⑮⑮⑭,13,12,Ｈリヴィエラブルｰ, 79,田中勝, 2.2, 68,   0,  -4,11, 78.4,⑧⑥⑩,13,10,Ｄミサトバレｰ, 77,大庭和, 0.8, 71, -21,  18, 8, 50.1, ⑭⑯
14,15,Ｋサｰストンヴィンス, 51,小野寺, 3.6, 45,  -8,  -8,14,213.4,⑭⑭⑭,14, 7,Ｌナイスラッキｰ, 65,江田照, 2.5, 60,   2,   1,16,361.5,⑯⑯⑯,,,,,,,,,,,,,14, 9,Ｆエスユｰグランド, 76,小林淳, 0.9, 66, -11,   7,12,113.2, ⑥⑥
15, 9,Ｏフジマサエンパイア, 36,石橋脩, 4.0, 45,  -9,  -7,16,568.0,⑮⑮⑮,15, 2,Ｐエアパルｰザ, 62,小野寺, 2.7, 59,   5,  -5,10, 76.7,⑨⑫⑩,,,,,,,,,,,,,15,11,Ｐコンプリｰトラン, 68,吉田隼, 1.0, 68, -22,  17,15,214.6, ⑮⑮
16, 2,Ｐマイネルブエロ,-16,津村明, 4.8, 38, -13,  -7,15,356.2,⑯⑯⑯,16, 5,Ｍボンジュｰルキセキ, 65,内田博, 3.6, 51,*  9, -20, 7, 27.2,①①①,,,,,,,,,,,,,16,16,Ｇトミノドリｰム, 75,郷原洋, 1.1, 65, -18,  11,16,217.9, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,
単勝:220円 複勝:11=120円 01=150円 08=180円 枠連:460円,,,,,,,,,,,,"単勝:3,220円 複勝:12=490円 13=130円 01=140円 枠連:480円",,,,,,,,,,,,単勝:340円 複勝:10=160円 11=170円 08=450円 枠連:810円,,,,,,,,,,,,"単勝:210円 複勝:02=120円 12=150円 15=1,110円 枠連:370円",,,,,,,,,,,
馬連:450円 ワイド:01-11=200円 08-11=330円 01-08=610円,,,,,,,,,,,,"馬連:3,860円 ワイド:12-13=1,370円 01-12=1,500円 01-13=220円",,,,,,,,,,,,"馬連:820円 ワイド:10-11=350円 08-10=1,550円 08-11=1,520円",,,,,,,,,,,,"馬連:380円 ワイド:02-12=220円 02-15=2,750円 12-15=5,010円",,,,,,,,,,,
"馬単:750円 3連複:1,170円 3連単:3,610円",,,,,,,,,,,,"馬単:12,230円 3連複:3,360円 3連単:41,740円",,,,,,,,,,,,"馬単:1,480円 3連複:7,460円 3連単:26,820円",,,,,,,,,,,,"馬単:730円 3連複:10,830円 3連単:35,660円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 6R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 9R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2010ﾌｪｱｳｪﾙｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｆインナｰジョイ, 57,スミヨ,, 62,  -9,* 16, 1,  2.5,⑬⑫⑪, 1, 2,Ａグロｰリｰルピナス, 84,田中勝,, 76,  -1,* 12, 1,  2.4, ⑥⑥, 1,15,Ａピサノエミレｰツ, 90,三浦皇,, 84,  11,* 17, 4,  7.2,⑧⑨⑨,,,,,,,,,,,,
 2, 1,Ａマイネルグラｰド, 63,ウィリ, 0.1, 55,* -4,   2, 4, 11.3,①①①, 2, 1,Ｆウォンビｰロング, 75,横山典, 0.0, 75,   0,* 11, 5,  7.3, ⑤④, 2,16,Ｇミダｰスタッチ, 85,福永祐, 0.3, 82,* 13,  10, 9, 62.2,③②②,,,,,,,,,,,,
 3,10,Ｊカルマｰト, 56,福永祐, 0.3, 60, -12,* 16, 8, 26.3,⑭⑮⑭, 3, 8,Ｂエアティアｰモ, 82,池添謙, 0.2, 74,*  5,   5, 3,  5.8, ①①, 3,14,Ｂストロングバサラ, 87,蛯名正, 0.7, 79,* 13,   8, 1,  3.0,⑥⑤③,,,,,,,,,,,,
 4, 4,Ｋグレｰトマｰシャル, 48,三浦皇, 0.3, 58,  -7,   7, 5, 11.7,⑧⑦⑧, 4, 4,Ｊジｰトップキセキ, 74,三浦皇, 0.3, 72,  -5,* 12, 9, 50.4, ⑨⑦, 4,13,Ｏケイジｰジュニアｰ, 79,伊藤直, 0.8, 79,  12,   9,14,190.7,⑪⑧⑥,,,,,,,,,,,,
 5,13,Ｉレオマジェスティ, 56,内田博, 0.5, 56,  -7,   5, 2,  4.1,⑩⑧⑦, 5, 7,Ｋタマモワルツ, 73,勝浦正, 0.7, 69,  -7,* 11, 7, 27.3, ⑫⑨, 5,10,Ｆベルモントガリバｰ, 85,内田博, 0.8, 80,  10,  12, 5,  8.5,⑩⑪⑪,,,,,,,,,,,,
 6, 2,Ｎリベラルアｰツ, 45,岩田康, 0.6, 54,  -6,   0,14, 68.6,④④⑤, 6,13,Ｃウララカ, 80,デムｰ, 0.9, 67,  -4,   8, 4,  6.5, ⑩⑩, 6, 2,Ｉギシアラバストロ, 83,北村宏, 0.9, 78,  10,  11,11,108.3,⑨⑩⑩,,,,,,,,,,,,
 7, 3,Ｈポタｰジュクレｰル, 56,北村宏, 0.8, 50,* -5,  -5,10, 33.1,②②②, 7,11,Ｄトシキャンディ, 79,柴田善, 1.0, 66,  -3,   5, 2,  4.8, ⑧⑧, 7, 5,Ｎバロンビスティｰ, 80,勝浦正, 1.0, 77,  11,   8, 7, 36.6,⑦⑦⑦,,,,,,,,,,,,
 8, 6,Ｂタマモトリトン, 60,ベリｰ, 1.0, 51,  -9,   2, 6, 14.9,⑫⑪⑨, 8, 9,Ｇリリｰレインボｰ, 74,津村明, 1.2, 64,  -7,   6,12,173.6, ⑬⑫, 8, 1,Ｐエフティイカロス, 76,田中勝, 1.0, 80,   7,* 16,12,115.3,⑮⑮⑮,,,,,,,,,,,,
