10年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,紅葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11,13,Ｌカネコメスキｰ, 41,三浦皇, 1.4, 50, -15,  -1,10, 45.9, ⑮⑭,11,10,Ｄハエヌキ, 73,北村宏, 1.6, 64,  -2,   5, 6, 19.7, ⑧⑥,,,,,,,,,,,,,11,15,Ｋスｰパｰホｰネット, 89,藤岡佑, 1.3, 91,  17,   5, 8, 27.6,⑯⑯⑯
12, 9,Ｏトｰセンティアラ, 36,吉田隼, 1.5, 45, -12,  -8, 6, 22.1, ⑥⑧,12, 4,Ｆエフティフロｰラ, 72,蛯名正, 1.7, 64,  -3,   5, 5, 18.8, ⑥⑦,,,,,,,,,,,,,12, 8,Ｏシルポｰト, 86,酒井学, 1.7, 84,* 25, -20,14, 80.7,①①①
13, 1,Ｈメイケイダンサｰ, 49,柴田善, 1.7, 44, -15,  -7, 7, 30.7, ⑬⑫,13, 1,Ｈホｰプダイナスティ, 67,松岡正, 2.0, 64,  -9,  12, 9, 39.4, ⑭⑭,,,,,,,,,,,,,13,16,Ｐキャプテントゥｰレ, 85,小牧太, 1.9, 83,* 22, -16, 9, 28.4,③③③
14, 7,Ｍコスモポｰパス, 41,柴田大, 1.7, 45, -13,  -8,17,283.8, ⑨⑩,14, 8,Ｎシｰガルプリンセス, 59,伊藤工, 2.1, 60,*  1,  -4,14,149.9, ①①,,,,,,,,,,,,,14,18,Ｅアリゼオ, 92,福永祐, 2.0, 83,  20, -14, 6, 24.9,⑧⑦⑦
15,14,Ｑナムラハニｰ, 10,津村明, 1.8, 45, -17,  -4,16,184.9, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,18, 3,Ｈジャガｰメイル, 91,ホワイ, 2.1, 82,  19, -11, 5, 14.6,⑭⑬⑫
16, 6,Ｋヴィｰヴァタキオン, 44,藤岡佑, 2.1, 42, -17,  -7, 8, 33.7, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,,15,17,Ｎコスモファントム, 86,松岡正, 2.2, 80,* 22, -20,18,124.1,⑥⑤⑤
17,16,Ｎシルククリエイタｰ, 37,伊藤工, 2.3, 35, -13, -18,15,107.2, ⑫⑨,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｍショウワモダン, 87,柴田善, 2.4, 79,  18, -13,12, 48.9,⑬⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 4,Ｃエイシンアポロン, 94,蛯名正, 2.4, 79,  19, -15, 7, 26.6,⑨⑩⑪
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:2),,,,,,,,,,,
"単勝:530円 複勝:04=180円 03=150円 08=2,600円 枠連:760円",,,,,,,,,,,,単勝:880円 複勝:13=200円 12=110円 07=360円 枠連:460円,,,,,,,,,,,,単勝:450円 複勝:05=150円 08=140円 07=150円 枠連:430円,,,,,,,,,,,,"単勝:220円 複勝:02=110円 07=240円 12=150円 枠連:1,010円",,,,,,,,,,,
