10年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:17,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｴﾆﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
14,15,Ｌメルセダリオ, 50,太宰啓, 3.1, 49,   2, -19,12,123.0,⑬⑫⑭,,,,,,,,,,,,,14, 3, ホウライブライアン,,南井大,211.5,,,,10, 39.9,⑭⑬⑭,,,,,,,,,,,,
15, 6,Ｎアｰユルヴェｰダ, 43,和田竜, 4.2, 44,   4, -32,13,257.8,⑦⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 9,Ｊクラサヴィカ, 52,藤岡康, 7.8, 26,  -5, -46,10, 39.3,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:540円 複勝:14=200円 12=230円 04=670円 枠連:1,110円",,,,,,,,,,,,"単勝:860円 複勝:03=250円 11=390円 07=300円 枠連:4,230円",,,,,,,,,,,,"単勝:190円 複勝:07=120円 08=510円 05=690円 枠連:3,160円",,,,,,,,,,,,単勝:760円 複勝:08=180円 06=120円 09=120円 枠連:250円,,,,,,,,,,,
"馬連:1,180円 ワイド:12-14=480円 04-14=1,510円 04-12=1,710円",,,,,,,,,,,,"馬連:5,810円 ワイド:03-11=1,610円 03-07=970円 07-11=1,690円",,,,,,,,,,,,"馬連:3,200円 ワイド:07-08=1,020円 05-07=1,310円 05-08=3,520円",,,,,,,,,,,,"馬連:1,080円 ワイド:06-08=360円 08-09=360円 06-09=170円",,,,,,,,,,,
"馬単:2,590円 3連複:7,750円 3連単:32,630円",,,,,,,,,,,,"馬単:11,640円 3連複:10,500円 3連単:70,950円",,,,,,,,,,,,"馬単:3,820円 3連複:15,640円 3連単:60,520円",,,,,,,,,,,,"馬単:2,700円 3連複:630円 3連単:6,140円",,,,,,,,,,,
■ 3R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
