10年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11,15,Ｋセブンウッド, 50,赤木高, 3.5, 47,  -3,  -9,16,322.2,⑯⑯⑯,11, 1,Ｋドラゴンイチロｰ, 50,飯田祐, 1.1, 53,  -4,*  3,12, 86.4, ⑭⑭,11, 3,Ｊコンプトゥス, 63,和田竜, 3.7, 40,   8, -54,10, 81.6, ④③,11,10,Ｄロックンロｰル, 70,野元昭, 1.9, 55,* 14, -47, 9, 23.9,④③④
12,12,Ｐシルクオンステｰジ, 40,川須栄, 3.6, 45,   1, -18, 9,112.1,⑥⑧⑩,12,14,Ｊテイエムタフネス, 51,田中健, 1.4, 54,   0,  -5,10, 55.4, ⑨⑨,12, 6,Ｌスｰパｰミノル, 44,高倉稜, 4.4, 34,   3, -53,11,238.2, ⑩⑪,12, 1,Ａテイエムシバスキｰ, 75,小坂忠, 2.0, 56,* 16, -54, 6,  8.4,①①①
13, 7,Ｇキンショｰルビｰ, 56,村田一, 3.8, 44,   0, -17,12,203.7,⑧⑪⑬,13,15,Ｌタイトｰフォルテ, 42,渡辺薫, 1.5, 51,  -1,  -4,16,268.3, ⑩⑫,,,,,,,,,,,,,13,13,Ｍウインヴェロシティ, 55,和田竜, 2.0, 56,  13, -47, 3,  5.0,⑤⑤⑤
14, 8,Ｌリュウフォｰスワン, 49,熊沢重, 4.2, 45,   3, -26,13,269.0,⑦⑤⑨,14, 2,Ｇピサノファンゴッホ, 52,岩田康, 1.5, 51,  -2,  -3, 7, 12.2, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
15, 6,Ｈヒルノカディス, 54,安藤光, 4.4, 39,  -2, -18,11,182.0,⑮⑮⑮,15, 5,Ｎロンシャンホｰプ, 32,太宰啓, 2.0, 45,  -6,  -3,13,107.5, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
16, 9,Ｎメイショウヤクドウ, 46,田中克, 4.6, 40,  -2, -22,14,274.5,⑬⑭⑭,16,10,Ｍドラマチックシチｰ, 35,中村将, 3.0, 38,  -9,  -8,15,175.4, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:良(指数:-1),,,,,,,,,,,
単勝:210円 複勝:14=110円 11=130円 03=230円 枠連:420円,,,,,,,,,,,,"単勝:320円 複勝:09=150円 13=300円 03=350円 枠連:1,890円",,,,,,,,,,,,単勝:520円 複勝:01=180円 09=150円 11=290円 枠連:410円,,,,,,,,,,,,"単勝:730円 複勝:12=260円 08=3,570円 06=310円 枠連:3,140円",,,,,,,,,,,
