10年 9月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,朝日ﾁｬﾚﾝｼﾞｶｯﾌﾟ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8,11,Ｌナリタキョウジン, 33,熊沢重, 1.3, 52,* -3,  -9,10,124.1, ⑥④, 8, 1,Ｈラｰトリｰ, 58,藤岡佑, 1.1, 55,  -6,   1,12, 51.1,⑦⑨⑨, 8, 7,Ｈレッドブリッツァｰ, 64,浜中俊, 1.7, 65,  11, -14, 8, 92.2,⑤⑤⑥, 8, 4,Ｆウォｰタｰダッシュ, 75,川田将, 2.3, 70,*  8,  -5, 7, 48.8,①①①
 9, 4,Ｊファルセットコｰド, 42,国分恭, 1.6, 48,  -6,  -9,12,222.7, ⑤⑥, 9, 4,Ｉサンマルフラワｰ, 58,浜中俊, 1.2, 53,  -5,  -2,15,146.4,③④④, 9, 9,Ｊテイケイワイズ, 58,熊沢重, 2.8, 61,   2,  -7, 9,162.6,⑪⑩⑩,,,,,,,,,,,,
10,12,Ｅパｰプルダイヤ, 51,幸英明, 2.0, 43,  -7, -13, 5, 15.7, ⑦⑦,10,10,Ｆミヤビリｰティｰ, 62,安藤光, 1.2, 50,  -6,  -3, 7, 19.5,⑥⑤⑦,10, 3,Ｋシュウホｰサンデｰ, 54,金折知, 3.3, 55,   8, -21,11,352.8,⑧⑧⑨,,,,,,,,,,,,
11,10,Ｆビコｰマティｰニ, 48,佐久間, 2.1, 44, -10,  -8,11,143.2, ⑩⑩,11, 7,Ｇメイショウフント, 62,国分恭, 1.2, 56,  -7,   2,11, 34.3,⑮⑬⑬,11, 1,Ｆレッドライオン, 65,高倉稜, 3.4, 55,  -1,  -6, 6, 35.5,⑩⑪⑪,,,,,,,,,,,,
12, 1,Ｂシゲルキチョウ, 52,松田大, 2.5, 39, -12, -13, 9,109.0, ⑨⑪,12, 8,Ｍアドマイヤアｰチ, 51,藤岡康, 1.3, 56,  -8,   3, 6, 17.1,⑭⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Ｍスズカアイリス, 24,松山弘, 2.6, 37, -19,  -7,13,269.3, ⑬⑬,13,14,Ｄゼットフジ, 63,熊沢重, 1.5, 55,  -6,  -2, 5, 15.1,⑬⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 2,Ｎオンワｰドフレスコ, 48,石橋守, 1.8, 51,* -4, -10, 9, 27.2,①①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,11,Ｌジョｰパフュｰム, 53,高倉稜, 2.1, 47,  -5,  -9,13,131.8,⑧⑧⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
