10年 8月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"単勝:370円 複勝:03=150円 05=1,020円 14=1,130円 枠連:680円",,,,,,,,,,,,単勝:550円 複勝:06=150円 09=160円 11=210円 枠連:500円,,,,,,,,,,,,単勝:430円 複勝:05=220円 07=230円 08=170円 枠連:760円,,,,,,,,,,,,単勝:210円 複勝:11=110円 10=190円 03=130円 枠連:700円,,,,,,,,,,,
"馬連:6,260円 ワイド:03-05=2,010円 03-14=3,310円 05-14=15,650円",,,,,,,,,,,,"馬連:1,230円 ワイド:06-09=430円 06-11=740円 09-11=650円",,,,,,,,,,,,"馬連:2,060円 ワイド:05-07=820円 05-08=610円 07-08=540円",,,,,,,,,,,,馬連:880円 ワイド:10-11=330円 03-11=200円 03-10=490円,,,,,,,,,,,
"馬単:8,950円 3連複:106,910円 3連単:499,500円",,,,,,,,,,,,"馬単:2,450円 3連複:2,950円 3連単:15,200円",,,,,,,,,,,,"馬単:3,650円 3連複:3,100円 3連単:18,060円",,,,,,,,,,,,"馬単:1,370円 3連複:1,010円 3連単:4,840円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,小郡特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, アナザｰスタｰ,,植野貴,,,,, 2,  4.2,③②②, 1,16,Ａキョウジ, 67,松山弘,, 69,  -7,* 16, 2,  3.8,⑩⑧⑦, 1, 1,Ｈブライドルアップ, 73,北村友,, 81,* 11,   5, 3,  5.6, ①①, 1,13,Ａロｰドイノセント, 78,北村友,, 75,*  2,  15, 3,  6.8,②②②
 2, 3, マストビｰトゥルｰ,,西谷誠,192.2,,,, 1,  1.3,①①①, 2, 7,Ｆサｰノ, 60,浜中俊, 0.0, 67,  -6,* 13, 4, 10.7,⑤⑤③, 2, 6,Ｇビンチェロ, 74,福永祐, 0.2, 79,  -2,* 15, 5,  7.7, ⑧⑦, 2, 2,Ｈムｰンテンダｰ, 70,小牧太, 0.2, 72,   0,* 18,10, 24.2,⑧⑩⑤
 3, 2, プロスペクタス,,黒岩悠,194.2,,,, 6, 34.0,④⑤④, 3, 1,Ｃグランドチャペル, 66,川田将, 0.3, 65,  -7,* 13, 3,  6.0,⑨⑦⑤, 3, 7,Ｉエｰシンブイムｰド, 72,藤岡康, 0.2, 80,  -8,* 21, 6, 14.0, ⑬⑫, 3, 6,Ｇジャングルストｰン, 70,国分恭, 0.4, 72,*  4,  11, 5,  8.6,①①①
 4, 1, タラリア,,岩崎祐,195.6,,,, 4, 28.6,⑤④⑤, 4,10,Ｅメイショウタイシャ, 62,北村友, 0.4, 64,* -4,   8, 9, 41.5,②②②, 4,11,Ｋエナジｰハｰト, 71,川田将, 0.2, 79,   5,   9, 2,  5.4, ④④, 4, 4,Ｄマｰブルアロｰ, 74,浜中俊, 0.5, 72,   2,  13, 9, 22.3,③④③
 5, 4, レイナウッド,,高野容,198.7,,,, 7, 58.5,②③③, 5,12,Ｈテｰオｰジャングル, 56,松田大, 0.4, 65,* -4,   7,10, 46.8,①①①, 5, 3,Ｂケンブリッジエル, 76,浜中俊, 0.3, 77,   4,   8, 1,  3.2, ③③, 5, 3,Ｂクリスマスキング, 77,福永祐, 0.5, 72,  -1,* 17, 1,  3.7,⑪⑫⑫
 6, 5, ギガブレイク,,今村康,199.7,,,, 3, 10.2,⑥⑥⑥, 6, 6,Ｂスペクタビリス, 67,和田竜, 0.5, 64,  -6,   8, 1,  2.1,⑥④④, 6, 2,Ｄホシシャトル, 75,高倉稜, 0.5, 74,   2,   7, 8, 23.0, ⑤⑤, 6, 8,Ｃサンマルボス, 74,太宰啓, 0.6, 70,   2,  13, 4,  7.4,⑦⑥⑦
 7, 8, キフジン,,中村将,201.0,,,, 8, 61.5,⑦⑦⑦, 7, 8,Ｄトウケイウッドマン, 63,赤木高, 0.6, 63,  -9,* 13, 7, 35.1,⑧⑩⑧, 7, 9,Ｌメイショウルシェロ, 69,飯田祐, 0.6, 75,  -6,  14, 9, 26.8, ⑪⑩, 7,12,Ｊナリタシルクロｰド, 68,高倉稜, 0.6, 70,   1,  14, 7, 17.7,⑥⑦⑧
 8, 7, エｰシンフォｰサン,,金折知,201.4,,,, 5, 30.5,⑧⑧⑧, 8, 4,Ｊメイショウゲッタｰ, 49,幸英明, 1.8, 53,  -7,  -1, 5, 17.7,⑦⑥⑨, 8, 4,Ｆショウナンカッサイ, 74,幸英明, 0.7, 73,   1,   7, 4,  6.5, ⑥⑥, 8,11,Ｆスズカスコｰピオン, 72,川田将, 0.9, 68,*  2,   7, 8, 17.7,⑬③④
,,,,,,,,,,,, 9,13,Ｉスズカタフネス, 50,藤岡康, 1.9, 54,* -5,  -4, 8, 40.2,③③⑥, 9,13,Ｎカシノマイケル, 67,加藤士, 0.7, 72,  -6,  13,14,244.7, ⑫⑬, 9, 1,Ｅタガノマｰジョラム, 72,松山弘, 1.0, 69,  -2,  14, 6, 12.7,⑩⑬⑩
,,,,,,,,,,,,10, 9, ヒミノファルブラヴ,---,高倉稜, 3.1, 45, -12,  -3,12, 51.9,⑭⑬⑬,10,14,Ｊシティボス, 71,太宰啓, 0.8, 72, -10,* 16,12, 83.0, ⑭⑭,10, 7,Ｉヴェラブランカ, 68,和田竜, 1.1, 68,   0,   9, 2,  3.8,⑨⑧⑨
,,,,,,,,,,,,11, 5, アドマイヤコウテイ,---,福永祐, 3.1, 44,  -9,  -9, 6, 31.9,⑪⑪⑪,11, 5,Ａカシノリボン, 83,小牧太, 0.9, 69,*  7,  -3, 7, 16.7, ②②,11,10,Ｋグッドカレラ, 61,藤岡康, 1.8, 62,   1,   1,12,192.4,④⑤⑥
