10年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,釜山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 7,Ｌクリノユメヲ, 46,高野容, 2.3, 39,  -7, -12,14,296.9, ⑨⑪,13, 6,Ｏドレスインブラック, 25,鮫島良, 2.6, 39,  -2, -29,12,121.0,⑫⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
14, 4,Ｈサンレイキャロル, 52,難波剛, 2.3, 37, -11, -10, 8, 28.8, ⑫⑭,14,12,Ｅトゥｰファン, 55,川須栄, 2.7, 38,*  4, -42, 5, 12.4,④③⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,11,Ｍメイショウサラサ, 39,高橋亮, 3.5, 31,   1, -46, 6, 19.5,⑥⑩⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 8,Ｐジェイミｰ, 22,佐藤哲, 4.5, 23,  -6, -46,14,206.6,⑮⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-5),,,,,,,,,,,
単勝:420円 複勝:03=140円 11=140円 14=290円 枠連:600円,,,,,,,,,,,,単勝:170円 複勝:02=110円 05=150円 10=180円 枠連:440円,,,,,,,,,,,,単勝:140円 複勝:05=110円 07=130円 04=530円 枠連:220円,,,,,,,,,,,,"単勝:730円 複勝:06=260円 07=1,130円 02=630円 枠連:16,050円",,,,,,,,,,,
馬連:780円 ワイド:03-11=270円 03-14=740円 11-14=720円,,,,,,,,,,,,馬連:450円 ワイド:02-05=190円 02-10=280円 05-10=520円,,,,,,,,,,,,"馬連:210円 ワイド:05-07=130円 04-05=710円 04-07=1,190円",,,,,,,,,,,,"馬連:16,400円 ワイド:06-07=4,480円 02-06=2,030円 02-07=4,600円",,,,,,,,,,,
"馬単:1,540円 3連複:2,380円 3連単:10,980円",,,,,,,,,,,,"馬単:680円 3連複:910円 3連単:2,540円",,,,,,,,,,,,"馬単:300円 3連複:2,350円 3連単:5,200円",,,,,,,,,,,,"馬単:30,160円 3連複:66,170円 3連単:419,020円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,桜島特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9, メイショウサンドラ,,今村康,,,,, 5,  8.9,①①①, 1,13,Ａサダルメリク, 68,幸英明,, 65,*  0,*  3, 1,  1.7,①①①, 1, 7,Ｇインオラリオ, 80,和田竜,, 85,* 12,* 11, 3,  5.2,①①①, 1, 4,Ｇトウカイセレブ, 70,川須栄,, 66,* 13,  -5, 2,  6.2,①①①
 2, 4, カシノヨウスケ,,高野容,193.6,,,, 2,  4.4,③③③, 2,12,Ｃブルロック, 66,川島信, 0.3, 62,*  0,   2, 3, 10.0,②③②, 2, 8,Ｌスエズ, 77,佐藤哲, 0.8, 80,   8,* 11,10, 31.5,⑧⑩⑨, 2, 1,Ｂトミケンプライマリ, 75,国分恭, 0.0, 68,  11,  -2, 5, 12.3,③④④
 3, 5, マルブツハッピｰ,,西谷誠,194.5,,,, 1,  2.4,②②②, 3, 3,Ｄビジュアルショック, 65,川田将, 0.7, 62,  -3,*  3, 2,  3.3,⑥⑥⑤, 3, 3,Ｊメイショウイエミツ, 78,石橋守, 0.8, 81,   8,  10, 2,  4.5,⑨⑨⑩, 3,14,Ｍクイックメｰル, 64,幸英明, 0.2, 66,* 12,  -5,10, 45.6,④③②
 4, 3, アイアングリｰン,,林満明,195.2,,,, 3,  4.4,④④④, 4,10,Ｉナムラフォエバｰ, 55,北村友, 0.8, 61,  -1,  -2, 4, 18.1,⑧④④, 4,12,Ｂワｰルドワイド, 83,川田将, 1.1, 78,   6,* 12, 4,  6.9,⑬⑬⑪, 4,11,Ｃアマゾネスバイオ, 74,松田大, 0.4, 67,   7,*  0, 4,  9.1,⑧⑨⑩
 5, 1, タラリア,,岩崎祐,195.9,,,, 7, 32.8,⑤⑤⑤, 5, 9,Ｅゼットフジ, 61,熊沢重, 1.3, 60,  -3,  -1,11,136.6,④⑦⑥, 5,11,Ｄタガノアッシュ, 81,赤木高, 1.2, 76,  10,   4,11, 33.6,⑥⑤④, 5, 9,Ａヴェラブランカ, 77,藤岡康, 0.5, 63,  10,  -5, 1,  2.0,⑤⑤⑤
