10年 8月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 3,Ｈシゲルサコン, 63,高倉稜, 3.0, 50,  -4,  -8, 9, 26.6,⑮⑫⑫,13, 2,Ｐサワノパルファン, 29,金折知, 2.8, 43,  -2, -26,14,198.7,⑧⑪⑫,13, 6,Ｋマコトバンクウ, 60,福永祐, 1.6, 55, -14,   5, 7, 16.0, ⑭⑭,13,13,Ｎチュウワブロッサム, 56,鮫島良, 2.0, 58,  -9,   1,14,320.6,⑨⑭⑬
14, 9,Ｋテラノパンサｰ, 56,国分恭, 3.0, 53,  -7,  -2,14,322.8,⑭⑮⑭,14,10,Ｍキクノロッサ, 38,和田竜, 3.2, 40,  -2, -33,15,237.6,⑨⑨⑨,14,11,Ｉケイティマイヒメ, 65,太宰啓, 1.7, 54,  -6,  -1,10, 53.2, ⑩⑩,14, 5,Ｋベッロカリｰノ, 59,小牧太, 3.1, 44,  -9, -15,10, 82.7,⑫⑫⑭
15, 5,Ｌライブリクラフト, 56,石橋守, 4.9, 43,  -9, -13,16,435.7,⑯⑯⑯,15, 1,Ｇミヤビリｰティｰ, 55,太宰啓, 3.3, 37,  -6, -26,11,110.8,⑫⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
16,13,Ｏショウナンマグナム, 48,北村友, 5.0, 38,  -4, -26,13,268.8,⑦⑪⑮,16,13,Ｏダンツオｰロラ, 36,田中克, 4.1, 32,   1, -50,16,252.4,⑤⑥⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,640円 複勝:12=480円 14=200円 08=1,060円 枠連:490円",,,,,,,,,,,,"単勝:360円 複勝:05=130円 06=210円 11=160円 枠連:1,080円",,,,,,,,,,,,単勝:260円 複勝:10=120円 04=160円 13=440円 枠連:610円,,,,,,,,,,,,"単勝:250円 複勝:01=140円 04=400円 12=240円 枠連:1,050円",,,,,,,,,,,
"馬連:4,320円 ワイド:12-14=1,590円 08-12=10,900円 08-14=2,900円",,,,,,,,,,,,"馬連:1,180円 ワイド:05-06=440円 05-11=300円 06-11=620円",,,,,,,,,,,,"馬連:690円 ワイド:04-10=310円 10-13=710円 04-13=1,240円",,,,,,,,,,,,"馬連:2,980円 ワイド:01-04=1,000円 01-12=540円 04-12=2,890円",,,,,,,,,,,
"馬単:11,710円 3連複:54,510円 3連単:296,990円",,,,,,,,,,,,"馬単:2,100円 3連複:1,620円 3連単:7,960円",,,,,,,,,,,,"馬単:1,160円 3連複:2,710円 3連単:8,640円",,,,,,,,,,,,"馬単:4,260円 3連複:7,440円 3連単:33,730円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,秋吉台特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11, タマモグレアｰ,,林満明,,,,, 1,  2.0,②①①, 1,13,Ａエｰシンヨシツネ, 77,高倉稜,, 66,*  9,  -1, 1,  2.2, ①①, 1, 1,Ａアルｰリングライフ, 73,幸英明,, 67,   5,   4, 2,  4.0, ③③, 1,12,Ａダノンエリモトップ, 77,武豊  ,, 69,*  5,   9, 1,  2.4,①①①
 2, 2, アイアングリｰン,,北沢伸,192.2,,,, 5, 15.3,①③③, 2,17,Ｂスナｰクトマホｰク, 66,太宰啓, 0.0, 67,*  6,   4, 2,  4.5, ③③, 2, 5,Ｃドリｰムバレンチノ, 72,松山弘, 0.2, 64,   4,   3, 1,  3.2, ⑥⑤, 2, 3,Ｆスマイルミッキｰ, 72,川田将, 0.5, 69,   2,  11, 2,  4.9,⑧⑦⑥
 3,10, カシノヨウスケ,,高野容,192.4,,,, 3,  5.7,④⑤④, 3, 2,Ｏテイエムゴッド, 40,赤木高, 0.1, 64,   4,   3,12, 84.0, ④④, 3, 3,Ｊメイショウフレアｰ, 58,福永祐, 0.2, 65,   1,*  6, 9, 48.1, ⑦⑥, 3, 1,Ｄウインベルカント, 75,佐藤哲, 0.6, 70,  -2,* 16, 6, 13.7,⑭⑭⑨
 4, 7, ハッピｰドロップ,,中村将,192.5,,,, 6, 18.5,③②②, 4,12,Ｅルナピスタ, 55,幸英明, 0.1, 66,   4,   3, 5, 12.8, ⑤⑤, 4,10,Ｉジョニｰバロｰズ, 60,北村友, 0.2, 65,   1,*  6,10, 59.8, ⑧⑦, 4,14,Ｊパｰフェクトバイオ, 69,国分恭, 0.7, 67,*  5,   5, 8, 26.6,②②②
 5, 3, ポｰラシｰクエンス,,金折知,193.8,,,, 4,  6.5,⑥⑥⑥, 5,10,Ｄヒデノキセキ, 56,松田大, 0.3, 62,   0,   5, 6, 15.4, ⑨⑦, 5, 6,Ｇアイアンラチェット, 62,小牧太, 0.4, 61,  -2,*  6, 8, 27.6, ⑨⑩, 5,10,Ｈスタｰサイクル, 71,川須栄, 0.8, 66,   0,* 11,10, 39.6,⑫⑩⑦
 6, 4, スズカワイルド,,黒岩悠,194.8,,,, 2,  5.4,⑤④⑤, 6, 3,Ｇメイショウオルフェ, 53,難波剛, 0.4, 61,   1,   2, 7, 20.4, ⑥⑥, 6, 8,Ｂハイフィｰルド, 73,太宰啓, 0.4, 62,  -1,*  6, 4,  6.3, ⑩⑨, 6,16,Ｃヤマニンシャスｰル, 75,松山弘, 0.9, 66,   0,  10, 5, 10.4,⑩⑧⑩
 7, 8, プロスペクタス,,佐久間,196.4,,,,10,105.6,⑧⑧⑧, 7,11,Ｈキングタキシｰド, 53,熊沢重, 0.7, 57, -10,*  8,10, 46.8, ⑭⑫, 7,11,Ｅニュｰホｰプ, 67,ホワイ, 0.7, 60,* 10,  -8, 3,  5.6, ②②, 7,11,Ｅメイショウスクラム, 73,高倉稜, 1.0, 64,   0,   9,11, 40.5,⑬⑨⑧
