10年10月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,江戸川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,11,Ｐトップモｰスト,  6,西田雄, 0.8, 41, -13,  -9,14,266.7,⑩⑨⑨, 7,10, アサクサアクセル,---,内田博, 0.8, 60, -13,   9, 5,  8.6,⑨⑦⑥, 7, 1,Ｈアイアムノココロ, 64,後藤浩, 0.3, 69,  -5,* 14, 8, 36.5, ⑬⑫, 7, 6,Ｃグリｰンバｰディｰ, 90,デュプ, 0.4, 86,   4,  14, 1,  3.2, ⑪⑪
 8,12,Ｅデルマラクシュミｰ, 44,伊藤直, 1.0, 37,* -9, -20,10, 99.2,⑥②②, 8, 4, アイティゴｰルド,---,吉田豊, 2.3, 40, -15, -11, 7, 28.5,⑥⑧⑧, 8, 4,Ｃレッドハイヒｰル, 76,吉田豊, 0.5, 73,* 16, -10, 2,  4.0, ①①, 8, 4,Ｋアイルラヴァゲイン, 84,津村明, 0.5, 84,   6,  10,13,104.3, ⑤②
 9,13,Ｇコスモセクシｰ, 43,津村明, 1.2, 36,* -9, -22, 9, 40.5,⑦④④, 9, 6, カイシュウウルフ,---,幸英明, 2.5, 39, -18,  -9,10,168.9,⑩⑩⑨, 9,10,Ｍタカラハｰバｰ, 55,北村宏, 0.7, 69,  11,  -7,12,100.0, ③③, 9,13,Ｂマルカフェニックス, 90,松岡正, 0.6, 83,   4,  11,11, 48.6, ⑬⑭
10, 8,Ｌタツフレンチ, 34,伊藤工, 1.2, 37, -18,  -9,16,278.3,⑫⑭⑮,10, 5, ケイビイワンダｰ,---,岩部純, 2.6, 39, -18, -10, 9, 96.7,⑧⑨⑩,10,15,Ｉヨシサプライズ, 64,内田博, 0.8, 66,   2,   1,11, 72.5, ⑩⑪,10, 5,Ｈビｰビｰガルダン, 86,安藤勝, 0.7, 82,   7,   7, 4,  6.9, ⑥⑦
11,16,Ｎクラｰウィス, 30,吉田豊, 1.2, 38, -15, -11,13,198.4,⑪⑫⑪,,,,,,,,,,,,,11, 9,Ｏメジロイングリッド, 53,岩部純, 0.8, 67,   7,  -4,10, 64.2, ⑥⑧,11, 1,Ｍサンダルフォン, 82,酒井学, 0.7, 82,  -2,  15,14,116.8, ⑯⑯
12, 6,Ｊピｰスワンレディ, 40,江田照, 1.2, 39, -15, -12, 7, 36.4,⑨⑪⑩,,,,,,,,,,,,,12, 6,Ｊトゥモロｰカフェ, 62,田中勝, 0.8, 68,* 12, -10, 5, 19.6, ②②,12,16,Ｇウエスタンビｰナス, 86,柴田善, 0.7, 82,*  9,   5,15,128.9, ④⑤
13, 7,Ｆスペｰスウォｰク, 43,田辺裕, 1.3, 35, -18, -11,11,107.0,⑭⑬⑭,,,,,,,,,,,,,13,11,Ｇヤマニンオクタゴン, 66,柴田大, 0.9, 65,   5,  -5, 9, 41.2, ⑧⑦,13,12,Ｏヘッドライナｰ, 80,内田博, 0.9, 80,   7,   5, 9, 25.6, ⑧⑨
14, 9,Ｋアンナオブラプタｰ, 36,柴田善, 1.3, 38, -19,  -8, 8, 38.1,⑮⑯⑫,,,,,,,,,,,,,14,13,Ｌサフランチカラ, 58,田中博, 1.3, 57,  -7,   2,16,436.5, ⑭⑮,14, 9,Ｉロｰレルゲレイロ, 85,藤田伸, 1.0, 79,* 11,  -1, 5,  9.1, ②③
15, 5,Ｏフォｰジドアストロ, 28,武士沢, 1.8, 29, -16, -19,15,274.5,⑬⑩⑬,,,,,,,,,,,,,15, 7,Ｎアイティムサシ, 55,江田照, 1.7, 51,  -8,  -2,14,308.8, ⑮⑭,15,11,Ｎプレミアムボックス, 82,幸英明, 1.2, 75,   1,   6,12, 80.1, ⑭⑮
16, 4,Ｉエｰシンビッグガン, 40,内田博, 2.0, 28, -11, -31, 3,  5.5,④⑥⑥,,,,,,,,,,,,,16, 5,Ｐムッシュオメガ, 48,伊藤工, 2.1, 46, -12,  -3,15,363.8, ⑯⑯,16,10,Ｌファイングレイン, 83,勝浦正, 1.4, 73,   4,   1,16,144.6, ⑫⑬
