12年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,14,Ｇアポロダイヤモンド, 52,勝浦正, 1.0, 46,* -5, -15,13,136.9,①①①, 7, 5,Ｃアポロパックマン, 72,武豊  , 0.6, 66,   3,   1, 4,  6.3, ⑧⑥, 7,16,Ｈロｰレルクラシック, 78,ルメｰ, 0.3, 80,   9,*  9, 4,  9.0,⑫⑫⑨, 7,14,Ｆサイレントソニック, 78,内田博, 0.4, 74,  -2,   6, 4,  6.9,⑥⑥⑥
 8, 5,Ｊアンサｰソング, 46,田辺裕, 1.1, 49, -11,  -6,10, 54.6,⑩⑩⑨, 8, 9,Ｂジアッロ, 73,田中勝, 0.9, 62,   2,  -1, 2,  4.8, ⑫⑫, 8, 8,Ｄグレｰトマｰシャル, 82,武士沢, 0.4, 79,   7,* 10,11, 34.3,⑭⑮⑩, 8, 6,Ｃデンファレ, 79,的場勇, 0.6, 70,  -1,   1,12, 79.2,③④④
 9, 9,Ｅサクセスカｰチス, 52,蛯名正, 1.1, 46,  -8, -12, 4,  9.0,④⑤⑤, 9,11,Ｍコウヨウゼウス, 58,江田照, 1.2, 61,   1,  -2,14,115.3, ⑬⑪, 9, 4,Ｋプロヴィデンス, 76,柴田善, 0.8, 75,   7,   4,12, 47.3,⑬⑭⑫, 9, 4,Ｌアルディｰトプリエ, 69,田辺裕, 0.6, 72,  -5,   7,16,112.3,⑧⑦⑦
10,11,Ｐケｰジｰモンブラン, 14,ムｰア, 1.1, 46,* -7, -14, 7, 27.9,⑤③③,10, 3,Ｆスピｰディｰドｰタ, 70,杉原誠, 1.2, 62,   5,  -7,10, 39.3, ⑤⑤,10, 2,Ｆロｰドアイアン, 80,田辺裕, 0.8, 74,   7,   3,14, 61.9,⑪⑩⑬,10,12,Ｊメイブリｰズ, 73,柴田善, 0.6, 72,  -4,   6, 7, 15.9,⑨⑧⑧
11, 7,Ｎエｰブウルトラマン, 31,吉田隼, 1.1, 51, -12,  -2,16,289.0,⑭⑮⑭,11,10,Ｐサンマルミニスタｰ, 46,大野拓, 1.3, 58,  -2,  -1,15,167.1, ⑯⑯,11, 6,Ｍシルクドルフィン, 74,木幡初, 0.8, 76,   4,* 11,13, 54.0,⑯⑯⑭,11, 8,Ｅファｰゴ, 78,ウィリ, 0.7, 73,  -7,  12, 6, 12.8,⑭⑬⑬
12, 6,Ｌワサビ, 39,ウィリ, 1.2, 47, -12,  -5,11, 58.8,⑫⑬⑬,12, 1,Ｈダノンカスガ, 63,和田竜, 1.4, 61,   5,  -8, 9, 28.3, ④④,12,11,Ｏヴァｰゲンザイル, 72,内田博, 0.8, 76,   9,   2, 7, 19.2,⑥⑪⑮,12,13,Ｐメロｰクｰミス, 65,宮崎北, 0.8, 69,  -2,   0,14, 89.1,⑤⑤⑤
13, 1,Ｄトドロキカポネサン, 55,大野拓, 1.2, 48, -10,  -7,15,181.9,⑯⑫⑫,13, 6,Ｋドリｰムパワｰ, 60,平野優, 1.6, 59,   2,  -6, 7, 18.7, ⑪⑭,13, 3,Ｎジェイケイラン, 73,伊藤工, 1.0, 73,   7,   3,15, 80.8,⑮⑬⑯,13, 9,Ｍフィｰルマイハｰト, 67,三浦皇, 1.1, 67,  -5,   1,11, 58.3,⑫⑪⑫
14,15,Ｍオｰバｰザトップ, 36,横山典, 1.3, 45,  -9, -10, 3,  7.6,⑪⑨⑪,14, 7,Ｎシムｰン, 56,三浦皇, 1.9, 56,*  8, -15, 8, 23.2, ①①,14,14,Ｌポｰルアックス, 75,北村宏, 1.1, 69,* 14, -21, 9, 19.8,①①①,14, 7,Ｎヤマニンアストレア, 66,村田一, 1.3, 61,*  2, -13,13, 84.4,④②②
15,13,Ｏコウヨウセレクト, 15,江田照, 1.4, 42,  -8, -17, 9, 34.1,⑧⑥⑦,15,15,Ｏアラカメジョウ, 56,丹内祐, 1.9, 57,   5, -12,13, 90.0, ⑦⑧,15, 5,Ｅフィルハｰマジック, 81,宮崎北, 1.4, 70,  10, -11, 8, 19.4,⑨⑦⑪,15, 2,Ｋダイワフェリス, 71,横山典, 2.0, 55, -11,  -3, 8, 18.1,⑪⑭⑮
16,10,Ｋダイワロｰジｰ, 42,柴田善, 1.6, 44, -12, -10,12,100.7,⑬⑭⑮,16, 8,Ｊサトシック, 61,中谷雄, 2.0, 57,   4, -13,16,251.8, ⑥⑦,16, 1,Ｐミウラリチャｰド, 62,平野優, 2.9, 57,  10, -37,16,210.2,③③⑤,16,10,Ｏトレノエンジェル, 65,武士沢, 3.3, 39, -12, -19,15, 92.5,⑮⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,
"単勝:210円 複勝:02=110円 12=330円 03=150円 枠連:1,060円",,,,,,,,,,,,"単勝:1,130円 複勝:02=360円 12=1,120円 16=200円 枠連:9,380円",,,,,,,,,,,,単勝:530円 複勝:12=180円 07=150円 09=380円 枠連:710円,,,,,,,,,,,,単勝:580円 複勝:05=220円 01=140円 03=560円 枠連:860円,,,,,,,,,,,
"馬連:1,790円 ワイド:02-12=720円 02-03=180円 03-12=1,080円",,,,,,,,,,,,"馬連:25,900円 ワイド:02-12=6,020円 02-16=860円 12-16=3,200円",,,,,,,,,,,,"馬連:910円 ワイド:07-12=370円 09-12=1,420円 07-09=1,230円",,,,,,,,,,,,"馬連:970円 ワイド:01-05=420円 03-05=2,910円 01-03=1,860円",,,,,,,,,,,
