12年10月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-4),,,,,,,,,,,
単勝:660円 複勝:11=220円 05=130円 06=230円 枠連:730円,,,,,,,,,,,,"単勝:9,750円 複勝:01=1,340円 02=220円 04=120円 枠連:23,660円",,,,,,,,,,,,単勝:330円 複勝:02=140円 10=210円 01=240円 枠連:970円,,,,,,,,,,,,"単勝:1,840円 複勝:14=350円 09=460円 06=140円 枠連:7,890円",,,,,,,,,,,
"馬連:1,060円 ワイド:05-11=410円 06-11=630円 05-06=470円",,,,,,,,,,,,"馬連:24,890円 ワイド:01-02=5,420円 01-04=2,360円 02-04=420円",,,,,,,,,,,,馬連:970円 ワイド:02-10=400円 01-02=500円 01-10=990円,,,,,,,,,,,,"馬連:15,750円 ワイド:09-14=3,210円 06-14=800円 06-09=960円",,,,,,,,,,,
"馬単:2,740円 3連複:2,460円 3連単:15,690円",,,,,,,,,,,,"馬単:69,120円 3連複:14,790円 3連単:248,170円",,,,,,,,,,,,"馬単:1,790円 3連複:2,630円 3連単:10,930円",,,,,,,,,,,,"馬単:33,880円 3連複:11,380円 3連単:128,790円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,久多特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｋバッドボｰイ, 38,中井裕,, 60,*-11,   0, 8, 41.3, ②②, 1, 4,Ａゴリラ, 76,浜中俊,, 76,*  9,   1, 1,  3.4, ①①, 1,18,Ａウエストエンド, 82,和田竜,, 85,* 18,  -2, 6,  9.4, ④③, 1,16,Ｈエｰシンボダイジュ, 64,岩田康,, 67,   0,   5, 8, 14.7, ⑧⑦
 2, 9,Ｃアｰマｰクラッド, 58,秋山真, 0.0, 62, -12,*  3, 6, 21.9, ④④, 2, 9,Ｊリズミックビｰト, 67,鮫島良, 0.3, 73,   2,*  8,11, 29.5, ⑭⑬, 2, 6,Ｇヴィクトリｰマｰチ, 74,四位洋, 0.2, 81,  13,   1, 5,  8.6, ⑤⑤, 2,13,Ｍレッドグラサｰジュ, 54,菱田裕, 0.0, 71,* 14,  -9, 5,  9.4, ②②
 3, 6,Ｇマウイノカオイ, 52,松山弘, 0.1, 61, -13,*  4, 4, 12.0, ⑤⑤, 3,14,Ｆサンクフルネス, 71,幸英明, 0.4, 71,   3,*  6, 8, 25.9, ⑪⑪, 3, 3,Ｏブラボｰスキｰ, 69,小牧太, 0.3, 78,   9,   5,10, 24.1, ⑥⑦, 3,10,Ｋツルオカハチマン, 60,荻野琢, 0.1, 64,  -6,*  9,10, 68.2, ⑭⑫
