12年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,高雄特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 3,Ｋシゲルミズガメザ, 40,藤懸貴, 1.4, 41,  -4,  -6,14,201.5, ⑫⑪,12, 2,Ｋハナズタイガｰ, 45,田辺裕, 0.9, 44,  -3, -14,12,113.4,⑦⑦⑦,12, 5,Ｎサトノサミット, 68,藤岡佑, 1.9, 64,   2,  -2,10, 45.4,⑬⑫⑬,12, 3,Ｎスギノエンデバｰ, 79,藤岡佑, 0.5, 82,   0,   9, 9, 21.2, ⑭⑫
13, 9,Ｈノｰザンハリアｰ, 48,田辺裕, 2.6, 32,  -3, -17,10, 74.9, ⑪⑫,13, 3,Ｆマグナムボｰイ, 53,菱田裕, 1.0, 44,  -4, -11,10, 28.2,⑧⑨⑩,13,10,Ｆツィンクルブｰケ, 73,川須栄, 2.0, 63,   4,  -6, 9, 29.6,⑦⑧⑨,13,17,Ｊマコトナワラタナ, 82,和田竜, 0.6, 80,  -2,   9,11, 35.2, ⑮⑯
14, 2,Ｏシゲルトケイザ, 18,野元昭, 2.9, 31,  -4, -17,12,121.5, ⑬⑭,14, 4,Ｉアリオンバロｰズ, 47,福永祐, 2.9, 28,* -1, -45, 9, 27.5,③③③,14,16,Ｉヤマイチタイキ, 70,藤懸貴, 3.1, 52,*  5, -18,15,278.4,⑤③④,14,11,Ｑビウイッチアス, 77,中舘英, 0.7, 78,   2,   4,16, 69.6, ⑩⑬
15, 8,Ｍシゲルコグマザ, 26,秋山真, 3.4, 26,  -7, -19,15,442.5, ⑮⑮,,,,,,,,,,,,,15, 8,Ｂアサクサショパン, 76,ルメｰ, 4.1, 47,*  5, -28, 2,  4.4,②②③,15, 9,Ｆパドトロワ, 85,安藤勝, 1.0, 72,   6,  -4, 6, 10.6, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｐエｰシンミモザ, 58,松田大, 4.1, 47,   1, -19,16,401.7,⑪⑬⑯,16,15,Ｈスプリングサンダｰ, 82,四位洋, 1.0, 75,  -4,   7,14, 43.3, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｒケイアイアストン, 77,太宰啓, 1.0, 72,   5,  -3,18,311.6, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｉウインドジャズ, 82,渡辺薫, 1.1, 72,  -3,   4,17,224.8, ⑱⑱
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,
"単勝:1,070円 複勝:10=500円 07=230円 05=2,000円 枠連:1,620円",,,,,,,,,,,,"単勝:950円 複勝:06=320円 05=400円 01=3,140円 枠連:4,330円",,,,,,,,,,,,単勝:540円 複勝:13=200円 06=150円 03=230円 枠連:740円,,,,,,,,,,,,"単勝:3,410円 複勝:01=1,250円 08=210円 05=1,050円 枠連:3,650円",,,,,,,,,,,
"馬連:2,940円 ワイド:07-10=1,130円 05-10=10,210円 05-07=6,000円",,,,,,,,,,,,"馬連:3,060円 ワイド:05-06=930円 01-06=12,270円 01-05=13,600円",,,,,,,,,,,,"馬連:1,200円 ワイド:06-13=480円 03-13=720円 03-06=480円",,,,,,,,,,,,"馬連:11,860円 ワイド:01-08=4,300円 01-05=15,520円 05-08=3,990円",,,,,,,,,,,
"馬単:6,770円 3連複:69,280円 3連単:373,130円",,,,,,,,,,,,"馬単:6,730円 3連複:107,300円 3連単:429,650円",,,,,,,,,,,,"馬単:2,950円 3連複:2,600円 3連単:16,200円",,,,,,,,,,,,"馬単:28,150円 3連複:126,660円 3連単:792,900円",,,,,,,,,,,
