12年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9, 5,Ａパｰプルアイズ, 64,国分恭, 2.7, 45,* 11, -32, 2,  4.0, ①①, 9, 2, ショウナンカメリア,---,幸英明, 2.1, 43,  -2, -33,11,187.5, ⑩⑪, 9, 1,Ｋパフォｰマンス, 69,熊沢重, 1.2, 70,   8,   1,10, 32.8, ⑨⑧, 9,15,Ｈディアマイベイビｰ, 67,川田将, 0.8, 68,* 24, -31, 8, 22.6, ⑤④
10, 8,Ｊライブリシュネル, 44,国分優, 2.7, 43,   5, -23,13,195.0, ⑨⑨,10, 3, サルタイアｰ,---,三浦皇, 2.3, 41,   3, -44, 8, 85.5, ④③,10, 5,Ｌキャプテンサクラ, 66,和田竜, 1.2, 70,   7,   3, 5, 13.9, ⑪⑪,10, 4,Ｎメイショウマンボ, 57,飯田祐, 0.8, 67,  18, -23,14, 78.6, ⑬⑭
11, 2,Ｌナムラシンバ, 41,熊沢重, 2.7, 42,  -4, -13,11,124.8, ⑪⑬,11,10, スリｰマｰゴｰン,---,太宰啓, 3.0, 36,   3, -55,12,206.8, ②⑤,11,14,Ｆリバｰアゲイン, 74,三浦皇, 1.8, 63,   3,   1,14,219.2, ⑭⑭,11,16,Ｑフィｰルドメジャｰ, 47,国分優, 0.9, 68,  21, -28,18,242.4, ⑫⑩
12, 1,Ｆパｰプルルビｰ, 52,幸英明, 2.7, 43,   5, -23, 6, 15.9, ⑦⑧,12, 4, コリエドペルル,---,川島信, 3.7, 30,  -9, -40, 6, 43.5, ⑫⑫,12,10,Ｊデュｰクワンダｰ, 69,藤岡佑, 2.1, 61,   2,  -1,13,185.6, ⑮⑬,12,17,Ｍトｰセンレディ, 61,藤田伸, 1.1, 64,  17, -24,17,197.6, ⑱⑰
13, 9,Ｎエンバｰゴ, 29,大野拓, 2.7, 41,  -7,  -9,14,254.6, ⑭⑭,,,,,,,,,,,,,13,12,Ａケｰジｰヨシツネ, 84,デムｰ, 2.2, 62,  12, -11, 3,  6.7, ③⑥,13, 2,Ｆタガノミュｰチャン, 70,藤岡佑, 1.2, 64,* 25, -41,12, 55.2, ①①
14,13,Ｍシゲルリョウケンザ, 41,川島信, 3.0, 42,   8, -30,10, 83.5, ③⑤,,,,,,,,,,,,,14, 7,Ｍトｰホウガｰデン, 64,丸山元, 2.2, 59,   2,  -1,15,243.3, ⑬⑮,14, 9,Ｏレッドマニッシュ, 55,北村宏, 1.2, 63,  18, -29,11, 50.9, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｎパｰプルタイガｰ, 60,松山弘, 2.4, 61,  13, -13,12, 94.0, ④⑤,15,13,Ｉストｰクアンドレイ, 65,川島信, 1.3, 63,  22, -36,13, 70.6, ④⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｌエイシンラトゥナ, 61,幸英明, 1.7, 59,  21, -41, 9, 36.3, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ａサウンドリアｰナ, 83,デムｰ, 1.8, 55,  22, -45, 3,  6.0, ⑥⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,Ｐコウエイピｰス, 54,松山弘, 3.3, 43,* 24, -68,16, 96.8, ③③
