12年10月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,10,Ｆコスモサンチャン, 41,津村明, 1.0, 42, -10,  -6, 6, 11.6, ⑧⑨, 7, 2, ヒカルエリントン,---,福永祐, 0.0, 48, -36,  11, 1,  2.6,④④④, 7, 6,Ｃカンタベリｰナイト, 71,武士沢, 1.0, 72,  -3,* 12, 9, 49.9,⑮⑭⑭, 7,12,Ｃストロングリタｰン, 93,福永祐, 0.5, 92,  13,  11, 5,  7.8,⑨⑦⑦
 8, 2,Ｉコスモケリア, 38,柴田大, 1.4, 34,* -5, -22, 9, 63.0, ②②, 8,10, ダルメシアン,---,丸田恭, 0.3, 40,*-34,   4, 9, 49.6,②②②, 8,14,Ｈマイネキャスリｰン, 67,三浦皇, 1.0, 71,  -2,   7, 5, 15.6,⑩⑨⑩, 8, 3,Ｊダノンヨｰヨｰ, 88,三浦皇, 0.6, 93,  10,  17,13, 82.9,⑬⑬⑬
 9, 6,Ｏアポロアルテミス, 14,西田雄, 1.8, 34, -13, -12,14,364.6, ⑫⑫, 9, 1, イオンドライブ,---,柴田善, 0.4, 45, -38,  10, 6, 17.4,⑥⑥⑥, 9,15,Ｄキャニオンシンザン, 70,原田和, 1.1, 66,   2,  -8,15,435.4,⑤⑤④, 9,13,Ａエイシンフラッシュ, 95,内田博, 0.6, 91,  13,  11, 2,  4.4,⑪⑩⑧
10,16,Ｊマリンブリッジ, 38,吉田隼, 1.9, 31,  -8, -20,10, 67.8, ⑦⑦,10,11, ケイアイレｰヴェ,---,内田博, 0.4, 40, -35,   4, 5,  9.2,③③③,10, 5,Ｏセルリアンディンゴ, 57,木幡初, 1.4, 63,*  4, -13,14,406.4,②③③,10, 5,Ｐサンライズプリンス, 74,北村宏, 0.6, 93,  10,  17,15,124.0,⑤⑫⑫
11,15,Ｌダイメイクイｰン, 34,柴山雄, 2.1, 30, -14, -15,12,143.3, ⑭⑬,11, 5, コスモロックダンス,---,柴田大, 1.1, 39, -41,   6,11,102.6,⑨⑨⑩,11,12,Ｌリアルファッション, 62,杉原誠, 1.7, 66,  -3,   4, 7, 35.6,⑭⑮⑮,11,16,Ｋトｰセンレｰヴ, 88,ピンナ, 0.8, 89,  16,   3, 3,  6.2,⑦⑤⑤
12, 8,Ｅポッドレイ, 43,田辺裕, 2.2, 31, -17, -12,11, 87.7, ⑯⑯,12, 8, ブリリアントダンス,---,木幡初, 1.6, 30, -41,  -2,13,212.4,⑩⑩⑪,12,11,Ｉキｰプビリｰビング, 66,嘉藤貴, 1.7, 61,   2, -15,11, 81.8,③④⑤,12, 9,Ｌエイシンアポロン, 87,池添謙, 0.9, 88,  11,  10,10, 34.2,⑫⑪⑪
13, 4,Ｍミヅハノメ, 32,大野拓, 2.3, 26, -13, -19,13,156.2, ⑪⑪,13, 6, ディアギャラクシｰ,---,吉田豊, 4.4, -9, -42, -39,12,195.1,⑬⑬⑬,13,13,Ｊトｰセンサイレンス, 63,吉田豊, 2.6, 53,*  4, -32,13,139.1,⑦②②,13,14,Ｄスマイルジャック, 93,田辺裕, 1.1, 88,   7,  16,11, 42.4,⑮⑭⑭
14,11,Ｐフジシルクレディｰ,  5,嘉藤貴, 2.6, 25, -16, -19,16,527.3, ⑬⑮,,,,,,,,,,,,,14,10,Ｍベルウッドホルン, 61,吉田隼, 2.8, 54,  -2, -18,10, 52.3,⑪⑬⑫,14, 1,Ｇシルポｰト, 91,小牧太, 1.1, 82,* 28, -28, 8, 21.5,①①①
15, 5,Ｎキャロルツリｰ, 31,杉原誠, 2.7, 23, -16, -21,15,433.3, ⑮⑭,,,,,,,,,,,,,15, 7,Ｅバｰガンディミック, 70,岩田康, 3.1, 51,   2, -29, 8, 36.0,④⑦⑦,15, 6,Ｍネオサクセス, 85,大野拓, 1.8, 80,   5,  10,16,248.8,⑯⑯⑯
16, 7,Ｄトクラットリバｰ, 46,横山典, 2.8, 18,* -1, -50, 1,  2.7, ①①,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｉフェデラリスト, 90,蛯名正, 2.3, 75,   5,   4, 4,  7.4,⑭⑮⑮
