12年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2500m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,迎春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9, 2,Ｋクラウンプリズム, 45,伊藤直, 2.6, 51,  -7,  -4,15,320.8,⑩⑬⑪, 9,14,Ｏマイネルプレジャｰ, 39,中谷雄, 0.5, 54,*  3, -13,13,219.5,②②②, 9, 8, ボストンプラチナ,,穂苅寿,218.3,,,, 7, 29.1,⑤⑦⑦, 9,13,Ｐジｰエスライカｰ, 74,吉田豊, 1.0, 77,* 14,   8,11, 40.2, ②②
10,11,Ｍフェスティヴラン, 43,田中勝, 2.8, 47,  -5, -11, 7, 18.0,⑧⑧⑥,10, 5,Ｎダイワアクシス, 41,北村宏, 0.6, 55,  -4,  -3, 4,  6.6,⑫⑩⑪,10,10, イｰジｰウイン,,草野太,220.7,,,,12,225.0,⑫⑫⑪,10, 1,Ｇピｰスオブパワｰ, 88,津村明, 1.1, 76,  11,  11,16,239.1, ⑧⑧
11, 6,Ｉスカイアｰト, 47,平野優, 3.1, 50,  -9,  -4,10,132.4,⑮⑯⑯,11, 4,Ｋエメラルポケット, 53,石橋脩, 0.7, 55,  -7,   2,15,343.9,⑮⑮⑮,11, 3, リワｰドクラウン,,五十嵐,220.8,,,, 6, 16.1,⑩⑪⑩,11, 8,Ｊデュアルスウォｰド, 86,吉田隼, 1.1, 76,  10,  12, 6, 13.9, ⑩⑩
12, 8,Ｊマリｰズデイ, 47,武士沢, 3.2, 48,  -7,  -8,13,217.7,⑯⑭⑫,12,13,Ｌシュガｰツヨシ, 53,江田照, 0.7, 53,   2, -12,14,231.6,⑤④⑤,12, 5, モリノミヤコ,,大庭和,225.0,,,, 8, 40.1,⑬⑬⑫,12, 2,Ｆアｰスサウンド, 88,田中博, 1.1, 77,   8,  13,13, 84.0, ⑫⑪
13,14,Ｇカズノメジャｰ, 50,中舘英, 4.6, 36,* -3, -29, 8, 28.2,⑥⑤⑦,13, 9,Ｍベルウッドブレット, 45,宮崎北, 0.9, 51,  -3,  -8,11,156.3,⑭⑫⑫,,,,,,,,,,,,,13,15,Ｎアナモリ, 81,丸山元, 1.2, 77,   5,  15, 8, 21.0, ⑮⑮
14,15,Ｎアミフジガガ, 40,江田照, 4.6, 37,  -4, -25,14,281.4,⑨⑨⑩,14, 7,Ａトミケンアニマｰド, 68,木幡初, 1.1, 48,  -4,  -8,12,204.9,⑬⑭⑯,,,,,,,,,,,,,14,10,Ｌグランドラッチ, 85,丹内祐, 1.3, 75,   6,  13,15,217.6, ⑭⑭
15, 3,Ｐショウナンアタック, 22,村田一, 5.3, 33,  -8, -24,12,195.6,⑬⑮⑮,15, 3,Ｉコスモリトス, 56,柴田大, 1.2, 50,   2, -20, 5,  8.1,③③④,,,,,,,,,,,,,15, 3,Ｉファイナルスコアｰ, 86,江田照, 1.4, 74,  10,   9,12, 45.2, ⑨⑨
16,16,Ｌヤマニンブロドリｰ, 45,伊藤工, 5.3, 33,  -4, -33,16,476.8,③⑥⑬,16,15,Ｐスマｰトミスティア, 37,小島太, 3.0, 29,   1, -44,16,450.0,⑪⑥⑧,,,,,,,,,,,,,16,12,Ｏダイワマックワン, 79,柴田大, 1.7, 72,  10,   6,14,108.1, ⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
