15年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝4100m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,中山大障害,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11,14,Ｆニンキモノ, 52,武士沢, 4.8, 39,  -9, -15,14,214.3,⑯⑯⑯,11, 2, セイカエドミザカ,---,蛯名正, 1.5, 50, -11,  -6,11, 51.3,⑦⑦⑦,11, 9,Ａシンボリハミルトン, 85,横山典, 1.1, 74,  -3,* 22, 3,  5.1,⑯⑯⑯,11, 9,Ｎパワｰポケット, 84,三浦皇, 1.2, 83,  15,   3, 2,  4.0,⑤⑤⑥
12, 1,Ｎカズノメガミ, 27,吉田豊, 4.8, 37,  -8, -17, 9, 84.9,⑬⑭⑭,12,10, サトノアンジュ,---,三浦皇, 2.0, 44, -12, -11, 5, 16.4,⑪⑬⑩,12, 7,Ｆクｰルエイジア, 79,木幡初, 1.2, 74,  -1,  18,11, 40.0,⑫⑭⑭,12,12,Ｏストロングサウザｰ, 83,松岡正, 1.3, 83,  14,   5,11, 27.8,⑧⑧⑪
13,11,Ｏキンノオウカン, 26,長岡禎, 5.1, 36,  -9, -18,16,562.5,⑮⑮⑮,13, 8, フラジョレット,---,戸崎圭, 2.6, 38, -13, -17, 3,  5.7,⑮⑯⑮,13,11,Ｌファイトユアソング, 72,横山和, 1.3, 73,*  5,   9,13,115.1,②②②,13, 3,Ｈフィｰルザスマｰト, 88,田中勝, 1.9, 79,  14,   1, 6, 17.3,⑦⑩⑨
14,12,Ｍゾイ, 30,木幡初, 5.3, 35,  -6, -27,12, 99.0,⑨⑩⑩,14,18, ヒッサツ,---,吉田隼, 3.0, 33, -11, -26,14,131.3,⑬⑩⑫,14,16,Ｎスラリｰアイス, 72,武士沢, 1.4, 73,  -1,  17,15,128.5,⑭⑮⑮,14, 1,Ｋダブルスタｰ, 86,石橋脩, 2.3, 75,* 18, -12,13, 44.0,①①①
15, 6,Ｌヒメユリハｰト, 31,井上敏, 5.4, 33,  -6, -27,15,450.4,⑩⑪⑫,15,13, ブラッドジャｰニｰ,---,江田照, 3.4, 31,  -9, -34,13,114.3,⑥⑨⑭,15, 5,Ｊエグランティエ, 76,吉田豊, 1.5, 70,   1,  14, 9, 27.1,⑬⑪⑩,15, 2,Ａニシケンモノノフ, 91,横山典, 2.6, 72,* 16, -10, 3,  5.9,③②④
16,15,Ｋシゲルムツゴロウ, 36,松岡正, 5.8, 33,  -1, -39,11, 90.4,④⑥⑨,16, 9, シゲルトゲフグ,---,大庭和, 4.7, 21, -19, -31,18,211.2,⑰⑱⑱,16, 2,Ｐスワンボｰト, 68,江田照, 2.0, 68,   0,  10,16,302.9,⑩⑩⑫,16,16,Ｐトミケンユｰクアイ, 82,江田照, 3.9, 65,  15, -20,14, 73.4,②⑥⑮
,,,,,,,,,,,,17,11, テキサスハｰト,---,石川裕, 5.2,  7, -12, -56,17,188.0,⑧⑫⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 6, ウィンクエスト,---,木幡初, 6.1, -1, -14, -65,16,184.7,⑫⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,
"単勝:270円 複勝:16=120円 05=180円 07=180円 枠連:1,020円",,,,,,,,,,,,"単勝:2,080円 複勝:15=540円 16=780円 12=1,390円 枠連:4,370円",,,,,,,,,,,,"単勝:1,620円 複勝:14=440円 15=480円 01=350円 枠連:1,790円",,,,,,,,,,,,"単勝:19,960円 複勝:06=4,430円 07=390円 08=170円 枠連:4,040円",,,,,,,,,,,
