15年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｳｪﾙｶﾑｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 1,Ｅホッコｰモモタン, 57,戸崎圭, 0.6, 63, -17,*  8, 5,  9.9, ⑯⑯, 7,15,Ｇワイエムテイラｰ, 69,津村明, 0.5, 65,   0,   3,11, 59.5, ⑥⑥, 7, 8,Ｇグランフィデリオ, 79,ルメｰ, 0.9, 80,   9,   6, 7, 18.5, ⑫⑪, 7, 3,Ｉワンアンドオンリｰ, 88,内田博, 0.3, 89,  13,   7,13, 67.7,④④③
 8, 6,Ｈブリｰズドゥメｰル, 55,浜中俊, 0.6, 57,* -9,  -7,10, 59.4, ③④, 8,12,Ｍスズカプリオｰル, 63,長岡禎, 0.6, 66,  -2,   4,15,304.0, ⑨⑨, 8,11,Ｏイダクァイマ, 70,浜中俊, 1.0, 75,* 13,  -3, 8, 20.1, ②②, 8,11,Ｊミッキｰクイｰン, 88,浜中俊, 0.3, 91,  12,  13, 3,  5.0,⑨⑬⑬
 9,16,Ｋコスモベガス, 51,三浦皇, 0.8, 55, -12,  -7,14,172.9, ⑨⑨, 9, 6,Ｉフジゴウカイ, 68,内田博, 1.0, 63,  -5,   4, 9, 17.9, ⑭⑫, 9, 5,Ｆアルファアリエス, 79,田辺裕, 1.0, 76,   8,   7, 9, 24.0, ⑬⑭, 9, 9,Ｋダｰビｰフィズ, 87,田辺裕, 0.4, 89,  12,  10,18,200.1,⑦⑥⑩
10,13,Ｃコスモロングソｰド, 62,武士沢, 1.1, 53, -10, -13, 8, 39.6, ⑦⑦,10, 5,Ｊキャメロンロｰド, 67,丸田恭, 1.1, 62,  -6,   4,13, 99.8, ⑬⑭,10,10,Ｐスズカリバｰ, 69,大野拓, 1.1, 75,  11,  -1,13, 50.8, ⑥⑤,10,12,Ｅゴｰルドシップ, 90,横山典, 0.4, 88,  11,   8, 2,  4.7,⑰⑯⑨
11,14,Ｍブリリアントタイム, 47,蛯名正, 1.1, 54, -14,  -5,11, 72.8, ⑬⑫,11,13,Ｋアネラノヘア, 65,井上敏, 1.2, 60,*  1,  -6, 6, 13.7, ②②,11,16,Ｄハイパｰチャｰジ, 82,デムｰ, 1.2, 73,   7,   4, 6, 12.3, ⑭⑮,11,18, ナイトフラワｰ,---,シュタ, 0.5, 89,  10,  12, 9, 40.1,⑬⑫⑯
12, 8,Ｉタイセイティエラ, 53,北村宏, 1.4, 47, -11, -16,12, 74.1, ⑧⑧,12, 9,Ｏシルバｰフォンテン, 43,伊藤工, 1.9, 55,  -4,  -4,14,122.8, ⑪⑪,12,15,Ｎメイスンウォｰ, 76,北村宏, 1.6, 72,   8,  -1,15,102.0, ⑪⑫,12, 7,Ｍショウナンバッハ, 86,戸崎圭, 0.5, 92,   8,* 20,15,108.6,⑱⑱⑱
13,17,Ｎラルゴランド, 47,野中悠, 1.7, 46, -17, -10,17,685.1, ⑮⑮,13, 1,Ｄモリトビャクミ, 71,松岡正, 3.5, 43,   0, -23,10, 21.4, ③④,13, 3,Ｈマハロマナ, 79,吉田豊, 1.6, 69,* 13, -10,10, 25.8, ①①,13,13,Ｈヒットザタｰゲット, 89,小牧太, 0.6, 90,   9,  15,14, 69.8,⑯⑰⑰
14,10,Ｏダｰクフォｰス, 39,田辺裕, 1.8, 43, -16, -13,13, 85.1, ⑭⑭,14, 7,Ｎマルタｰズシャトル, 63,岩田康, 4.9, 31,*  2, -39, 8, 15.2, ①①,14,14,Ｍワイルドコットン, 77,シュタ, 2.0, 69,  10,  -7,11, 34.9, ⑧⑧,14, 2, トリップトゥパリス,---,ベリｰ, 0.6, 88,  10,  10,11, 49.1,⑮⑮⑭
15,11,Ａマイネルロミオ, 63,柴田大, 1.9, 39,* -8, -29, 9, 42.9, ④③,,,,,,,,,,,,,15, 6,Ｋマドリｰドカフェ, 77,三浦皇, 3.2, 59,* 12, -21,16,107.6, ⑤④,15,16,Ｌカレンミロティック, 87,蛯名正, 0.6, 84,* 17, -12,16,148.9,①①①
16,12,Ｒハイクラスバイオ, 23,伴啓太, 2.0, 44, -20, -10,18,828.1, ⑱⑱,,,,,,,,,,,,,16, 4,Ｌサンタクロｰチェ, 77,田中勝, 4.3, 51,  10, -28,14, 84.9, ④⑥,16,17,Ｆアドマイヤデウス, 90,岩田康, 1.2, 79,* 14, -12,10, 42.8,②②②
