15年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,逢坂山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
単勝:330円 複勝:07=120円 06=140円 10=320円 枠連:270円,,,,,,,,,,,,"単勝:1,900円 複勝:06=280円 12=110円 01=140円 枠連:1,310円",,,,,,,,,,,,"単勝:1,030円 複勝:05=210円 10=110円 12=140円 枠連:780円",,,,,,,,,,,,"単勝:2,320円 複勝:12=380円 03=150円 16=220円 枠連:2,100円",,,,,,,,,,,
馬連:430円 ワイド:06-07=210円 07-10=860円 06-10=850円,,,,,,,,,,,,"馬連:1,870円 ワイド:06-12=590円 01-06=870円 01-12=220円",,,,,,,,,,,,"馬連:1,200円 ワイド:05-10=310円 05-12=760円 10-12=210円",,,,,,,,,,,,"馬連:4,460円 ワイド:03-12=1,430円 12-16=2,880円 03-16=510円",,,,,,,,,,,
"馬単:960円 3連複:2,330円 3連単:10,890円",,,,,,,,,,,,"馬単:4,950円 3連複:1,810円 3連単:17,820円",,,,,,,,,,,,"馬単:3,320円 3連複:1,560円 3連単:13,580円",,,,,,,,,,,,"馬単:13,500円 3連複:12,190円 3連単:106,830円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 9R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,白梅賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｈセレッソブランコ, 50,幸英明,, 58,* -2,  -6, 2,  4.8, ③②, 1, 9,Ｂサンライズバロン, 77,池添謙,, 78,* -1,* 20, 2,  4.1,①①①, 1, 7,Ｃナリタスタｰワン, 68,福永祐,, 72,* -8,  11, 3,  5.1, ②②, 1, 4,Ｎバンザイ, 63,菱田裕,, 75,* 14,  -6,11, 22.8, ①①
 2, 8,Ａサカジロビュｰティ, 58,岩田康, 0.4, 55,  -2,  -8, 4,  6.3, ④④, 2, 6,Ｃトランザムスタｰ, 77,デムｰ, 0.3, 77,* -2,* 19, 1,  2.6,②②②, 2, 3,Ｄペガサスボス, 67,デムｰ, 0.2, 72, -11,* 14, 4,  6.0, ⑥⑥, 2,11,Ｃフェイブルネｰジュ, 70,デムｰ, 0.2, 74,   8,*  1, 3,  6.9, ⑩⑪
 3,10,Ｌノンリケット, 45,福永祐, 0.7, 53,  -5,  -7,10, 43.9, ⑥⑥, 3, 8,Ａラロｰザブル, 80,幸英明, 0.4, 77,* -2,* 19, 5,  8.1,⑤⑤⑤, 3, 4,Ｇベステンダンク, 63,バルジ, 0.4, 69, -11,  10, 6, 15.7, ⑤⑤, 3,13,Ｄメイショウヤマホコ, 70,小牧太, 0.2, 75,   4,* 10, 6, 11.9, ⑯⑭
 4,15,Ｊボストンマリ, 47,菱田裕, 0.8, 50, -11,* -1,12,156.8, ⑬⑬, 4, 5,Ｅショウナンガッチャ, 74,北村友, 0.9, 73,* -2,  15, 6, 10.6,③④④, 4, 6,Ｅヤマカツエｰス, 66,藤田伸, 0.4, 68,  -9,   8, 7, 18.8, ④③, 4, 2,Ｈロｰハイド, 67,福永祐, 0.3, 71,  10,  -3, 1,  3.7, ⑧⑥
 5, 5,Ｆハギノレイラニ, 51,武豊  , 0.8, 51, -10,*  0, 5, 10.2, ⑫⑭, 5, 7,Ｆゼンノスサノヲ, 72,藤岡佑, 1.2, 69,* -2,  12, 7, 20.4,④⑥③, 5, 9,Ｂアイファｰサンディ, 69,小牧太, 0.5, 69, -12,  12, 5,  9.2, ⑦⑦, 5, 8,Ｊウインレｰベン, 66,藤田伸, 0.4, 71,* 13,  -9,13, 45.3, ②②
 6, 6,Ｇトウケイワイルド, 50,池添謙, 1.0, 48,  -7,  -8, 8, 18.9, ⑧⑦, 6,10,Ｄトウカイストリｰム, 76,岩田康, 1.2, 72,  -4,  15, 3,  7.2,⑥⑧⑧, 6, 5,Ｈヴェルステルキング, 62,岩田康, 0.7, 68, -15,* 14, 2,  5.1, ⑨⑨, 6, 7,Ｋワイレアワヒネ, 65,池添謙, 0.4, 70,  11,  -6, 5, 11.1, ④④
 7,13,Ｋデンタルキュｰティ, 46,太宰啓, 1.2, 48,  -8,  -8,11, 56.1, ⑨⑨, 7, 3,Ｈダブルイｰグル, 68,太宰啓, 1.5, 71,  -4,  13, 4,  7.9,⑦⑨⑨, 7, 1,Ｉテイエムダンシング, 58,和田竜, 0.7, 65,* -8,   3, 8, 52.1, ③④, 7, 9,Ａマラムデｰル, 72,藤岡佑, 0.8, 66,   9,  -6, 9, 19.0, ⑭⑫
 8, 3,Ｂシゲルゴホウサイ, 56,藤田伸, 2.3, 40, -11, -12, 3,  5.3, ⑭⑫, 8, 1,Ｊクリノダイコクテン, 65,秋山真, 1.9, 65,  -3,   7,10, 77.5,⑨⑦⑦, 8, 8,Ｆフィｰルドリアン, 63,太宰啓, 0.8, 65, -13,  10, 9,122.2, ⑧⑧, 8, 5,Ｍオベｰション, 64,丸田恭, 0.9, 65,  10, -10,10, 20.1, ⑨⑨
 9,11,Ｉバルビｰナ, 47,武幸四, 2.6, 37,*  0, -31, 6, 10.9, ②①, 9, 2,Ｇバルタザｰル, 70,バルジ, 2.5, 62,  -5,   5, 9, 25.6,⑩⑩⑩, 9, 2,Ａエイシンカラット, 72,武豊  , 0.9, 60,* -6,  -3, 1,  2.2, ①①, 9,12,Ｐライザン, 62,武豊  , 1.2, 63,   6,  -9, 4,  8.3, ⑮⑮
