15年 3月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,うずしおｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 5,Ｅルナマジック, 61,福永祐, 2.2, 56,  -2,  -5, 5, 12.6,⑦⑥⑤, 7,10,Ｃワｰキングプライド, 62,武豊  , 1.1, 58,  -2, -10, 4,  5.6, ⑫⑬, 7, 4, マサライト,,白浜雄,264.6,,,, 7, 21.3,③③⑤, 7, 7,Ｄナリタポセイドン, 90,幸英明, 1.1, 84,   6,  18, 6, 22.3,⑧⑧⑩
 8,10,Ｈメイショウユメハチ, 50,秋山真, 2.4, 53,*  0, -10, 7, 25.3,③②②, 8,15,Ｆタガノヴェリテ, 56,古川吉, 1.6, 53,   0, -19, 9, 36.0, ⑬⑪, 8, 5, ティリアンパｰプル,,金子光,266.9,,,,12,144.1,⑬⑬⑩, 8, 8,Ｈキングヒｰロｰ, 85,小牧太, 1.3, 81,   8,  10, 8, 58.8,③③④
 9, 7,Ｊフェイバｰシチｰ, 46,太宰啓, 2.4, 57,  -3,  -6, 8, 49.2,⑤⑤⑦, 9,16,Ｈトラベリックス, 55,幸英明, 2.0, 51,  -5, -13,13,178.1, ⑯⑯, 9, 6, テｰオｰゼウス,,佐久間,267.3,,,,13,183.8,⑨⑧⑨, 9, 6,Ｇクラシカルノヴァ, 87,国分優, 1.5, 80,   7,  11,10,192.8,⑤⑤⑤
10, 3,Ｇゼットマｰヴェル, 57,藤岡康, 3.9, 42,  -3, -18, 9,246.3,⑧⑦⑨,10,11,Ｎロンギヌス, 36,国分優, 2.4, 47,  -3, -22,15,299.4, ⑮⑭,10, 2, タマモプラネット,,小坂忠,267.9,,,, 2,  3.5,①②⑧,10,10,Ｉトップカミング, 82,川島信, 1.6, 81,   5,  15, 9,162.6,⑩⑩⑨
11, 4,Ｉソチ, 49,熊沢重, 5.4, 37,  -6, -23,11,391.0,⑩⑩⑪,11,14,Ｇアムｰルサンライズ, 56,岩崎翼, 2.7, 42,   1, -37,10,122.9, ⑧⑦,11,10, ケイアイドウソジン,,江田勇,274.3,,,, 9, 23.1,⑥⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,12, 7,Ｉディファｰスト, 47,酒井学, 3.2, 39,*  5, -53, 8, 30.9, ②②,12, 7, ティアップワイルド,,熊沢重,277.0,,,, 8, 21.4,⑪⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,13, 6,Ｐルトルヴェｰル, 31,義英真, 3.3, 38,*  5, -56,12,148.7, ①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,13,Ｏクロスザボｰダｰ, 35,川島信, 3.3, 39,   2, -45,16,341.4, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 9,Ｍハｰツキｰ, 37,藤田伸, 3.5, 37,  -4, -38,14,268.0, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,12,Ｊノアズアｰク, 46,武幸四, 3.5, 37,   0, -46,11,126.9, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-2),,,,,,,,,,,
単勝:840円 複勝:08=160円 11=120円 09=110円 枠連:240円,,,,,,,,,,,,単勝:520円 複勝:04=160円 08=120円 03=440円 枠連:550円,,,,,,,,,,,,"単勝:790円 複勝:12=230円 03=320円 08=250円 枠連:3,580円",,,,,,,,,,,,単勝:180円 複勝:02=110円 09=130円 04=140円 枠連:470円,,,,,,,,,,,
"馬連:1,920円 ワイド:08-11=440円 08-09=390円 09-11=160円",,,,,,,,,,,,"馬連:680円 ワイド:04-08=300円 03-04=1,300円 03-08=920円",,,,,,,,,,,,"馬連:4,510円 ワイド:03-12=1,460円 08-12=970円 03-08=880円",,,,,,,,,,,,馬連:460円 ワイド:02-09=190円 02-04=180円 04-09=380円,,,,,,,,,,,
"馬単:4,710円 3連複:1,010円 3連単:12,230円",,,,,,,,,,,,"馬単:1,510円 3連複:3,510円 3連単:15,060円",,,,,,,,,,,,"馬単:8,140円 3連複:9,310円 3連単:57,370円",,,,,,,,,,,,"馬単:670円 3連複:700円 3連単:2,090円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 9R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ゆきやなぎ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
