15年11月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,南武特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
17,16,Ｒペイシャスナッチ, 18,丸山元, 2.8, 31,   4, -37,16,344.5, ⑩⑩,,,,,,,,,,,,,17, 4,Ｒエジｰサンドレ, 53,井上敏, 2.8, 48,* 12, -40,16,177.0,②②③,,,,,,,,,,,,
18, 8,Ｏラッキｰスピｰド, 28,大野拓, 3.5, 26,   4, -46,17,346.3, ⑨⑨,,,,,,,,,,,,,18, 3,Ｎブリエアヴェニｰル, 62,柴田大, 3.0, 48,* 13, -46,12, 92.5,①①①,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-2),,,,,,,,,,,
"単勝:340円 複勝:18=160円 13=310円 09=1,220円 枠連:580円",,,,,,,,,,,,"単勝:4,820円 複勝:07=950円 06=220円 09=150円 枠連:8,310円",,,,,,,,,,,,単勝:450円 複勝:11=210円 17=380円 02=320円 枠連:620円,,,,,,,,,,,,"単勝:540円 複勝:01=210円 11=1,040円 07=380円 枠連:4,090円",,,,,,,,,,,
"馬連:2,270円 ワイド:13-18=920円 09-18=3,520円 09-13=4,010円",,,,,,,,,,,,"馬連:9,180円 ワイド:06-07=2,290円 07-09=1,890円 06-09=270円",,,,,,,,,,,,"馬連:3,390円 ワイド:11-17=1,770円 02-11=1,380円 02-17=2,230円",,,,,,,,,,,,"馬連:14,830円 ワイド:01-11=4,580円 01-07=1,290円 07-11=8,430円",,,,,,,,,,,
"馬単:3,270円 3連複:25,890円 3連単:91,310円",,,,,,,,,,,,"馬単:25,020円 3連複:9,510円 3連単:132,710円",,,,,,,,,,,,"馬単:5,380円 3連複:11,370円 3連単:50,900円",,,,,,,,,,,,"馬単:29,400円 3連複:75,430円 3連単:403,890円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝1600m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1400m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,赤松賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｆクリｰンファンキｰ, 51,蛯名正,, 62,* -1,  -5, 7, 16.3, ②②, 1,11,Ｊラミアカｰサ, 63,井上敏,, 70,  -2,* 12, 5,  8.6, ⑬⑬, 1, 1,Ａクロコスミア, 71,勝浦正,, 71,*-13,  12, 1,  3.2, ③③, 1, 8,Ｈベック, 75,ムｰア,, 81,   3,* 16, 1,  2.8, ⑤⑤
