15年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,銀嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9,10,Ｆニシノライト, 49,田辺裕, 1.6, 42,  -4, -20,11, 47.5, ⑧⑧, 9, 8, サトノバレット,---,和田竜, 2.1, 51, -29,   7,11, 57.4,⑩⑩⑭, 9,10,Ｂメイショウメイゲツ, 77,吉田豊, 1.3, 66,   1,  -1, 3,  5.5,⑤⑤⑤, 9, 5,Ｉスズカデヴィアス, 84,藤岡康, 0.9, 86,*  5,  17,11, 30.6,①①①
10, 2,Ｋジｰクフリｰト, 38,木幡初, 1.8, 42,  -4, -21,15,344.9, ⑨⑨,10, 9, アンドレバロｰズ,---,内田博, 2.4, 43, -30,   0, 3,  6.1,⑭⑭⑫,10, 7,Ｆアンレｰル, 73,柴山雄, 1.3, 67,  -1,   3, 4, 12.5,⑨⑩⑩,10, 6,Ｄレコンダイト, 87,柴田善, 1.0, 89,   1,  25, 5, 14.1,⑨⑩⑪
11, 9,Ｊウイングラウベン, 39,デムｰ, 1.9, 37,* -1, -28,10, 35.5, ②②,11,15, コスモキングス,---,高倉稜, 2.5, 39, -26,  -8,15,278.1,⑯⑫⑤,,,,,,,,,,,,,11, 2,Ｏプランスペスカ, 80,熊沢重, 1.1, 85,   2,  21,15, 72.5,⑦⑦⑦
12, 4,Ａパイロット, 55,北村宏, 2.1, 40,  -4, -24, 3,  4.9, ⑩⑩,12,11, ルフレドパシオン,---,田辺裕, 2.5, 41, -30,  -1, 8, 30.5,⑧⑪⑪,,,,,,,,,,,,,12,13,Ｇロンギングダンサｰ, 86,吉田豊, 1.6, 83,   1,  18, 9, 28.2,⑱⑮⑮
13,14,Ｉブレイドフォｰス, 42,藤岡康, 2.7, 33,  -3, -32, 2,  4.7, ⑤⑤,13, 1, ロジネオ,---,松岡正, 3.6, 28, -30, -16,12, 72.3,⑫⑮⑬,,,,,,,,,,,,,13, 4,Ｐヴァｰゲンザイル, 79,田辺裕, 1.8, 82,   1,  18,14, 67.6,⑮⑭⑯
14, 1,Ｏヤマブキ, 27,熊沢重, 4.7, 25,  -7, -42,14,267.9, ⑬⑭,14,12, ベニバナルｰトイン,---,石川裕, 3.7, 26, -31, -15,14,153.1,⑪⑬⑮,,,,,,,,,,,,,14,16,Ｑマイネルメダリスト, 79,柴田大, 1.9, 82,  -1,  18,17,168.0,⑯⑱⑰
15,15,Ｌハヤブササンサン, 37,池添謙, 4.7, 23,  -9, -40,13,127.8, ⑮⑮,15, 5, リナリア,---,デムｰ, 3.7, 22, -28, -21, 6, 18.8,④⑧⑩,,,,,,,,,,,,,15,11,Ｒサイモントルナｰレ, 77,石神深, 2.0, 81,  -1,  18,18,281.8,⑰⑰⑱
,,,,,,,,,,,,16,14, ディリゲント,---,江田照, 3.7, 25, -31, -16,16,284.5,⑮⑯⑯,,,,,,,,,,,,,16,17,Ｎニュｰダイナスティ, 82,石川裕, 2.1, 74,   2,   7,16,114.5,⑧⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｂフラガラッハ, 90,高倉稜, 2.3, 74,   1,   7,13, 63.7,⑬⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10,Ｆヒラボクディｰプ, 86,池添謙, 4.1, 53,   1, -18, 6, 15.5,⑭⑯⑬
