15年11月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,渡月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
馬連:550円 ワイド:07-15=220円 07-10=400円 10-15=150円,,,,,,,,,,,,"馬連:1,200円 ワイド:07-11=440円 01-11=460円 01-07=1,800円",,,,,,,,,,,,"馬連:1,930円 ワイド:15-18=830円 15-16=760円 16-18=1,380円",,,,,,,,,,,,"馬連:790円 ワイド:02-08=450円 02-06=2,140円 06-08=4,360円",,,,,,,,,,,
"馬単:1,940円 3連複:600円 3連単:6,570円",,,,,,,,,,,,"馬単:1,500円 3連複:3,700円 3連単:10,570円",,,,,,,,,,,,"馬単:3,550円 3連複:4,930円 3連単:21,620円",,,,,,,,,,,,"馬単:1,070円 3連複:14,840円 3連単:37,720円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 9R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,北國新聞杯,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｅサトノエトワｰル, 46,秋山真,, 54,*  5, -16, 3,  8.8,②②②, 1, 4,Ｂジェントルハｰト, 55,藤岡康,, 63,   1,  -7, 1,  1.4, ④④, 1,11,Ｃメイショウウタゲ, 83,武幸四,, 85,   8,  11, 1,  3.1,⑪⑧④, 1, 2,Ｃケントオｰ, 72,和田竜,, 79, -11,  16, 7,  9.2, ③③
 2, 7,Ｂヤマニンシルフ, 48,松山弘, 0.0, 57,   3,*-10, 2,  5.1,⑦⑤⑥, 2, 8,Ａプリンシパルスタｰ, 61,小牧太, 0.1, 64,*  7, -13, 2,  5.2, ②②, 2, 3,Ｉブチコ, 79,藤岡康, 0.2, 80,   9,   8, 2,  4.7,⑥⑥⑥, 2, 8,Ｉベステンダンク, 68,小牧太, 0.0, 77,*-10,  13, 1,  4.3, ②②
 3, 5,Ａアイファｰプリティ, 61,小牧太, 0.4, 53,   3,*-14, 1,  1.5,⑩⑨⑦, 3, 2, ジェスロ,---,吉村智, 0.1, 61, -14,*  8, 9, 87.2, ⑩⑨, 3,10,Ｅトウケイウイン, 83,太宰啓, 0.2, 83,   7,* 12,10, 31.5,⑭⑪⑧, 3, 7,Ｆメイクアップ, 71,義英真, 0.1, 77, -14,* 18, 5,  6.9, ⑦⑦
 4, 9,Ｇイッツマイシャウト, 39,幸英明, 0.7, 51,   0,*-14, 8, 44.0,⑪⑩⑩, 4, 6,Ｄクリノシャンボｰル, 51,和田竜, 0.4, 60,*  8, -19, 4, 11.7, ①①, 4, 6,Ｆタイユｰル, 81,北村友, 0.3, 80,   7,  10, 6, 12.2,⑧⑨⑩, 4, 3,Ａサウンドデュｰク, 76,幸英明, 0.2, 79, -15,* 19, 6,  8.5, ⑧⑧
 5, 8,Ｃヒワラニ, 47,古川吉, 0.8, 45,*  5, -29, 4,  9.5,①①①, 5, 9,Ｅタイセイマライカ, 51,シュタ, 0.6, 55, -10,  -2, 3,  8.8, ⑧⑧, 5, 4,Ａロゼッタストｰン, 84,国分優, 0.5, 80,   5,* 13, 9, 30.5,⑬⑮⑯, 5, 5,Ｈレッドジゼル, 70,シュタ, 0.3, 74, -13,  14, 4,  6.5, ⑤⑤
 6, 6,Ｄエイム, 47,吉井友, 1.0, 46,*  4, -27, 6, 19.8,⑥⑥④, 6, 5,Ｆメイサ, 48,吉井友, 0.7, 52, -21,*  7,10,186.0, ⑪⑪, 6, 9,Ｐデブリン, 70,川島信, 0.6, 79,   5,* 13,14, 85.2,⑯⑯⑭, 6, 4,Ｄプラチナテｰラｰ, 72,太宰啓, 0.3, 71,*-10,   8, 9, 22.3, ①①
 7, 3,Ｉマイネルブランブル, 38,和田竜, 1.3, 44,   1, -26, 9, 49.2,⑧⑧⑨, 7, 7,Ｃブンブンブラウ, 55,松山弘, 0.8, 53,   0, -16, 5, 14.7, ⑥⑥, 7,13,Ｄダイナミックウオｰ, 83,秋山真, 0.6, 76,   6,  10, 5,  8.9,⑮⑭⑪, 7, 1,Ｇベアトリッツ, 71,秋山真, 0.4, 73, -14,  14, 2,  4.5, ⑥⑥
 8, 2,Ｌフサリア, 31,シュタ, 1.5, 42,*  4, -35, 5, 17.2,③④⑤, 8,10,Ｈオウケンダイヤ, 45,国分恭, 0.8, 55,   1, -15, 8, 73.9, ⑤⑤, 8, 7,Ｊタンスチョキン, 78,岩崎翼, 1.3, 74,   6,   3,11, 51.9,⑩⑫⑬, 8, 6,Ｂディｰプウェｰブ, 73,北村友, 0.4, 75, -15,  17, 3,  6.4, ⑨⑨
 9, 1,Ｆテイエムパフュｰム, 39,国分恭, 1.8, 40,   3, -35,11,211.3,⑤⑦⑧, 9, 1,Ｊサクラブチャン, 33,中谷雄, 0.9, 50, -14,  -2,11,223.3, ⑨⑩, 9, 1,Ｎブロンクスシルバｰ, 76,国分恭, 1.4, 73,* 10,  -4, 8, 28.8,⑦③③, 9,10,Ｅアドマイヤオウジャ, 72,松山弘, 0.6, 70, -11,   8, 8, 16.1, ④④
10, 4,Ｊメイショウコドウ, 38,国分優, 1.9, 38,  -3, -25,10,160.6,⑫⑫⑫,10,11,Ｉゼンノハｰデｰス, 43,幸英明, 2.7, 29,   5, -47, 6, 23.0, ③③,10,15,Ｈコパノチャｰリｰ, 79,シュタ, 1.4, 73,   9,  -4, 3,  6.4,④⑤⑦,10, 9,Ｊショウナンサンタ, 63,吉井友, 1.1, 67, -18,  12,10, 56.0, ⑩⑩
11,11,Ｋアイファｰエバｰ, 37,義英真, 2.0, 39,  -1, -28,12,309.1,⑨⑪⑪,11, 3,Ｇシゲルクロマグロ, 45,酒井学, 3.8, 15,  -6, -51, 7, 33.2, ⑦⑦,11, 2,Ｌエイヴィアンボス, 77,松山弘, 1.5, 72,   8,  -3,13, 71.4,⑤⑦⑨,,,,,,,,,,,,
